OID_,Join_Count,TARGET_FID,prop_id,legal_acreage,living_area,imprv_det_quality_cd,tax_area_description,abs_subdv_cd,sl_price,effective_year_built,imprv_type_cd,base_area,actual_year_built,prop_val_yr,sup_num,CENTROID_X,CENTROID_y,geo_id,sum_us_area,total_porch_area,total_garage_area,effective_age,actual_age,has_canal,has_lake,number_of_baths,MISC_Val,hood_cd,sl_county_ratio_cd,FID_Market_Cluster_Union,FID_Market_Cluster,Name
26,1,26,17522,2.060000000000000,1672,3,SUWANNEE,219600,337900,2011,100,1672,2011,2022,0,-82.525318859999999,29.698373870000001,04138-020-001,0,576,0,10,10,0,0,2,1096,154200.000000000000000,1,22,33,HSBUI_2
27,1,27,17568,5.060000000000000,2059,3,SUWANNEE,0,400000,1984,100,1479,1978,2022,0,-82.552476369999994,29.711175210000000,04147-004-000,0,580,0,37,43,0,0,3,22170,154200.000000000000000,1,23,34,Jonesville
28,1,28,17692,7.000000000000000,1741,3,SUWANNEE,0,482000,2007,100,1741,2007,2022,0,-82.532426270000002,29.695818259999999,04158-005-000,0,66,441,14,14,0,0,2,29889,154200.000000000000000,1,22,33,HSBUI_2
29,1,29,17753,1.250000000000000,2610,4,SUWANNEE,176600,524300,2004,100,2610,2004,2022,0,-82.539515429999994,29.693088610000000,04160-002-002,0,242,506,17,17,0,0,3,5318,154200.000000000000000,1,22,33,HSBUI_2
30,1,30,17842,5.000000000000000,4663,5,SUWANNEE,184200,1471400,2007,100,4033,2003,2022,0,-82.504453650000002,29.691858740000001,04170-010-010,630,629,922,14,18,0,0,4,27721,134222.010000000009313,1,23,34,Jonesville
31,1,31,17933,5.000000000000000,3419,3,SUWANNEE,0,623300,2000,100,3419,1973,2022,0,-82.492448640000006,29.694529549999999,04182-001-000,0,40,576,21,48,0,0,5,20580,154200.000000000000000,1,22,33,HSBUI_2
32,1,32,18079,0.200000000000000,1554,3,SUWANNEE,43600,269400,1988,100,1554,1983,2022,0,-82.456070699999998,29.687603750000001,04210-001-023,0,54,528,33,38,0,0,2,1128,154225.010000000009313,1,47,62,Gainesvilleish_Region
33,1,33,18099,0.250000000000000,1801,3,SUWANNEE,43700,337500,2000,100,1460,1985,2022,0,-82.458383080000004,29.688332509999999,04210-001-043,0,377,504,21,36,0,0,2,1060,154225.010000000009313,1,47,62,Gainesvilleish_Region
34,1,34,18110,0.200000000000000,1566,3,SUWANNEE,43700,318400,1998,100,1566,1984,2022,0,-82.457827100000003,29.686185269999999,04210-001-054,0,66,482,23,37,0,0,2,2027,154225.010000000009313,1,47,62,Gainesvilleish_Region
35,1,35,18157,0.200000000000000,2501,3,SUWANNEE,43800,390300,1996,100,2501,1986,2022,0,-82.459017419999995,29.685937350000000,04210-002-001,0,20,0,25,35,0,0,2,7504,154225.010000000009313,1,47,62,Gainesvilleish_Region
36,1,36,18197,0.210000000000000,1562,3,SUWANNEE,43000,304100,1992,100,1562,1987,2022,0,-82.456935970000004,29.682329440000000,04211-010-017,0,218,483,29,34,0,0,2,5699,154225.010000000009313,1,47,62,Gainesvilleish_Region
37,1,37,18213,0.330000000000000,1681,3,SUWANNEE,43000,321100,1989,100,1681,1987,2022,0,-82.456935099999995,29.683942160000001,04211-010-033,0,143,483,32,34,0,0,2,4489,154225.010000000009313,1,47,62,Gainesvilleish_Region
38,1,38,18224,0.380000000000000,1770,3,SUWANNEE,43100,372800,1997,100,1770,1987,2022,0,-82.459503870000006,29.684918679999999,04211-010-044,0,276,504,24,34,0,0,2,2083,154225.010000000009313,1,47,62,Gainesvilleish_Region
39,1,39,18255,1.000000000000000,1878,3,SUWANNEE,43300,294800,1988,100,1878,1988,2022,0,-82.459093010000004,29.682361430000000,04211-010-075,0,155,405,33,33,0,0,2,2195,154225.010000000009313,1,47,62,Gainesvilleish_Region
40,1,40,18282,0.200000000000000,1906,3,SUWANNEE,43500,368700,2002,100,1906,1992,2022,0,-82.458033770000000,29.684101750000000,04211-010-102,0,192,483,19,29,0,0,2,1668,154225.010000000009313,1,47,62,Gainesvilleish_Region
41,1,41,18288,0.330000000000000,2383,3,SUWANNEE,43500,370500,1996,100,1798,1991,2022,0,-82.459481260000004,29.684517400000001,04211-010-108,0,628,528,25,30,0,0,2,3901,154225.010000000009313,1,47,62,Gainesvilleish_Region
42,1,42,18301,0.230000000000000,1558,4,SUWANNEE,212600,326300,2002,100,1558,1997,2022,0,-82.460309280000004,29.688270249999999,04211-301-007,0,112,462,19,24,0,0,2,1414,134225.019999999989523,1,47,62,Gainesvilleish_Region
43,1,43,33371,0.190000000000000,1836,4,GAINESVILLE,128100,361000,2002,100,1836,1999,2022,0,-82.377180390000007,29.714271260000000,06015-260-007,0,220,483,19,22,0,0,2,1395,164314.149999999994179,1,16,26,San_Felasco
44,1,44,33375,0.180000000000000,1807,4,GAINESVILLE,128100,353800,2003,100,1807,2000,2022,0,-82.378107470000003,29.714271270000001,06015-260-011,0,347,420,18,21,0,0,2,953,164314.149999999994179,1,16,26,San_Felasco
45,1,45,33380,0.200000000000000,1876,4,GAINESVILLE,128100,349400,2003,100,1876,2000,2022,0,-82.377207100000007,29.713827890000001,06015-260-016,0,222,483,18,21,0,0,2,1395,164314.149999999994179,1,16,26,San_Felasco
46,1,46,33404,0.160000000000000,1338,3,GAINESVILLE,127400,311100,2000,100,1338,1986,2022,0,-82.380202810000000,29.709775759999999,06017-001-011,0,40,506,21,35,0,0,2,1641,164314.010000000009313,1,16,26,San_Felasco
47,1,47,33406,0.160000000000000,1329,3,GAINESVILLE,127400,257300,1995,100,1329,1986,2022,0,-82.380201929999998,29.710160720000001,06017-001-013,0,141,264,26,35,0,0,2,844,164314.010000000009313,1,16,26,San_Felasco
48,1,48,33408,0.160000000000000,1170,3,GAINESVILLE,127400,251600,1996,100,1170,1986,2022,0,-82.380201040000003,29.710545679999999,06017-001-015,0,16,452,25,35,0,0,2,1733,164314.010000000009313,1,16,26,San_Felasco
49,1,49,33421,0.130000000000000,1344,3,GAINESVILLE,127401,270900,2000,100,992,1988,2022,0,-82.378919069999995,29.710055010000001,06017-001-028,352,0,330,21,33,0,0,2,412,164314.010000000009313,1,16,26,San_Felasco
50,1,50,33423,0.120000000000000,1366,3,GAINESVILLE,127401,240800,1995,100,1014,1989,2022,0,-82.378936449999998,29.709782610000001,06017-001-030,352,48,330,26,32,0,0,2,1229,164314.010000000009313,1,16,26,San_Felasco
51,1,51,33438,0.160000000000000,1326,3,GAINESVILLE,127400,245000,1990,100,1326,1986,2022,0,-82.379730280000004,29.709775180000001,06017-001-046,0,12,312,31,35,0,0,2,387,164314.010000000009313,1,16,26,San_Felasco
52,1,52,33577,0.140000000000000,1416,3,GAINESVILLE,128900,255600,1994,100,1416,1988,2022,0,-82.378812159999995,29.711789119999999,06017-030-002,0,184,280,27,33,0,0,2,915,164314.059999999997672,1,16,26,San_Felasco
53,1,53,33587,0.180000000000000,1410,3,GAINESVILLE,128900,293300,1995,100,1410,1988,2022,0,-82.380192919999999,29.711648040000000,06017-030-012,0,129,501,26,33,0,0,2,1108,164314.059999999997672,1,16,26,San_Felasco
54,1,54,33615,0.150000000000000,1886,3,GAINESVILLE,129000,314000,1990,100,1546,1990,2022,0,-82.379646620000003,29.712334739999999,06017-032-019,0,364,441,31,31,0,0,2,1535,164314.059999999997672,1,16,26,San_Felasco
55,1,55,33638,0.250000000000000,1838,3,GAINESVILLE,129200,321100,1991,100,1838,1991,2022,0,-82.380007030000002,29.713339110000000,06017-033-019,0,198,441,30,30,0,0,2,948,164314.059999999997672,1,16,26,San_Felasco
56,1,56,33647,0.160000000000000,1461,3,GAINESVILLE,129300,288800,1997,100,1461,1992,2022,0,-82.378790309999999,29.714434489999999,06017-034-003,0,200,441,24,29,0,0,2,979,164314.059999999997672,1,16,26,San_Felasco
57,1,57,33667,0.230000000000000,1820,4,GAINESVILLE,128700,351300,1996,100,1820,1990,2022,0,-82.378790589999994,29.716004720000001,06017-035-001,0,48,480,25,31,0,0,2,2289,164314.200000000011642,1,16,26,San_Felasco
58,1,58,33701,0.230000000000000,2397,4,GAINESVILLE,128800,462500,2000,100,1521,1993,2022,0,-82.379743559999994,29.717580190000000,06017-041-004,876,372,483,21,28,0,0,2,1648,164314.200000000011642,1,16,26,San_Felasco
59,1,59,33705,0.220000000000000,1993,4,GAINESVILLE,128800,357800,1997,100,1993,1994,2022,0,-82.379655349999993,29.716683830000001,06017-041-008,0,314,441,24,27,0,0,2,1028,164314.200000000011642,1,16,26,San_Felasco
60,1,60,33707,0.230000000000000,2178,4,GAINESVILLE,128800,394400,2005,100,2178,1993,2022,0,-82.379652140000005,29.717156729999999,06017-041-010,0,136,462,16,28,0,0,2,1009,164314.200000000011642,1,16,26,San_Felasco
61,1,61,33747,0.210000000000000,2269,4,GAINESVILLE,253100,411100,1998,100,2066,1993,2022,0,-82.385934520000006,29.710598489999999,06020-010-005,0,266,484,23,28,0,0,2,991,134314.450000000011642,1,16,26,San_Felasco
62,1,62,33762,0.210000000000000,1722,3,GAINESVILLE,253100,332200,2000,100,1722,1993,2022,0,-82.381920670000000,29.711303630000000,06020-010-020,0,172,441,21,28,0,0,2,7282,134314.450000000011642,1,16,26,San_Felasco
63,1,63,33768,0.270000000000000,1698,4,GAINESVILLE,253100,320000,1993,100,1698,1993,2022,0,-82.380866249999997,29.712273750000001,06020-010-026,0,248,462,28,28,0,0,2,1705,134314.450000000011642,1,16,26,San_Felasco
64,1,64,33771,0.340000000000000,1550,3,GAINESVILLE,253100,349500,2000,100,1550,1993,2022,0,-82.381763829999997,29.712453350000001,06020-010-029,0,406,504,21,28,0,0,2,6200,134314.450000000011642,1,16,26,San_Felasco
65,1,65,33772,0.230000000000000,1984,3,GAINESVILLE,253100,364300,2000,100,1984,1993,2022,0,-82.381964969999999,29.712262979999998,06020-010-030,0,53,441,21,28,0,0,2,1406,134314.450000000011642,1,16,26,San_Felasco
66,1,66,33773,0.200000000000000,1555,3,GAINESVILLE,253100,326200,2001,100,1555,1993,2022,0,-82.382074410000001,29.712028220000001,06020-010-031,0,206,420,20,28,0,0,2,1036,134314.450000000011642,1,16,26,San_Felasco
67,1,67,33785,0.200000000000000,1361,3,GAINESVILLE,253100,245000,1993,100,1361,1993,2022,0,-82.384817310000003,29.710612680000001,06020-010-043,0,18,483,28,28,0,0,2,1369,134314.450000000011642,1,16,26,San_Felasco
68,1,68,33795,0.200000000000000,1347,3,GAINESVILLE,253101,300100,1999,100,1347,1996,2022,0,-82.381181170000005,29.711641119999999,06020-012-052,0,20,460,22,25,0,0,2,4471,164314.119999999995343,1,16,26,San_Felasco
69,1,69,33805,0.230000000000000,1636,3,GAINESVILLE,253101,317600,2004,100,1636,1996,2022,0,-82.381170319999995,29.709480870000000,06020-012-062,0,131,441,17,25,0,0,2,1886,164314.119999999995343,1,16,26,San_Felasco
