"#","ML Number","Status","Address","City","Zip","Legal Subdivision Name","Heated Area","Tax ID","Current Price","Beds","Full Baths","Half Baths","Year Built","Pool","Property Style","Ownership","Tax","CDOM","ADOM","Days to Contract","Sold Terms","Close Date","LP / SqFt","SP/SqFt","SP / LP","List Office","List Agent","List Agent ID","Selling Office ID","LSC List Side","List Office Primary Board ID"
"1","GC443425","SLD","10975 SW 15th RD","Gainesville","32607","Cheney Walk Estates","3,416","04422-100-011","$853,650","4","3","0","2011","Private","Single Family Residence","","$10,627.00","32","32","2","Conventional","05/14/2021","$250.29","$249.9","1.00","Watson Realty Corp - NW 23rd Ave.","Jonathan Colon","259500568","259506003","Gainesville-Alachua","Ocala - Marion"
"1","GC439365","SLD","10755 SW 14th LN","Gainesville","32607","Cheney Walk Estates","4,133","04422-300-021","$858,900","5","4","1","2014","None","Single Family Residence","","$13,469.00","161","161","97","Conventional","04/16/2021","$212.90","$207.82","0.98","Bosshardt Realty Services LLC","Perry G. McDonald","259503206","259500046","Gainesville-Alachua","Ocala - Marion"
"1","GC444662","SLD","3627 SW 87TH DR","GAINESVILLE","32608","HP/MILLINGTON","3,616","06860-346-028","$860,000","4","3","1","2008","Private","Single Family Residence","","$11,694.00","37","37","30","Conventional","07/14/2021","$240.60","$237.83","0.99","BHGRE THOMAS GROUP","Tiffany Thomas","259503896","259504926","Gainesville-Alachua","Gainesville-Alachua"
"1","GC441393","SLD","671 SW 134th WAY","Newberry","32669","Town Of Tioga","5,287","04333-112-295","$865,000","6","5","1","2008","Private, Community","Single Family Residence","","$17,279.00","214","97","52","Conventional","05/13/2021","$176.85","$163.61","0.93","EXP Realty LLC","Deena Erickson-Klacko","259503806","259504926","Ocala - Marion","Sarasota - Manatee"
"1","GC437152","SLD","21063 NW CR 235A","Alachua","32615","Not In Subdivision","6,483","02920-003-000","$868,000","5","3","2","2008","Private","Single Family Residence","","$14,196.00","142","142","104","Other","01/08/2021","$133.89","$133.89","1.00","Bosshardt Realty Services LLC","Missie Schneider","259503060","264000987","Gainesville-Alachua","Ocala - Marion"
"1","GC448372","SLD","1078 SW 131st ST","Newberry","32669","Town Of Tioga","3,417","04333-119-446","$869,741","4","3","1","2021","Private, Community","Single Family Residence","","$0.00","2","2","1","Conventional","10/04/2021","$254.53","$254.53","1.00","Tioga Realty Inc","Tom & Trish Reilly","259503138","259500056","Gainesville-Alachua","Gainesville-Alachua"
"1","GC441578","SLD","4146 SW 96th DR","Gainesville","32608","HP/Whitaker Oaks 27","4,232","06860-270-015","$870,000","5","5","0","1995","Private","Single Family Residence","","$12,502.00","42","42","38","Conventional","04/26/2021","$209.12","$205.58","0.98","BHGRE Thomas Group","Susan Houder","259500872","259500056","Gainesville-Alachua","Ocala - Marion"
"1","GC442625","SLD","650 SW 131ST ST","Newberry","32669","Town Of Tioga","3,801","04333111272","$870,707","5","4","2","2012","Private, Community","Single Family Residence","","$13,019.00","54","54","1","Conventional","05/11/2021","$229.07","$229.07","1.00","Keller Williams Gainesville Realty Partners","Craig Wilburn-Team Dynamo","259503108","259505695","Ocala - Marion","Ocala - Marion"
"1","GC447278","SLD","11467 SW 34TH RD","GAINESVILLE","32608","OAKMONT","4,188","08231-003-094","$875,000","6","4","2","2018","Private, Community","Single Family Residence","","$15,985.00","69","69","69","Conventional","12/06/2021","$208.91","$208.93","1.00","BHGRE THOMAS GROUP","Tiffany Thomas","259503896","259505843","Gainesville-Alachua","Gainesville-Alachua"
"1","GC443524","SLD","14134 NW 28th AVE","Gainesville","32606","Turnberry Lake","4,521","04222-100-066","$878,000","5","4","1","2005","Private, Community","Single Family Residence","","$13,218.00","155","155","119","Conventional","09/17/2021","$194.20","$194.2","1.00","RE/MAX Professionals","Melissa Zecher","264000738","259500060","Gainesville-Alachua","Ocala - Marion"
"1","GC446264","SLD","6529 NW 50th LN","Gainesville","32653","Thornehill","4,889","06045-010-037","$879,000","6","5","1","2008","None","Single Family Residence","","$18,505.00","123","123","123","Conventional","12/10/2021","$179.79","$179.79","1.00","ENGEL & VOLKERS GAINESVILLE","Anna Olcese","259505223","259504874","Gainesville-Alachua","Gainesville-Alachua"
"1","GC447564","SLD","3840 SW 106th ST","Gainesville","32608","Wilds Plantation","3,695","06852-040-117","$880,000","4","3","1","2010","Private","Single Family Residence","","$10,786.00","36","36","36","Conventional","11/04/2021","$242.22","$238.16","0.98","RE/MAX PROFESSIONALS","Minmin Jin","259505608","","Gainesville-Alachua","Gainesville-Alachua"
"1","GC447559","SLD","3840 SW 106th ST","Gainesville","32608","Wilds Plantation","3,695","06852-040-117","$880,000","5","3","1","2010","Private","Single Family Residence","","$10,786.00","36","36","36","Conventional","11/04/2021","$242.22","$238.16","0.98","RE/MAX PROFESSIONALS","Minmin Jin","259505608","","Gainesville-Alachua","Gainesville-Alachua"
"1","GC447230","SLD","207-205 NE 7th St.","Gainesville","32601","Doig Robertson","4,766","11922-000-000","$880,000","7","6","0","1939","Private","Single Family Residence","","$5,936.00","67","67","67","Seller Financing","11/05/2021","$186.74","$184.64","0.99","FLORIDA HOMES REALTY & MORTGAGE LLC","Haripriya Assouline Benedict","259506857","260000668","Gainesville-Alachua","Gainesville-Alachua"
"1","GC439991","SLD","1042 SW 131st Street","Newberry","32669","Town Of Tioga","3,362","04333-119-444","$880,000","4","3","1","2021","Private, Community","Single Family Residence","","$0.00","147","147","87","Conventional","04/28/2021","$261.75","$261.75","1.00","Tioga Realty Inc","Greta Rice","259502051","259506003","Gainesville-Alachua","Gainesville-Alachua"
"1","GC442073","SLD","2735 SW 105th ST","Gainesville","32608","Estates of Wilds Plantation","3,263","06852-100-042","$883,800","4","4","0","2021","Private","Single Family Residence","","$2,528.00","82","82","9","Conventional","05/24/2021","$270.86","$270.86","1.00","Coldwell Banker M.M. Parrish Realtors","Kristin Kelly","259505056","259506269","Gainesville-Alachua","Pinellas Suncoast"
"1","GC444673","SLD","3447 SW 105 ST","Gainesville","32608","Estates of Wilds Plantation","3,271","06852-100-059","$886,230","4","4","0","2021","Private","Single Family Residence","","$2,527.00","1,532","211","3","Conventional","07/31/2021","$270.94","$270.94","1.00","Coldwell Banker M.M. Parrish Realtors","Sandra Lehrer - Team Gainesville","259500492","259500037","Gainesville-Alachua","Pinellas Suncoast"
"1","GC501599","SLD","993 SW 131ST ST SW","NEWBERRY","32669","TOWN OF TIOGA PH 19 PB 36 PG 68","3,000","04333-119-436","$890,610","4","4","0","2021","Private","Single Family Residence","Fee Simple","$3,659.45","0","0","2","Conventional","12/31/2021","$296.87","$296.87","1.00","TIOGA REALTY INC","Tom Reilly","259503138","259500037","Gainesville-Alachua","Gainesville-Alachua"
"1","GC447627","SLD","4218 SW 96th DR","Gainesville","32608","HP/Whitaker Oaks 27","3,870","06860-270-017","$892,000","5","3","2","1994","Private","Single Family Residence","","$9,360.00","50","50","3","Cash, Conventional","10/22/2021","$235.14","$230.49","0.98","PEPINE REALTY","Wendy Swan","259506765","259500037","Gainesville-Alachua","Gainesville-Alachua"
"1","GC439715","SLD","2767 SW 106th ST","Gainesville","32608","Estates of Wilds Plantation","3,307","06852-100-075","$897,000","4","4","1","2019","Private","Single Family Residence","","$14,863.00","53","53","11","Conventional","01/11/2021","$271.24","$271.24","1.00","BHGRE Thomas Group","Rachel Kerensky","259506412","259504926","Gainesville-Alachua","Ocala - Marion"
"1","GC446255","SLD","306 SW 131st ST","Newberry","32669","Town Of Tioga","4,197","04333-020-073","$899,325","4","4","1","2007","Private, Community","Single Family Residence","","$10,695.00","72","72","26","Conventional","09/23/2021","$214.28","$214.28","1.00","Tioga Realty Inc","Tom & Trish Reilly","259503138","270534868","Gainesville-Alachua","Gainesville-Alachua"
"1","GC442277","SLD","1063 SW 132nd Street","Newberry","32669","Town Of Tioga","3,128","04333-119-451","$899,345","4","4","0","2021","Private, Community","Single Family Residence","","$0.00","60","60","16","Conventional","05/07/2021","$287.51","$287.51","1.00","Tioga Realty Inc","Greta Rice","259502051","259504926","Gainesville-Alachua","Gainesville-Alachua"
"1","GC447442","SLD","6205 NW 46th PL","Gainesville","32653","Windsor Glen Plantation","3,837","06047-010-031","$900,000","5","4","1","2004","Private","Single Family Residence","","$9,928.00","82","82","82","Conventional","12/27/2021","$242.90","$234.56","0.97","HOMELISTER, INC.","Jennifer Stein","205558258","259500046","Sarasota - Manatee","Sarasota - Manatee"
"1","GC442319","SLD","8501 NW 71st TER","Gainesville","32653","Not In Subdivision","3,856","06004-001-000","$900,000","6","3","0","1984","Private","Single Family Residence","","$3,786.00","190","190","39","Other","09/16/2021","$239.89","$233.4","0.97","Horizon Realty Of Alachua Inc","Patricia Moser","259500210","259500025","Gainesville-Alachua","Gainesville-Alachua"
"1","GC434919","SLD","15815 W Newberry RD","Newberry","32669","Not In Subdivision","4,400","04357-000-000","$900,000","5","5","0","1997","Private","Single Family Residence","","$8,048.00","359","359","287","Cash","05/17/2021","$226.93","$204.55","0.90","VanBeek Realty, LLC","Candi Richeson","294010818","259500037","Gainesville-Alachua","Ocala - Marion"
"1","GC445048","SLD","3402 SW 87th DR","Gainesville","32608","HP/Millington","4,129","06860-346-004","$900,000","4","4","1","2004","Private","Single Family Residence","","$12,544.00","65","43","10","Conventional","07/14/2021","$224.03","$217.97","0.97","Pepine Realty","Jeffrey A Johnson","259505979","70002595","Ocala - Marion","Ocala - Marion"
"1","OM615148","SLD","15815 W NEWBERRY RD","NEWBERRY","32669","NOT IN SUBDIVISION","4,400","04357-000-000","$900,000","5","5","0","1997","Private","Single Family Residence","Fee Simple","$8,048.00","32","32","38","Cash","05/17/2021","$226.93","$204.55","0.90","VANBEEK REALTY LLC","Julie VanBeek","259503542","55055","Ocala - Marion","Ocala - Marion"
"1","GC446703","SLD","3339 SW 109th DR","Gainesville","32608","Oakmont","3,128","04427-111-414","$903,174","3","3","0","2022","Community","Single Family Residence","","$5,170.00","48","48","1","Conventional","09/13/2021","$288.74","$288.74","1.00","BHGRE Thomas Group","Brenda Banks","259500490","259504926","Ocala - Marion","Ocala - Marion"
"1","GC448164","SLD","4219 SW 104th TER","Gainesville","32608","HP/Benjamins Grove 22","4,577","06860-220-019","$910,000","5","4","1","1995","Private","Single Family Residence","","$9,993.00","15","15","15","Conventional","11/17/2021","$214.09","$198.82","0.93","COLDWELL BANKER MM PARRISH","Toba Smith","259500298","259504874","Gainesville-Alachua","Gainesville-Alachua"
"1","GC501445","SLD","653 SW 139 CT","NEWBERRY","32669","WIMBERLEY","3,301","04343-010-008","$910,500","5","4","0","2022","None","Single Family Residence","Fee Simple","$0.00","0","0","0","Conventional","12/20/2021","$275.83","$275.83","1.00","BHGRE THOMAS GROUP","Tiffany Thomas","259503896","259500037","Gainesville-Alachua","Gainesville-Alachua"
"1","GC441763","SLD","10913 SW 14TH LN","GAINESVILLE","32608","CHENEY WALK ESTATES","3,597","04422-100-012","$911,000","4","3","1","2013","Private","Single Family Residence","","$16,469.00","48","48","3","Conventional","04/08/2021","$250.18","$253.27","1.01","BHGRE THOMAS GROUP","Tiffany Thomas","259503896","259505669","Gainesville-Alachua","Gainesville-Alachua"
"1","GC441756","SLD","3581 SW 106TH ST","Gainesville","32608","Estates of Wilds Plantation","3,322","06852-100-036","$915,000","4","4","0","2019","Private","Single Family Residence","","$14,837.00","56","56","6","Conventional","04/16/2021","$282.36","$275.44","0.98","Bosshardt Realty Services LLC","Kevin Banes","259505057","259504874","Gainesville-Alachua","Ocala - Marion"
"1","GC447395","SLD","3421 SW 105 ST","Gainesville","32608","Estates of Wilds Plantation","3,320","06852-100-060","$931,585","4","4","0","2022","None","Single Family Residence","","$2,633.00","88","88","0","Conventional","11/19/2021","$280.60","$280.6","1.00","COLDWELL BANKER MM PARRISH","Sandra Lehrer","259500492","259500037","Gainesville-Alachua","Gainesville-Alachua"
"1","GC446934","SLD","2648 SW 117th ST","Gainesville","32608","Oakmont","3,534","04427-111-157","$931,838","5","3","1","2022","Community","Single Family Residence","","$4,774.00","58","58","0","Conventional","10/01/2021","$263.68","$263.68","1.00","BHGRE Thomas Group","Brenda Banks","259500490","259506003","Gainesville-Alachua","Ocala - Marion"
"1","GC435058","SLD","14004 NW 21ST LN","Gainesville","32606","Canterbury Farms","4,792","04290-004-000","$935,000","5","4","1","2006","Private","Single Family Residence","","$12,581.00","282","282","237","Cash","03/08/2021","$208.68","$195.12","0.94","Pepine Realty","Betsy Pepine","259503892","259504874","Ocala - Marion","Ocala - Marion"
"1","GC443434","SLD","2607 SW 117th ST","Gainesville","32608","Oakmont","3,905","04427-111-159","$937,500","5","3","2","2018","Private, Community","Single Family Residence","","$2,035.00","183","183","183","Conventional","11/23/2021","$266.22","$240.08","0.90","ICI SELECT REALTY","Ali Kargar","253004979","264000698","Gainesville-Alachua","Tampa"
"1","GC441198","SLD","2261 NW 24th AVE","Gainesville","32605","Hermitage","3,845","09003-005-047","$939,000","4","3","2","1982","Private","Single Family Residence","","$9,370.00","62","62","3","Cash","03/31/2021","$244.21","$244.21","1.00","Bosshardt Realty Services LLC","Kenneth Cornell","259503253","259500004","Gainesville-Alachua","Ocala - Marion"
"1","GC440806","SLD","10483 SW 41st AVE","Gainesville","32608","Wilds Plantation","3,437","06852-040-097","$940,000","5","4","1","2017","Private","Single Family Residence","","$12,253.00","53","53","10","Other","03/09/2021","$282.19","$273.49","0.97","RE/MAX Professionals","Dada McGlynn-Multinational Team","275501157","259504926","Ocala - Marion","Ocala - Marion"
"1","GC447544","SLD","10042 SW 48TH PL","Gainesville","32608","HP/Kestral Point 18 I-Iii","4,133","06860-183-033","$949,000","4","3","1","1997","Private","Single Family Residence","","$11,083.00","31","31","-5","Conventional","09/17/2021","$229.62","$229.62","1.00","Matchmaker Realty Of Alachua County, Inc","Gia Arvin","259503472","259500037","Gainesville-Alachua","Gainesville-Alachua"
"1","GC439921","SLD","4548 SW 97th TER","Gainesville","32607","HP/India Station 26-I,Ii","4,743","06860-262-041","$949,900","5","5","0","2001","Private","Single Family Residence","","$14,719.00","167","167","114","Cash","05/17/2021","$200.27","$200.27","1.00","Bosshardt Realty Services LLC","Perry G. McDonald","259503206","70002595","Gainesville-Alachua","Ocala - Marion"
