prop_id,legal_acreage,living_area,imprv_det_quality_cd,tax_area_description,abs_subdv_cd,sl_price,effective_year_built,imprv_type_cd,base_area,actual_year_built,prop_val_yr,sup_num,CENTROID_X,CENTROID_y,geo_id,sum_us_area,total_porch_area,total_garage_area,effective_age,actual_age,has_canal,has_lake,number_of_baths,MISC_Val,hood_cd,sl_county_ratio_cd
19846,0.05,1166,3,SUWANNEE,245304,274100,2013,100,1166,2013,2022,0,-82.47972026,29.6641509,04314-102-151,0,167,273,8,8,0,0,2,947,154235.01,1
19847,0.06,1867,3,SUWANNEE,245304,343000,2013,100,1727,2013,2022,0,-82.47972039,29.66406703,04314-102-152,0,200,462,8,8,0,0,2,1288,154235.01,1
19852,0.05,1179,3,SUWANNEE,245304,286000,2016,100,1179,2016,2025,0,-82.47975289,29.66346628,04314-102-157,0,182,273,8,8,0,0,2,0,154235.01,1
37656,0.2,2532,4,GAINESVILLE,20100,423800,2001,100,2531.5,2001,2023,0,-82.37856212,29.69032587,06074-030-021,0,353.5,441,21,21,0,0,2,1420,174323.2,1
37662,0.22,2857,4,GAINESVILLE,20100,551800,2002,100,1815.5,2002,2025,0,-82.37912192,29.68934739,06074-030-027,1041,258.5,525,22,22,0,0,3,16462,174323.2,1
37675,0.54,1548,3,GAINESVILLE,218100,320000,2014,100,1308,1960,2025,0,-82.37549993,29.69159172,06075-010-000,0,392,0,10,64,0,0,2,3183,174323.17,1
81029,0.24,1274,3,GAINESVILLE,127100,270000,1995,100,888,1955,2025,0,-82.31594634,29.67106111,10115-000-000,0,414,0,29,69,0,0,1,1754,324433.02,1
81035,0.24,795,3,GAINESVILLE,127100,180800,1994,100,795,1950,2024,0,-82.3159428,29.66941123,10121-000-000,0,0,0,29,73,0,0,1,520,324433.02,1
81086,0.33,768,3,GAINESVILLE,127100,225000,2000,100,648,1950,2025,0,-82.31539447,29.66871608,10172-000-000,0,120,0,24,74,0,0,1,1119,324433.02,1
81087,0.34,1878,3,GAINESVILLE,127100,305000,2010,100,1878,1950,2025,0,-82.31538948,29.66843095,10173-000-000,0,222,0,14,74,0,0,2,4944,324433.02,1
81100,0.28,1418,3,GAINESVILLE,85300,154700,1970,100,1216,1951,2022,0,-82.31712015,29.66824742,10186-000-000,0,272,0,51,70,0,0,2,100,324433.05,1
19910,0.16,1880,3,SUWANNEE,152502,292000,2004,100,1880,1994,2022,0,-82.474043,29.66341776,04314-302-006,0,42,462,17,27,0,0,2,1144,154235.02,1
19927,0.21,1816,3,SUWANNEE,152502,266600,1995,100,1517,1993,2022,0,-82.47351334,29.66264622,04314-302-024,0,372,458,26,28,0,0,2,975,154235.02,1
25431,0.33,1200,2,ARCHER,0,60000,1995,100,1200,1980,2025,0,-82.52898958,29.53540559,05062-000-000,0,0,0,29,44,0,0,2,0,216216.01,1
25524,0.23,1044,2,SUWANNEE,0,85800,1999,100,1044,1962,2024,0,-82.52357926,29.52138827,05105-003-000,0,0,0,24,61,0,0,1,0,216200,1
37848,0.18,1595,3,GAINESVILLE,163601,220500,1995,100,1395,1992,2025,0,-82.357569,29.70064399,06076-040-024,0,311,506,29,32,0,0,2,248,154324.04,1
81108,0.28,1575,3,GAINESVILLE,85300,270300,1975,100,1575,1951,2023,0,-82.31711956,29.66768647,10194-000-000,0,96,0,47,71,0,0,1.5,7803,324433.02,1
81118,0.26,2676,3,GAINESVILLE,85300,200000,1995,100,1614,1951,2025,0,-82.31765202,29.66685202,10204-000-000,594,468,0,29,73,0,0,2,6480,324433.02,1
81204,0.26,1256,3,GAINESVILLE,46800,225000,1995,100,1256,1955,2025,0,-82.31853126,29.67073326,10246-044-000,0,30,0,29,69,0,0,1,535,324433.02,1
19943,0.14,1788,3,SUWANNEE,152500,313200,1996,100,1788,1991,2022,0,-82.47383154,29.66130695,04314-302-040,0,215,460,25,30,0,0,2,797,154235.02,1
19954,0.17,1764,3,SUWANNEE,152500,330400,1988,100,1764,1988,2023,0,-82.47435636,29.66047045,04314-302-051,0,107,399,34,34,0,0,2,1993,154235.02,1
19975,0.24,1842,3,SUWANNEE,152500,264600,1990,100,1589,1990,2023,0,-82.47302707,29.66004449,04314-302-072,0,325,427,32,32,0,0,2,2394,154235.02,1
20005,1.1,2369,4,SUWANNEE,156800,300000,1995,100,2369,1979,2025,0,-82.45605063,29.66692515,04321-001-000,0,427,480,29,45,0,0,3,6179,134236.01,1
37891,0.26,1806,3,GAINESVILLE,163602,63000,1995,100,1806,1994,2025,0,-82.35690149,29.70284641,06076-050-067,0,428,468,29,30,0,0,2,310,154324.04,1
81214,0.27,1147,3,GAINESVILLE,46800,168800,1979,100,1147,1955,2022,0,-82.31801039,29.66990737,10246-054-000,0,100,0,42,66,0,0,1,145,324433.05,1
81294,0.18,2224,4,GAINESVILLE,54100,523500,2000,100,1790,1927,2023,0,-82.32152987,29.66175878,10311-000-000,0,464,0,22,95,0,0,2,1784,324433.03,1
107248,0.2354,1985,3,ALACHUA,2594,437200,2017,100,1985,2017,2022,0,-82.5206312,29.80858463,03053-020-074,0,210,380,4,4,0,0,3,2092,233208.02,1
20069,1.38,3244,3,SUWANNEE,156500,337400,1973,100,3244,1969,2022,0,-82.46119626,29.66129007,04321-028-038,0,112,0,48,52,0,0,3,4619,134236.01,1
38018,0.2,1709,4,GAINESVILLE,193000,291400,1986,100,1709,1979,2022,0,-82.35917853,29.69195384,06076-055-028,0,0,190,35,42,0,0,2.5,3847,134324.23,1
81402,0.17,900,3,GAINESVILLE,67200,178100,1994,100,900,1928,2024,0,-82.31686226,29.66129037,10412-000-000,0,0,0,29,95,0,0,1,1432,324433.04,2
25768,80,1247,3,SUWANNEE,0,550000,1995,100,1247,1973,2025,0,-82.47755664,29.52719129,05192-002-000,0,132,325,29,51,0,0,1.5,6955,216200,1
38046,0.37,972,3,GAINESVILLE,183600,120100,1995,100,972,1979,2025,0,-82.35998203,29.69263535,06076-060-016,0,0,0,29,45,0,0,1.5,820,154324.1,1
38064,0.26,1068,3,GAINESVILLE,183600,170000,1999,100,1068,1980,2024,0,-82.36183384,29.69562404,06076-060-034,0,24,0,24,43,0,0,1,870,154324.1,1
38077,0.22,1250,3,GAINESVILLE,183600,151800,1990,100,1022,1980,2022,0,-82.36378381,29.69373729,06076-060-047,0,228,0,31,41,0,0,2,1860,154324.1,1
38090,0.29,1416,3,GAINESVILLE,183600,150200,1984,100,1416,1980,2023,0,-82.36292038,29.69513693,06076-060-060,0,72,0,38,42,0,0,2,832,154324.1,1
81415,0.36,1538,3,GAINESVILLE,67200,255000,2008,100,1298,1953,2025,0,-82.31686819,29.66320781,10419-001-000,0,308,0,16,71,0,0,2,290,324433.04,1
81439,0.11,951,3,GAINESVILLE,53900,215000,1994,100,759,1949,2024,0,-82.3162444,29.66271815,10442-000-000,0,272,0,29,74,0,0,1,785,324433.04,1
81448,0.23,940,3,GAINESVILLE,67200,209700,1992,100,784,1949,2022,0,-82.31209061,29.65983678,10451-000-000,0,156,0,29,72,0,0,1,826,324433.04,1
81488,0.4,1470,3,GAINESVILLE,67200,143400,1975,100,1392,1949,2022,0,-82.31093267,29.66269292,10490-000-000,0,78,0,46,72,0,0,1,3118,324433.04,1
81499,0.21,841,3,GAINESVILLE,67200,139800,1969,100,841,1949,2022,0,-82.31031098,29.66126073,10504-000-000,0,32,0,52,72,0,0,1,612,324433.04,1
38137,0.28,1377,3,GAINESVILLE,183600,277900,1995,100,1377,1979,2022,0,-82.36276557,29.69468649,06076-107-000,0,60,483,26,42,0,0,2,1369,154324.1,1
38171,0.23,912,3,GAINESVILLE,183701,184800,1990,100,912,1981,2022,0,-82.36040178,29.69963421,06076-200-013,0,72,180,31,40,0,0,1.5,1319,154324.1,1
81516,0.31,986,3,GAINESVILLE,95000,174200,1977,100,824,1948,2023,0,-82.31510141,29.66718274,10517-001-000,0,199,0,45,74,0,0,1,2464,324433.02,1
81531,0.26,927,3,GAINESVILLE,95000,254800,1995,100,864,1948,2023,0,-82.31510008,29.66598341,10520-002-000,0,12,0,27,74,0,0,1,0,324433.02,1
81557,0.58,942,3,GAINESVILLE,95000,307400,1980,100,861,1948,2022,0,-82.31394655,29.66375725,10523-006-000,0,115,0,41,73,0,0,1,320,324433.02,1
81560,0.45,1326,3,GAINESVILLE,95000,395300,2005,100,861,1948,2022,0,-82.31368278,29.66352131,10523-009-000,0,690,0,16,73,0,0,1,13594,324433.02,1
81561,0.27,1758,3,GAINESVILLE,95000,350000,1995,100,1602,1948,2025,0,-82.31323215,29.66353123,10523-010-000,0,156,0,29,76,0,0,2,1877,324433.02,2
81562,0.27,1014,3,GAINESVILLE,95000,146800,1972,100,1014,1948,2022,0,-82.31289125,29.66352971,10523-011-000,0,16,0,49,73,0,0,1,368,324433.02,1
20298,0.27,2463,4,SUWANNEE,245500,619100,2013,100,2155,2013,2022,0,-82.45977961,29.67086831,04321-053-052,308,345,528,8,8,0,0,4,10849,134236.03,1
20300,0.25,2443,4,SUWANNEE,245500,627500,2017,100,2442.5,2017,2025,0,-82.45921148,29.67109965,04321-053-054,0,340.5,483,7,7,0,0,2.5,46021,134236.03,1
81675,0.21,1036,3,GAINESVILLE,95300,180800,1982,100,1036,1958,2022,0,-82.30697989,29.66374797,10573-108-000,0,20,0,39,63,0,0,1.5,260,324433.02,1
