OID_,prop_id,legal_acreage,living_area,imprv_det_quality_cd,tax_area_description,sl_price,effective_year_built,imprv_type_cd,base_area,actual_year_built,prop_val_yr,sup_num,sum_us_area,total_porch_area,total_garage_area,effective_age,has_lake,number_of_baths,MISC_Val,Assessment_Val,landiness,CENTROID_X,CENTROID_Y,geo_id,Market_Cluster_ID,in_subdivision,is_townhouse,is_tiny,percent_good,ALACHUA,ARCHER,GAINESVILLE,HAWTHORNE,HIGH_SPRINGS,LACROSSE,MICANOPY,NEWBERRY,ST_JOHNS,SUWANNEE,WALDO,Alachua_Main,Archer_1,Buck_Bay,Duck_Pond,Eagle_Point,EastGNV,EastMidtownEastA,Gainesvilleish_Region,Golfview,HSBUI,HaileLike,Hawthorne_1,HighSpringsAGNV,HighSprings_A,HighSprings_B,HighSprings_E,HighSprings_F,High_Springs_Main,Lugano,MidtownEast_A,MidtownEast_B,MidtownEast_C,MidtownEast_D,Newmans_Lake,Real_Tioga,Springtree_A,Springtree_B,Tioga_A,Tioga_B,Turkey_Creek,WaldoRural_A,WaldoRural_C,WildsPlantation,swNewberry_A,swNewberry_B,built_before_1984,built_pre_1970_with_effective_le_1994,era_1900s,era_1910s,era_1920s,era_1930s,era_1940s,era_1950s,era_1960s,era_1970s,era_1980s,era_1990s,era_2000s,era_2010s,era_2020s,predicted_log_Assessment_Val,predicted_Assessment_Val,predicted_Market_Val,Market_Residual,Assessment_Residual,AbsV_Market_Residual,AbsV_Assessment_Residual,sale_ratio
2379,35329,0.220000000000000,1248,1.000000000000000,ST. JOHN'S,282200,1994,100,1248.000000000000000,1987,2024,0,0.000000000000000,168.000000000000000,400.000000000000000,29,0,2.000000000000000,2784,237086.000000000000000,0.264411899757395,-82.408696000000006,29.695446000000000,06048-010-044,HaileLike,True,False,False,0.710000000000000,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False,False,False,False,True,False,False,False,False,12.380316997571416,238069.278771565615898,240853.278771565615898,-41346.721228434384102,983.278771565615898,41346.721228434384102,983.278771565615898,0.853484332996335
2380,35330,0.220000000000000,1295,1.000000000000000,ST. JOHN'S,298000,1994,100,1295.000000000000000,1988,2024,0,0.000000000000000,50.000000000000000,400.000000000000000,29,0,2.000000000000000,5820,247480.000000000000000,0.264411899757395,-82.409001000000004,29.695343999999999,06048-010-045,HaileLike,True,False,False,0.710000000000000,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False,False,False,False,True,False,False,False,False,12.397443557292652,242181.701801035756944,248001.701801035756944,-49998.298198964243056,-5298.298198964243056,49998.298198964243056,5298.298198964243056,0.832220475842402
2381,35370,0.180000000000000,1228,1.000000000000000,ST. JOHN'S,276400,1995,100,1228.000000000000000,1990,2024,0,0.000000000000000,48.000000000000000,420.000000000000000,28,0,2.000000000000000,3003,231936.999999999970896,0.216337008892414,-82.406566999999995,29.695349000000000,06048-020-016,HaileLike,True,False,False,0.720000000000000,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,12.364393560749630,234308.420015542884357,237311.420015542884357,-39088.579984457115643,2371.420015542913461,39088.579984457115643,2371.420015542913461,0.858579667205293
2382,35436,0.200000000000000,1623,1.000000000000000,ST. JOHN'S,321400,1994,100,1469.000000000000000,1993,2024,0,0.000000000000000,194.000000000000000,400.000000000000000,29,0,2.000000000000000,2765,270425.000000000000000,0.240374454324905,-82.406567999999993,29.691920000000000,06048-050-002,HaileLike,True,False,False,0.710000000000000,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,12.521944069697238,274290.781692136020865,277055.781692136020865,-44344.218307863979135,3865.781692136020865,44344.218307863979135,3865.781692136020865,0.862027945526248
2383,35503,0.250000000000000,3111,1.150000000000000,ST. JOHN'S,749700,2016,100,2690.500000000000000,2016,2024,0,420.000000000000000,392.000000000000000,566.000000000000000,7,0,3.000000000000000,58577,578668.000000000000000,0.300468067906131,-82.410042000000004,29.690234000000000,06048-100-042,HaileLike,True,False,False,0.930000000000000,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,13.277340146829808,583815.418027455336414,642392.418027455336414,-107307.581972544663586,5147.418027455336414,107307.581972544663586,5147.418027455336414,0.856865970424777
2902,35301,0.520000000000000,1833,1.150000000000000,ST. JOHN'S,389900,2000,100,1833.000000000000000,1990,2024,0,0.000000000000000,399.000000000000000,420.000000000000000,23,0,2.000000000000000,3864,327550.999999999941792,0.624973581244753,-82.411642000000001,29.693933999999999,06048-010-016,HaileLike,True,False,False,0.770000000000000,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,12.841085383918134,377409.235846393334214,381273.235846393334214,-8626.764153606665786,49858.235846393392421,8626.764153606665786,49858.235846393392421,0.977874418687852
3060,35444,0.200000000000000,1492,1.000000000000000,ST. JOHN'S,291000,1994,100,1491.500000000000000,1992,2024,0,0.000000000000000,156.500000000000000,420.000000000000000,29,0,2.000000000000000,3053,244297.000000000000000,0.240374454324905,-82.406442999999996,29.691158999999999,06048-050-010,HaileLike,True,False,False,0.710000000000000,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,12.474569874173891,261599.470419774734182,264652.470419774763286,-26347.529580225236714,17302.470419774734182,26347.529580225236714,17302.470419774734182,0.909458661236339
3824,35320,0.210000000000000,1707,1.000000000000000,ST. JOHN'S,327900,1994,100,1707.000000000000000,1988,2024,0,0.000000000000000,48.000000000000000,400.000000000000000,29,0,2.000000000000000,2880,275835.000000000000000,0.252393177041150,-82.408912999999998,29.693695000000002,06048-010-035,HaileLike,True,False,False,0.710000000000000,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False,False,False,False,True,False,False,False,False,12.549767995167029,282029.793533336371183,284909.793533336371183,-42990.206466663628817,6194.793533336371183,42990.206466663628817,6194.793533336371183,0.868892325505753
4031,35464,0.190000000000000,3212,1.150000000000000,ST. JOHN'S,659300,2008,100,2792.000000000000000,2008,2023,0,420.000000000000000,238.000000000000000,568.000000000000000,14,0,3.500000000000000,2676,557729.000000000000000,0.228355731608660,-82.410758999999999,29.689910000000001,06048-100-003,HaileLike,True,False,False,0.860000000000000,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False,False,False,False,False,False,True,False,False,13.227834138459482,555616.806374763255008,558292.806374763255008,-101007.193625236744992,-2112.193625236744992,101007.193625236744992,2112.193625236744992,0.846796308774099
4039,35409,0.190000000000000,1465,1.000000000000000,ST. JOHN'S,335000,2000,100,781.000000000000000,1991,2022,0,684.000000000000000,36.000000000000000,420.000000000000000,21,0,2.500000000000000,4322,280428.000000000000000,0.228355731608660,-82.406159000000002,29.694279999999999,06048-040-014,HaileLike,True,False,False,0.790000000000000,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,12.559686793271554,284841.109503948362544,289163.109503948362544,-45836.890496051637456,4413.109503948362544,45836.890496051637456,4413.109503948362544,0.863173461205816
