OID_,Join_Count,TARGET_FID,prop_id,legal_acreage,living_area,imprv_det_quality_cd,tax_area_description,abs_subdv_cd,sl_price,effective_year_built,imprv_type_cd,base_area,actual_year_built,prop_val_yr,sup_num,CENTROID_X,CENTROID_y,geo_id,sum_us_area,total_porch_area,total_garage_area,effective_age,actual_age,has_canal,has_lake,number_of_baths,MISC_Val,hood_cd,FID_Market_Cluster,Name
5164,1,5164,21012,1.000000000000000,3352,4,SUWANNEE,105600,549500,1997,100,1710,1997,2023,0,-82.484711829999995,29.648865069999999,04333-005-051,1642,544,933,25,25,0,0,3.500000000000000,10599,215202.010000000009313,56,swNewberry_B
5165,1,5165,47183,0.230000000000000,1161,3,GAINESVILLE,216200,241000,2000,100,1161,1959,2023,0,-82.385454910000007,29.665121729999999,06397-029-000,0,0,0,22,63,0,0,2.000000000000000,568,114335.119999999995343,21,HighSpringsAGNV
5166,1,5166,21162,0.160000000000000,2366,4,SUWANNEE,199304,553700,2003,100,1332,2003,2024,0,-82.479728870000002,29.653218899999999,04333-050-115,1034,286,506,20,20,0,0,2.500000000000000,3200,215202.049999999988358,43,Tioga
5167,1,5167,77497,0.250000000000000,1532,3,GAINESVILLE,61300,182300,1983,100,1532,1950,2023,0,-82.337950800000002,29.684721180000000,08936-001-000,0,300,0,39,72,0,0,3.000000000000000,1520,324429.020000000018626,67,MidtownEast_C
5168,1,5168,98400,5.000000000000000,1566,3,ST. JOHN'S,0,296900,1970,100,1566,1950,2023,0,-82.253035769999997,29.610277459999999,18012-001-000,0,0,0,52,72,0,0,1.500000000000000,1196,315500.419999999983702,59,Rural_South
5169,1,5169,21281,0.150000000000000,2246,4,SUWANNEE,199308,654600,2010,100,2246,2006,2023,0,-82.479008910000005,29.648103400000000,04333-090-231,0,410,529,12,16,0,0,3.000000000000000,1673,215202.070000000006985,43,Tioga
5170,1,5170,21308,0.210000000000000,2013,4,SUWANNEE,199309,494900,2007,100,2013,2007,2025,0,-82.483428020000005,29.647615330000001,04333-100-257,0,478,495,17,17,0,0,2.000000000000000,872,215202.070000000006985,43,Tioga
5171,1,5171,77584,0.170000000000000,1323,3,GAINESVILLE,244100,319900,2014,100,1322,2014,2025,0,-82.344595530000007,29.683093939999999,08964-060-027,0,276,420,10,10,0,0,2.000000000000000,1108,324430.030000000027940,45,Springtree
5172,1,5172,77652,0.230000000000000,1207,3,GAINESVILLE,75400,257800,1980,100,1075,1965,2023,1,-82.345145860000002,29.687387260000001,08982-011-000,0,183,1089,42,57,0,0,2.000000000000000,3511,324430.030000000027940,45,Springtree
5173,1,5173,21346,0.360000000000000,5206,5,SUWANNEE,199312,1472500,2015,100,2899,2009,2025,0,-82.485103659999993,29.645804729999998,04333-112-292,2307,1065,1061,9,15,0,0,6.000000000000000,30355,215202.070000000006985,43,Tioga
5174,1,5174,77779,0.170000000000000,1180,3,GAINESVILLE,149900,258800,1995,100,1180,1980,2023,0,-82.354167640000000,29.687456189999999,08992-010-021,0,36,231,27,42,0,0,2.000000000000000,780,324430.039999999979045,45,Springtree
5175,1,5175,98682,3.340000000000000,1356,3,ST. JOHN'S,153900,282200,1999,100,1356,1900,2024,0,-82.208092489999999,29.595731409999999,18142-010-007,0,216,0,24,123,0,0,1.000000000000000,27008,315500.400000000023283,59,Rural_South
5176,1,5176,77799,0.190000000000000,1023,3,GAINESVILLE,150100,251500,2003,100,1023,1981,2024,0,-82.352965600000005,29.687395349999999,08992-020-007,0,68,285,20,42,0,0,2.000000000000000,361,324430.039999999979045,45,Springtree
5177,1,5177,47821,0.260000000000000,1950,3,GAINESVILLE,75600,313400,2005,100,1950,1967,2023,0,-82.373716889999997,29.670858710000001,06415-002-017,0,0,0,17,55,0,0,2.000000000000000,4912,114335.039999999993597,38,MidtownEast_B
5178,1,5178,47869,0.220000000000000,3933,4,GAINESVILLE,217800,804800,2002,100,2034,2002,2024,0,-82.374224150000003,29.669093130000000,06415-010-024,1899,275,529,21,21,0,0,3.000000000000000,2064,114335.149999999994179,38,MidtownEast_B
