prop_id,Cluster ID
1058,1
1143,1
1199,1
1270,1
1278,1
1302,1
1307,1
1311,1
1358,1
1359,1
1367,1
1416,1
1430,1
1473,1
1523,1
1526,1
1555,1
1610,1
1613,1
1624,1
1628,1
1641,1
1714,1
1717,1
1718,1
1719,1
1742,1
1745,1
1750,1
1778,1
1786,1
1788,1
1789,1
1790,1
1792,1
1795,1
1815,1
1817,1
1819,1
1830,1
1846,1
1866,1
1875,1
1918,1
1926,1
1927,1
1935,1
1941,1
1951,1
1960,1
1965,1
1966,1
1970,1
2026,1
2030,1
2033,1
2043,1
2047,1
2052,1
2060,1
2092,1
2096,1
2103,1
2124,1
2179,1
2200,1
2240,1
2247,1
2259,1
2339,1
2343,1
2344,1
2363,1
2364,1
2377,1
2384,1
2388,1
2391,1
2395,1
2409,1
2416,1
2453,1
2498,1
2518,1
2529,1
2532,1
2534,1
2564,1
2570,1
2598,1
2602,1
2619,1
2622,1
2712,1
2817,1
2857,1
2899,1
2919,1
2920,1
2927,1
2928,1
2929,1
2930,1
2934,1
2950,1
2962,1
2967,1
2976,1
2985,1
3017,1
3027,1
3033,1
3034,1
3037,1
3044,1
3055,1
3059,1
3071,1
3074,1
3100,1
3212,1
3234,1
3236,1
3237,1
3242,1
3245,1
3246,1
3256,1
3283,1
3326,1
3457,1
3705,1
3706,1
3766,1
3782,1
3795,1
3802,1
3821,1
3824,1
3826,1
3836,1
3846,1
3850,1
3873,1
3886,1
3929,1
3938,1
3947,1
3950,1
3956,1
3969,1
4032,1
4050,1
4054,1
4058,1
4104,1
4107,1
4176,1
4179,1
4181,1
4184,1
4192,1
4199,1
4203,1
4204,1
4209,1
4211,1
4244,1
4252,1
4256,1
4260,1
4268,1
4278,1
4285,1
4302,1
4309,1
4315,1
4318,1
4321,1
4339,1
4345,1
4347,1
4351,1
4356,1
4363,1
4368,1
4423,1
4449,1
4451,1
4467,1
4469,1
4483,1
4490,1
4495,1
4499,1
4506,1
4570,1
4598,1
4604,1
4613,1
4682,1
4687,1
4696,1
4703,1
4710,1
4720,1
4728,1
4729,1
4747,1
4759,1
4805,1
4825,1
4834,1
4842,1
4847,1
4848,1
4864,1
4871,1
4881,1
4891,1
4894,1
4904,1
4905,1
4909,1
4911,1
4921,1
4936,1
4969,1
4988,1
4999,1
5006,1
5010,1
5013,1
5017,1
5027,1
5029,1
5048,1
5049,1
5050,1
5064,1
5075,1
5081,1
5086,1
5091,1
5094,1
5098,1
5100,1
5104,1
5110,1
5116,1
5117,1
5119,1
5135,1
5136,1
5139,1
5140,1
5144,1
5148,1
5165,1
5171,1
5197,1
5235,1
5243,1
5245,1
5251,1
5253,1
5254,1
5259,1
5262,1
5266,1
5276,1
5282,1
5287,1
5303,1
5317,1
5329,1
5330,1
5331,1
5333,1
5336,1
5368,1
5395,1
5398,1
5410,1
5417,1
5422,1
5433,1
5444,1
5455,1
5488,1
5507,1
5523,1
5541,1
5562,1
5564,1
5587,1
5636,1
5681,1
5709,1
5805,1
5849,1
5860,1
5865,1
5866,1
5909,1
5928,1
5935,1
5952,1
5968,1
5983,1
6026,1
6039,1
6041,1
6042,1
6052,1
6056,1
6103,1
6117,1
6119,1
6163,1
6188,1
6229,1
6307,1
6353,1
6396,1
6406,1
6592,1
11560,1
11573,1
11578,1
11582,1
11587,1
11603,1
11608,1
11617,1
11633,1
11634,1
11847,1
11958,1
11975,1
12001,1
12007,1
12021,1
12115,1
12134,1
12151,1
12210,1
12230,1
12247,1
12252,1
12254,1
12259,1
12264,1
12275,1
