OID_,Join_Count,TARGET_FID,prop_id,legal_acreage,living_area,imprv_det_quality_cd,tax_area_description,abs_subdv_cd,sl_price,effective_year_built,imprv_type_cd,base_area,actual_year_built,prop_val_yr,sup_num,CENTROID_X,CENTROID_y,geo_id,sum_us_area,total_porch_area,total_garage_area,effective_age,actual_age,has_canal,has_lake,number_of_baths,MISC_Val,Name
27,1,27,11213,5.000000000000000,1672,3,SUWANNEE,170300,268300,2004,100,1672.000000000000000,2004,2023,0,-82.533909870000002,29.909839569999999,02796-010-010,0,452.000000000000000,420,18,18,0,0,2,904,Rural_North
28,1,28,11362,5.010000000000000,3146,3,SUWANNEE,16600,613600,2015,100,2768.000000000000000,1988,2023,0,-82.494784210000006,29.889344630000000,02823-003-032,0,604.000000000000000,0,7,34,0,0,3,8465,Rural_North
29,1,29,11603,2.840000000000000,1696,4,SUWANNEE,0,354100,2016,100,860.000000000000000,2007,2023,0,-82.556474370000004,29.865727020000001,02866-011-000,836,152.500000000000000,0,6,15,0,0,2,3128,Rural_North
30,1,30,11634,6.280000000000000,2582,4,SUWANNEE,0,580700,2014,100,2582.000000000000000,2006,2023,0,-82.541588090000005,29.860341040000002,02867-011-006,0,309.000000000000000,536,8,16,0,0,3,2498,Rural_North
31,1,31,11802,1.270000000000000,1954,3,SUWANNEE,1700,411400,2007,100,1954.000000000000000,2007,2023,0,-82.501758530000004,29.853919860000001,02915-029-002,0,426.000000000000000,503,15,15,0,0,2,3567,Rural_North
32,1,32,11958,5.010000000000000,2505,3,SUWANNEE,0,494600,1980,100,1791.000000000000000,1900,2023,0,-82.495354930000005,29.836205130000000,02963-000-000,714,0.000000000000000,0,42,122,0,0,2,10300,Rural_North
33,1,33,12102,341.300000000000011,4904,4,ALACHUA,0,5000000,1993,100,2784.000000000000000,1993,2023,0,-82.477025810000001,29.821189080000000,03003-000-000,2120,1488.000000000000000,0,29,29,0,0,3,56453,Alachua_Main
34,1,34,12247,1.030000000000000,1609,3,ALACHUA,123802,419900,2011,100,1609.000000000000000,2004,2023,0,-82.533434569999997,29.817790769999998,03024-020-010,0,174.000000000000000,528,11,18,0,0,2,6360,Alachua_Main
35,1,35,12252,1.520000000000000,2433,3,ALACHUA,123802,571700,2012,100,2017.000000000000000,2004,2023,0,-82.535623270000002,29.816905599999998,03024-020-015,416,733.000000000000000,960,10,18,0,0,3,16293,Alachua_Main
36,1,36,12279,1.060000000000000,1850,3,ALACHUA,125000,336300,2004,100,1850.000000000000000,2000,2023,0,-82.526929659999993,29.814997470000002,03024-040-001,0,189.000000000000000,506,18,22,0,0,2,2101,Alachua_Main
37,1,37,28344,0.500000000000000,2546,4,ALACHUA,201200,380400,1982,100,2366.000000000000000,1979,2023,0,-82.421975419999995,29.761751660000002,05900-005-026,0,180.000000000000000,596,40,43,0,0,2,9065,Turkey_Creek
38,1,38,28381,0.520000000000000,2181,4,ALACHUA,201200,368100,2005,100,2181.000000000000000,2005,2023,0,-82.420026859999993,29.757336309999999,05900-005-064,0,173.000000000000000,480,17,17,0,0,2,3021,Turkey_Creek
39,1,39,28474,0.330000000000000,3357,3,ALACHUA,202601,645100,2017,100,3357.000000000000000,2017,2023,0,-82.416528040000003,29.756288990000002,05900-016-003,0,429.000000000000000,576,5,5,0,0,3,3362,Turkey_Creek
40,1,40,28513,0.180000000000000,1610,4,ALACHUA,239000,332300,2004,100,1610.000000000000000,2004,2023,0,-82.424709960000001,29.760935289999999,05900-020-029,0,230.000000000000000,484,18,18,0,0,2,856,Turkey_Creek
