"#","ML Number","Status","Address","City","Zip","Legal Subdivision Name","Heated Area","Tax ID","Current Price","Beds","Full Baths","Half Baths","Year Built","Pool","Property Style","Ownership","Tax","CDOM","ADOM","Days to Contract","Sold Terms","Close Date","LP / SqFt","SP/SqFt","SP / LP","List Office","List Agent","List Agent ID","Selling Office ID","LSC List Side","List Office Primary Board ID"
"1","GC507422","SLD","6014 NW 52ND TER","GAINESVILLE","32653","DEER RUN II","1,344","06023-020-029","$285,000","3","2","0","1980","None","Single Family Residence","Fee Simple","$2,370.00","22","22","35","Conventional","10/17/2022","$212.05","$212.05","1.00","BHGRE THOMAS GROUP","Sarah Altbuch","259505199","264000445","Gainesville-Alachua","Gainesville-Alachua"
"1","O6045980","SLD","20354 NW 254TH WAY","HIGH SPRINGS","32643","RIVERGLEN","1,436","00181-100-014","$285,000","3","2","0","2001","None","Single Family Residence","Fee Simple","$3,694.00","19","19","19","Conventional","10/04/2022","$198.47","$198.47","1.00","ABBA REALTY SVC INC","Stephen Ivy","259503066","259500046","Orlando Regional","Orlando Regional"
"1","GC507037","SLD","5719 NW 23RD AVE","GAINESVILLE","32606","PINE WOODS","1,724","06353-150-014","$285,000","3","2","0","1970","None","Single Family Residence","Fee Simple","$1,787.00","50","50","57","Conventional","10/10/2022","$173.72","$165.31","0.95","RE/MAX PROFESSIONALS","Milo Ahlstrom","259503730","259506544","Gainesville-Alachua","Gainesville-Alachua"
"1","GC506441","SLD","25248 SW 22ND AVE","NEWBERRY","32669","REPLAT SYLVANIA TERRACE","1,663","02534-022-013","$285,000","3","2","0","2006","None","Single Family Residence","Fee Simple","$4,600.00","3","3","4","Cash","08/09/2022","$174.20","$171.38","0.98","SHOWCASE PROPERTIES OF CENTRAL","Ryan Swanson","271515296","265578435","Gainesville-Alachua","Ocala - Marion"
"1","A4540009","SLD","1606 NW 41ST ST","GAINESVILLE","32605","PALM VIEW ESTATES ADD 2","1,466","06392-002-017","$285,000","4","2","0","1973","None","Single Family Residence","Fee Simple","$2,914.22","58","58","65","Conventional","10/12/2022","$197.68","$194.41","0.98","FLATFEE.COM","Cliff Glansen","278017259","259500060","Sarasota - Manatee","Sarasota - Manatee"
"1","GC506189","SLD","25393 NW 9TH RD","NEWBERRY","32669","NEWTOWN 1894 PH 1","1,559","01894-101-011","$285,000","3","2","0","2006","None","Single Family Residence","Fee Simple","$3,921.00","35","35","61","Cash","12/13/2022","$185.95","$182.81","0.98","UNIVERSITY REALTY","Cinthya Gaxiola","259505321","259504837","Gainesville-Alachua","Gainesville-Alachua"
"1","GC506119","SLD","16673 NW 192ND TER","HIGH SPRINGS","32643","OAK RIDGE AT HIGH SPGS PH II","1,552","03034-020-090","$285,000","3","2","0","2016","None","Single Family Residence","Fee Simple","$2,578.00","46","46","82","FHA","10/07/2022","$190.08","$183.63","0.97","BOUKARI REALTY, INC","Koren Boukari","259506374","259500046","Gainesville-Alachua","Gainesville-Alachua"
"1","GC506079","SLD","3109 NW 35TH TER","GAINESVILLE","32605","NONE","1,420","06102-008-000","$285,000","3","2","0","1977","None","Single Family Residence","Fee Simple","$3,388.00","14","14","16","Cash","08/26/2022","$211.27","$200.7","0.95","BHHS FLORIDA REALTY","Bonnie Kraft","259500363","259504964","Gainesville-Alachua","Gainesville-Alachua"
"1","GC505464","SLD","7751 SW 47TH LN","GAINESVILLE","32608","HAILE PLANTATION UNIT 10 PH I","1,756","06860-101-017","$285,000","3","3","0","1987","None","Single Family Residence","Fee Simple","$2,358.86","16","16","29","Cash","07/08/2022","$179.38","$162.3","0.90","BHHS FLORIDA REALTY","Mae Alden","259500512","259505695","Gainesville-Alachua","Gainesville-Alachua"
"1","GC505068","SLD","4006 NW 21ST DR","GAINESVILLE","32605","HAZEL HEIGHTS SUB","1,296","07917-042-000","$285,000","3","2","0","1959","None","Single Family Residence","Fee Simple","$3,475.00","2","2","2","Conventional","06/21/2022","$219.91","$219.91","1.00","SUSKIN REALTY INC","Marc Suskin","259500193","259500792","Gainesville-Alachua","Gainesville-Alachua"
