Unnamed: 0,prop_id,legal_acreage,living_area,imprv_det_quality_cd,tax_area_description,abs_subdv_cd,sl_price,effective_year_built,imprv_type_cd,base_area,actual_year_built,prop_val_yr,sup_num,CENTROID_X,CENTROID_y,geo_id,sum_us_area,total_porch_area,total_garage_area,effective_age,actual_age,has_canal,has_lake,number_of_baths,MISC_Val,hood_cd,sl_county_ratio_cd
307,21291,0.37,3539,4,SUWANNEE,199309,995000,2013,100,2258.5,2013,2025,0,-82.48350517,29.64806067,04333-100-240,1280.0,603.5,484,11,11,0,0,4.0,38134,215202.07,1
309,20912,1.44,1534,3,SUWANNEE,151800,293000,1995,100,1534.0,1974,2025,0,-82.46866272,29.64863412,04330-010-001,0.0,176.0,520,29,50,0,0,2.0,17573,215201.03,2
311,20005,1.1,2369,4,SUWANNEE,156800,300000,1995,100,2369.0,1979,2025,0,-82.45605063,29.66692515,04321-001-000,0.0,427.0,480,29,45,0,0,3.0,6179,134236.01,1
312,19852,0.05,1179,3,SUWANNEE,245304,286000,2016,100,1179.0,2016,2025,0,-82.47975289,29.66346628,04314-102-157,0.0,182.0,273,8,8,0,0,2.0,0,154235.01,1
314,19056,5.01,2293,3,SUWANNEE,0,455000,2012,100,2293.0,2012,2025,0,-82.51753094,29.67487634,04238-005-000,0.0,108.0,0,12,12,0,0,3.0,426,154200.0,2
316,18809,0.17,1774,3,SUWANNEE,239800,342000,2005,100,1774.0,2005,2025,0,-82.4980024,29.67242641,04227-010-017,0.0,275.0,460,19,19,0,0,2.0,838,134227.02,1
317,18375,0.19,1911,4,SUWANNEE,212702,239900,1999,100,1911.0,1999,2025,0,-82.4627114,29.68471248,04211-322-073,0.0,188.0,504,25,25,0,0,2.0,389,134225.02,1
319,17520,5.0,768,4,SUWANNEE,219500,285000,2015,100,768.0,2010,2025,0,-82.52461931,29.70360046,04138-010-009,0.0,228.0,0,9,14,0,0,1.0,8700,154200.0,1
322,15383,5.0,1561,4,ALACHUA,19600,265000,1995,100,1561.0,1995,2025,0,-82.52590983,29.77792548,03903-030-006,0.0,20.0,520,29,29,0,0,2.0,2416,233221.11,1
323,15375,5.0,1960,3,ALACHUA,19500,430000,1992,100,1960.0,1992,2025,0,-82.51557529,29.77852344,03903-010-023,0.0,96.0,546,32,32,0,0,2.5,15664,233221.11,1
324,14914,0.37,2147,4,ALACHUA,244300,539900,2014,100,2147.0,2014,2025,0,-82.50329339,29.79284779,03863-020-009,0.0,359.0,420,10,10,0,0,2.0,11761,233215.04,2
