prop_id,legal_acreage,living_area,imprv_det_quality_cd,tax_area_description,abs_subdv_cd,sl_price,Total_MISC_Val,effective_year_built,imprv_type_cd,base_area,sum_us_area,total_porch_area,total_garage_area,effective_age
1307,2,2508,4,SUWANNEE,33400,535500,50578,2005,100,2508,0,282,506,20
1358,1.29,2587,4,HIGH SPRINGS,237800,544500,10274,2015,100,2371.5,0,488.5,529,10
1628,1,2004,3,HIGH SPRINGS,167000,443500,15700,2010,100,4008,0,1392,1248,15
1714,0.24,1360,3,HIGH SPRINGS,180900,252200,2417,1994,100,1360,0,88,546,31
1719,0.3,1165,3,HIGH SPRINGS,180900,223300,2249,1998,100,1165,0,40,216,27
1788,0.17,1202,3,HIGH SPRINGS,180901,244400,0,2023,100,1202,0,76,380,2
1789,0.17,1209,3,HIGH SPRINGS,180901,255000,942,2023,100,1209,0,16,420,2
1790,0.18,1418,3,HIGH SPRINGS,180901,292500,368,2012,100,2836,0,300,760,13
1792,0.18,1742,3,HIGH SPRINGS,180901,312000,1455,2017,100,1742,0,312,462,8
1819,0.12,1264,3,HIGH SPRINGS,250800,237700,1000,2012,100,1264,0,244,380,13
1830,0.18,1421,3,HIGH SPRINGS,250800,295900,400,2017,100,1421,0,120,460,8
1866,0.36,1200,3,HIGH SPRINGS,0,228300,487,2008,100,1200,0,96,0,17
1935,0.43,2163,3,HIGH SPRINGS,189800,374600,16641,2010,100,1496,667,360,0,15
1941,0.66,1767,3,HIGH SPRINGS,189800,280000,0,1998,100,1767,0,440,0,27
1960,0.21,1593,3,HIGH SPRINGS,247500,308600,1074,2013,100,1593,0,170,484,12
1970,0.21,1441,3,HIGH SPRINGS,247500,316800,671,2017,100,2882,0,376,800,8
2030,0.25,1644,3,HIGH SPRINGS,247500,320300,1216,2015,100,1644,0,290,484,10
2047,0.2,1772,3,HIGH SPRINGS,247500,331700,1180,2014,100,1772,0,216,484,11
2096,0.23,1752,3,HIGH SPRINGS,247500,333200,1310,2015,100,1752,0,236,484,10
2179,4,1470,3,SUWANNEE,0,242400,12203,2003,100,870,0,600,0,22
2200,5,1860,3,HIGH SPRINGS,203500,436500,50981,2015,100,1860,0,372,0,10
2343,1.03,1667,3,HIGH SPRINGS,107700,434300,7669,1997,100,1667,0,214,567,28
2344,1.03,2045,3,HIGH SPRINGS,107700,429700,12222,2004,100,2045,0,338,504,21
2363,0.25,1457,3,HIGH SPRINGS,94000,314600,420,2010,100,1457,0,214,420,15
2364,0.25,1629,3,HIGH SPRINGS,94000,311900,18203,2008,100,1629,0,209,441,17
2384,0.25,1465,3,HIGH SPRINGS,94001,299900,413,2010,100,2930,0,428,824,15
2518,0.23,1178,3,HIGH SPRINGS,178600,218100,1159,1998,100,1178,0,124,264,27
2529,0.46,1259,3,HIGH SPRINGS,178600,272300,411,2015,100,1259,0,78,240,10
2602,0.17,900,3,HIGH SPRINGS,73000,194900,173,1995,100,900,0,116,252,30
2622,0.17,956,3,HIGH SPRINGS,73000,189300,1012,2010,100,956,0,48,0,15
2919,0.35,2401,4,HIGH SPRINGS,64600,434200,4988,2001,100,1894,0,535,676,24
2928,0.34,1312,3,HIGH SPRINGS,64600,243500,0,2009,100,856,0,456,0,16
2934,0.34,1318,3,HIGH SPRINGS,64600,275400,12612,1999,100,1318,0,92,416,26
2950,0.34,1316,3,HIGH SPRINGS,64600,243900,1504,1994,100,1316,0,198,252,31
3017,0.34,1606,2,HIGH SPRINGS,64600,197000,2564,1994,100,1456,0,150,0,31
3044,1.15,1930,3,HIGH SPRINGS,64500,165000,508,1975,100,1930,0,0,0,50
3059,0.34,1008,3,HIGH SPRINGS,93500,128800,5645,1994,100,1008,0,0,0,31
3236,0.34,1029,3,HIGH SPRINGS,64600,216300,4356,2008,100,1029,0,0,0,17
3237,0.34,1171,3,HIGH SPRINGS,64600,245000,2124,2005,100,2342,0,294,0,20
3371,0.34,832,3,HIGH SPRINGS,64600,149800,3753,1994,100,1664,0,0,396,31
3382,0.32,1624,3,HIGH SPRINGS,64600,319900,4016,2012,100,1760,1296,262,0,13
3384,0.23,1600,3,HIGH SPRINGS,64600,247500,314,1999,100,1600,0,24,0,26
3387,0.46,2513,3,HIGH SPRINGS,64600,368700,7300,2003,100,1188,0,1937,0,22
3389,0.28,2066,3,HIGH SPRINGS,64600,297000,10668,2000,100,2066,0,108,0,25
3398,0.14,1136,3,HIGH SPRINGS,64600,226600,320,2009,100,608,528,15,0,16
3405,0.34,1172,3,HIGH SPRINGS,64600,171500,0,1995,100,968,0,204,0,30
3408,0.34,1371,3,HIGH SPRINGS,64600,83200,4716,1994,100,2742,0,0,0,31
3423,0.25,1657,3,HIGH SPRINGS,64600,287900,1851,2009,100,1603,0,744,0,16
3557,0.34,1058,3,HIGH SPRINGS,94500,211200,425,2012,100,1058,0,276,0,13
3824,0.23,1100,3,HIGH SPRINGS,171900,221500,2500,2009,100,1100,0,144,0,16
3826,0.17,1580,3,HIGH SPRINGS,171900,178500,1155,1994,100,1580,0,0,0,31
3947,0.23,1524,3,HIGH SPRINGS,45800,290700,1616,2007,100,1524,0,454,460,18
4050,0.74,1860,4,HIGH SPRINGS,236800,385000,19073,2007,100,1859.5,0,374.5,511,18
4058,1.02,1958,4,HIGH SPRINGS,236800,442000,38944,2006,100,1958,0,530,462,19
4176,0.5,1398,3,HIGH SPRINGS,0,359800,3123,2014,100,2586,0,120,0,11
4209,0.25,1290,3,HIGH SPRINGS,180500,273900,1174,2013,100,1289.5,0,124.5,420,12
4252,0.3,1201,3,HIGH SPRINGS,180500,198900,1309,1994,100,925,0,332,0,31
4278,0.25,925,3,HIGH SPRINGS,180500,185000,4327,1999,100,925,0,148,0,26
4347,0.25,1413,3,HIGH SPRINGS,180500,275400,555,2003,100,1413,0,40,380,22
4451,0.33,1008,3,HIGH SPRINGS,9005,175100,192,1994,100,3024,0,375,0,31
4469,0.33,1000,3,HIGH SPRINGS,9105,167300,358,1994,100,1000,0,0,0,31
4499,0.35,1308,3,HIGH SPRINGS,8905,248000,15524,1994,100,1308,0,60,0,31
4604,5.27,2341,3,SUWANNEE,160200,494400,16554,2005,100,2341,0,563,0,20
4613,2.12,2088,3,SUWANNEE,700,329600,18719,2009,100,1588,0,36,0,16
4621,0.43,1058,3,SUWANNEE,160100,258600,6522,1994,100,750,0,308,0,31
4682,5.01,2937,4,HIGH SPRINGS,227600,695800,1630,2020,100,4554,1320,1022,1440,5
4696,6.36,3098,4,HIGH SPRINGS,227600,841500,31514,2015,100,3098,0,442.5,951,10
4720,1.01,2277,3,HIGH SPRINGS,232400,513100,20383,2012,100,2277,0,349,574,13
4728,1.85,2103,3,HIGH SPRINGS,232400,474700,2620,2012,100,2103,0,316,491,13
4848,1.02,1873,3,HIGH SPRINGS,228700,443500,47412,2012,100,5619,0,1557,1380,13
4864,1.02,2096,3,HIGH SPRINGS,228700,437800,20021,2010,100,2096,0,660,506,15
4871,1.03,1828,3,HIGH SPRINGS,228700,367500,24162,2003,100,1828,0,330.5,484,22
4881,1.04,2058,3,HIGH SPRINGS,228700,445500,2852,2012,100,4116,0,532,924,13
4909,1.01,2104,4,HIGH SPRINGS,227601,539900,22806,2014,100,2104,0,204,716,11
4911,1,1984,4,HIGH SPRINGS,227601,479300,9333,2014,100,1984,0,241,463,11
4921,1.56,1525,4,HIGH SPRINGS,227601,396000,1648,2016,100,3050,0,252,920,9
5013,0.23,1056,3,HIGH SPRINGS,180500,227000,540,2007,100,1056,0,0,0,18
5027,0.23,1144,3,HIGH SPRINGS,180500,203000,2209,1994,100,1144,0,120,168,31
5050,0.34,1332,3,HIGH SPRINGS,180500,261900,0,2007,100,1332,0,104,0,18
5081,0.58,1767,3,HIGH SPRINGS,165100,282200,1160,1994,100,3534,0,486,1020,31
5086,0.4,1323,3,HIGH SPRINGS,180500,169800,6718,1994,100,1323,0,76,0,31
5091,0.5,1690,3,HIGH SPRINGS,180500,273900,3635,2001,100,1522,0,210,0,24
5094,0.7,1520,3,HIGH SPRINGS,180500,262400,1531,1994,100,1520,0,68,0,31
5098,0.34,1574,3,HIGH SPRINGS,180500,270200,966,2003,100,1298,0,336,0,22
5117,0.34,1289,3,HIGH SPRINGS,180500,220000,2226,2003,100,1289,0,60,0,22
5140,0.3,1140,3,HIGH SPRINGS,180500,247000,788,2000,100,1140,0,64,0,25
5165,5,1284,4,HIGH SPRINGS,227500,387100,2304,2014,100,2568,0,296,966,11
5171,2.5,3114,4,HIGH SPRINGS,227500,530200,2604,2003,100,3114,0,280,1524,22
5253,1,1779,3,HIGH SPRINGS,228100,460000,39466,2004,100,3558,0,1728,1126,21
5254,1,1848,3,HIGH SPRINGS,228100,460400,18954,2012,100,3695,0,949,924,13
5276,1.34,2080,3,HIGH SPRINGS,228100,470300,24089,2005,100,4160,0,414,968,20
5331,1.03,2207,3,HIGH SPRINGS,236000,510000,43248,2003,100,2206.5,0,231,575,22
5398,0.37,2108,3,HIGH SPRINGS,245400,446200,2812,2014,100,2107.5,0,290.5,462,11
5417,0.37,2020,3,HIGH SPRINGS,245400,422300,948,2007,100,2020,0,278,460,18
5433,0.51,2048,3,HIGH SPRINGS,245400,468000,4921,2009,100,4096,0,1164,1232,16
5444,0.37,2450,3,HIGH SPRINGS,245400,473600,19458,2017,100,2450,0,379,506,8
5488,5.01,3363,4,HIGH SPRINGS,145600,710500,21518,2006,100,3363,0,390,1662,19
5507,5.03,1788,4,HIGH SPRINGS,145600,405900,14752,2012,100,1788,0,418,0,13
5564,5.01,2729,4,HIGH SPRINGS,183300,681800,42206,2017,100,2728.5,0,795.5,508,8
5681,2,616,2,SUWANNEE,0,80800,7152,1994,100,616,0,0,0,31
5709,5,1886,3,HIGH SPRINGS,146000,345100,446,2001,100,1886,0,60,420,24
5865,7.46,2165,3,SUWANNEE,0,212100,6360,1994,100,2165,0,0,0,31
5866,9.08,1682,3,SUWANNEE,0,350000,216,2004,100,3364,0,610,868,21
5928,2.5,1562,3,SUWANNEE,0,145600,22013,1994,100,1562,0,120,0,31
5935,6.64,1878,3,SUWANNEE,0,465300,11035,1994,100,3756,0,252,0,31
5952,5.1,1712,3,SUWANNEE,0,341900,10268,2009,100,1712,0,102,0,16
5968,1,1248,3,SUWANNEE,0,259500,200,1994,100,2112,0,624,0,31
5983,4.03,1862,3,SUWANNEE,0,383000,6820,1999,100,3724,0,160,1144,26
6041,2.05,1873,3,HIGH SPRINGS,59000,445500,2813,2015,100,1873,0,268,420,10
6042,3.1,1460,3,HIGH SPRINGS,59000,392000,6871,2015,100,1460,0,76,462,10
6052,5,3348,4,SUWANNEE,151000,743600,34241,2009,100,3347.5,0,1089.5,682,16
6163,4.37,2943,4,SUWANNEE,0,568300,36586,2004,100,2023,920,436,0,21
6188,6.58,2142,4,SUWANNEE,0,596700,4592,2021,100,1488,654,314,0,4
6406,5,1560,3,SUWANNEE,0,405900,21204,2013,100,3120,0,624,0,12
6740,20,4529,5,SUWANNEE,0,1542300,254508,2017,100,3665,864,684,576,8
6907,2,2252,4,SUWANNEE,47700,501300,11748,2012,100,2252,0,658,672,13
6909,3.88,2462,4,SUWANNEE,47700,657900,6349,2014,100,4294,630,1437,1208,11
6981,5,1908,3,SUWANNEE,0,414100,14958,2010,100,3384,288,144,0,15
7010,5.17,2051,3,SUWANNEE,29800,353400,21563,1994,100,2051,0,0,0,31
7032,4.89,1118,3,SUWANNEE,29800,329800,11498,2003,100,1118,0,108,0,22
7147,5.09,1584,3,NEWBERRY,0,530000,25890,2015,100,1584,0,448,0,10
7404,1.53,1188,3,NEWBERRY,138502,301000,2927,2015,100,1188,0,64,273,10
7412,1.53,1169,3,NEWBERRY,138502,294000,8491,2007,100,1169,0,93,483,18
7422,1.04,1819,3,NEWBERRY,138502,425000,5287,2015,100,1818.5,0,433.5,576,10
7423,1.07,1737,3,NEWBERRY,138502,346500,7264,2001,100,1737,0,144,0,24
7476,1,1763,3,NEWBERRY,138503,414000,30071,2004,100,1763,0,344,483,21
7668,0.2,1369,3,NEWBERRY,241900,272000,1403,2005,100,2738,0,284,800,20
7684,0.19,1897,3,NEWBERRY,241900,315300,3424,2006,100,1897,0,297,441,19
7691,0.19,1802,3,NEWBERRY,241900,340700,809,2005,100,3604,0,200,882,20
