prop_id,market
1610,247843
1624,315652
1714,190064
1719,168325
1786,218735
1789,221498
1815,227229
1846,207637
1941,229557
1960,243822
1965,263682
2033,234229
2047,267042
2092,282321
2179,208085
2259,293171
2363,249492
2395,242420
2409,409435
2534,207487
2602,179760
2622,193040
2817,146553
2857,147638
2928,189234
2962,247613
2967,275663
3071,252276
3212,147341
3310,297205
3316,300015
3432,155765
3547,263953
3553,111826
3821,179732
3824,156486
3826,153772
3850,177844
3938,230294
3947,236604
3956,170143
3969,120329
4032,179544
4104,119148
4179,211426
4256,212755
4347,198399
4351,195513
4423,217826
4449,187681
4483,178569
4490,223230
4604,415754
4682,548110
4703,365405
4759,384649
4848,366717
4871,309328
4904,355738
4969,409383
5017,138403
5049,157236
5227,173426
5331,407709
5417,309158
5444,410156
5455,392832
5507,344222
5541,302329
5562,522539
5681,98834
5860,258889
5866,417973
6119,343370
6188,467968
6307,562533
6353,518800
7032,246146
7460,283829
7471,255201
7476,344680
7695,228897
7713,277833
7722,268572
7772,262766
7795,239994
7797,250383
7915,309495
7927,232742
7978,289379
7990,274883
8066,354915
8075,292493
8102,308831
8259,501201
8335,324238
8363,345823
8402,291804
8405,321660
8419,280818
8421,323981
8429,379878
8602,195712
8632,168516
8634,181152
8652,182229
8734,199342
8750,174377
8815,207938
9012,196224
9051,138091
9095,217999
9289,93969
9356,193318
9396,125241
9429,221870
9469,164616
9478,222186
9502,184447
9503,165656
9688,244797
9736,242609
9791,306704
9858,166097
9868,222193
9928,251129
9953,265140
10001,276784
10206,1727561
10286,315487
10722,368323
11208,363906
11573,450713
11578,435685
12021,197335
12115,504855
12247,356555
12386,253444
12465,210662
12558,230735
12559,240381
12676,443787
12682,400858
12689,330148
12708,329945
12803,255434
12817,407367
12823,281850
12850,501248
13549,235919
13694,231464
13705,224565
13707,221612
13738,192014
13739,182413
13796,175660
13836,169559
13894,99491
13991,128182
14016,206227
14073,307286
14137,282492
14140,145056
14170,168900
14239,162524
14542,236442
14555,231045
14621,119669
14763,51472
14802,121429
14862,148260
15155,355928
15396,154445
15543,258696
15571,231414
15594,257446
15605,250215
15641,162801
15764,789129
15786,503312
15794,658987
15860,526350
15981,166756
16028,217244
16039,188929
16113,269967
16179,180780
16934,351942
17028,374128
17186,817729
17624,216587
17796,706244
17854,565062
18066,273133
18126,241714
18253,309343
18278,271480
18282,310503
18314,299974
18331,296795
18353,295103
18354,261922
18402,236285
18425,300762
18470,277255
18476,386951
18478,287590
18481,337759
18593,548179
18630,468666
18648,535940
18652,489422
18663,505892
18679,785215
18680,780247
18747,356440
18752,394594
18754,362451
18767,340084
18804,323751
18853,313651
18855,299902
18857,320942
18861,289283
18895,391208
18903,306151
18917,329292
18966,385799
19165,547182
19442,755324
19484,339302
19485,280303
19487,298291
19604,1516179
19682,923895
19698,249288
19700,233340
19769,255399
19798,229727
19818,302245
19828,299783
19833,241147
19860,192575
19865,189262
19896,184569
19927,257400
19942,243103
19954,259090
19967,245454
19977,265349
19988,253086
20069,392394
20090,417693
20116,707634
20173,284888
20185,306405
20214,220582
20344,345309
20357,334261
20415,366684
20467,305551
20483,319269
20490,453693
20581,322341
20592,353264
20595,356276
20634,297184
20678,352045
20692,455249
20710,302098
20733,302542
20738,301013
20771,1275215
20798,1174345
20820,831243
20838,467654
20877,484694
20893,442218
20918,230796
20938,558763
20976,483874
20988,438452
21001,575900
21115,483229
21116,972745
21124,456804
21156,506912
21162,445753
21224,584149
21233,517460
21251,511807
21260,565087
21265,676668
21279,726270
21283,479208
21304,599376
21307,543443
21310,656302
21339,788561
21350,806741
21354,947966
21355,617152
21370,1041254
21605,193820
21700,257047
21740,432992
21744,394572
21783,608115
21929,187751
21944,341658
22042,506101
22145,290532
22491,628975
22495,589440
22546,330461
22582,817979
22585,863840
22613,896638
22623,690643
22793,1447705
22802,1057915
22807,1332004
22927,431366
22930,494889
23079,482673
23118,604899
23143,125983
