OID_,prop_id,legal_acreage,living_area,imprv_det_quality_cd,tax_area_description,sl_price,Total_MISC_Val,effective_year_built,imprv_type_cd,base_area,sum_us_area,total_porch_area,total_garage_area,effective_age,Assessment_Val,landiness,CENTROID_X,CENTROID_Y,geo_id,Market_Cluster_ID,in_subdivision,is_townhouse,is_tiny,percent_good,ALACHUA,ARCHER,GAINESVILLE,HAWTHORNE,HIGH_SPRINGS,LACROSSE,MICANOPY,NEWBERRY,ST_JOHNS,SUWANNEE,WALDO,Alachua_Main,ARCHER_1,Duck_Pond,EastMidtownEastA,Gainesvilleish_Region,Golfview,HSBUI,HaileLike,HAWTHORNE_1,HighSpringsAGNV,HighSprings_A,HighSprings_B,HighSprings_E,HighSprings_F,High_Springs_Main,LACROSSE_1,Lugano,MidtownEast_A,MidtownEast_B,MidtownEast_C,MidtownEast_D,Newmans_Lake,Real_Tioga,Springtree_A,Springtree_B,Thornebrooke,Tioga_A,Tioga_B,Turkey_Creek,WaldoRural_A,West_Outer_Gainesville,West_of_Waldo_rd,WildsPlantation,swNewberry_A,swNewberry_B,predicted_log_Assessment_Val,predicted_Assessment_Val,predicted_Market_Val,Market_Residual,Assessment_Residual,AbsV_Market_Residual,AbsV_Assessment_Residual,sale_ratio
5665,74159,0.350000000000000,1248,1.000000000000000,GAINESVILLE,266700,1075,2010,100,1248.000000000000000,0.000000000000000,24.000000000000000,240.000000000000000,15,225619.999999999970896,0.453424706545895,-82.340867000000003,29.690659000000000,07960-008-000,Springtree_B,True,False,False,0.850000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,12.457053644236275,257057.132401712151477,258132.132401712151477,-8567.867598287848523,31437.132401712180581,8567.867598287848523,31437.132401712180581,0.967874512192397
5666,74175,0.450000000000000,2496,1.000000000000000,GAINESVILLE,372800,1948,1995,100,2496.000000000000000,0.000000000000000,270.000000000000000,264.000000000000000,30,314932.000000000000000,0.582974622701865,-82.340158000000002,29.689316999999999,07960-032-000,Springtree_B,True,False,False,0.700000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,12.686314466305166,323293.049962582008447,325241.049962582008447,-47558.950037417991553,8361.049962582008447,47558.950037417991553,8361.049962582008447,0.872427709127098
5667,74176,0.350000000000000,1176,1.000000000000000,GAINESVILLE,248100,3156,2008,100,1008.000000000000000,0.000000000000000,216.000000000000000,0.000000000000000,17,207728.999999999970896,0.453424706545895,-82.340873999999999,29.689312000000001,07960-033-000,Springtree_B,True,False,False,0.830000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,12.293052363943117,218174.910965332528576,221330.910965332528576,-26769.089034667471424,10445.910965332557680,26769.089034667471424,10445.910965332557680,0.892103631460429
5668,74177,0.520000000000000,1527,1.000000000000000,GAINESVILLE,297100,0,2000,100,1527.000000000000000,0.000000000000000,559.000000000000000,0.000000000000000,25,252535.000000000000000,0.673659564011044,-82.341363000000001,29.689250000000001,07960-034-000,Springtree_B,True,False,False,0.750000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,12.372337514445469,236177.168051137210568,236177.168051137210568,-60922.831948862789432,-16357.831948862789432,60922.831948862789432,16357.831948862789432,0.794941662911939
5669,74185,0.330000000000000,1921,1.000000000000000,GAINESVILLE,203900,14150,1994,100,1921.000000000000000,0.000000000000000,25.000000000000000,0.000000000000000,31,159165.000000000000000,0.427514723314701,-82.340875999999994,29.688780000000001,07960-043-000,Springtree_B,True,False,False,0.690000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,12.346877913114655,230240.090022351912921,244390.090022351912921,40490.090022351912921,71075.090022351912921,40490.090022351912921,71075.090022351912921,1.198578175685885
5670,74198,0.470000000000000,1964,1.000000000000000,GAINESVILLE,234700,4392,1994,100,1964.000000000000000,0.000000000000000,552.000000000000000,0.000000000000000,31,195103.000000000000000,0.608884605933059,-82.340273999999994,29.685860999999999,07960-079-000,Springtree_B,True,False,False,0.690000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,12.415600034967294,246619.029686067486182,251011.029686067486182,16311.029686067486182,51516.029686067486182,16311.029686067486182,51516.029686067486182,1.069497356992192
5671,74497,0.330000000000000,1020,1.000000000000000,GAINESVILLE,143500,1474,1994,100,1020.000000000000000,0.000000000000000,72.000000000000000,0.000000000000000,31,120501.000000000000000,0.427514723314701,-82.337507000000002,29.688834000000000,08018-000-000,Springtree_B,False,False,False,0.690000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,11.903743315299209,147818.923720634455094,149292.923720634455094,5792.923720634455094,27317.923720634455094,5792.923720634455094,27317.923720634455094,1.040368806415571
5672,74501,0.400000000000000,1080,1.000000000000000,GAINESVILLE,170200,1119,1998,100,984.000000000000000,0.000000000000000,96.000000000000000,0.000000000000000,27,143551.000000000000000,0.518199664623880,-82.337508000000000,29.689264999999999,08021-000-000,Springtree_B,False,False,False,0.730000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,12.024211541083876,166743.426395351882093,167862.426395351882093,-2337.573604648117907,23192.426395351882093,2337.573604648117907,23192.426395351882093,0.986265725002067
5673,74504,0.370000000000000,840,1.000000000000000,GAINESVILLE,170000,2880,1994,100,840.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,31,141620.000000000000000,0.479334689777089,-82.335763999999998,29.690041000000001,08023-001-000,Springtree_B,False,False,True,0.690000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,11.763454189955187,128470.449251322424971,131350.449251322424971,-38649.550748677575029,-13149.550748677575029,38649.550748677575029,13149.550748677575029,0.772649701478367
5674,74511,0.270000000000000,1172,1.000000000000000,GAINESVILLE,191800,555,2010,100,1172.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,15,162474.999999999970896,0.349784773621119,-82.333641000000000,29.691953999999999,08035-009-000,Springtree_B,True,False,False,0.850000000000000,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,12.253881468347135,209794.019401151366765,210349.019401151366765,18549.019401151366765,47319.019401151395869,18549.019401151366765,47319.019401151395869,1.096710215855847
