"#","ML Number","Status","Address","City","Zip","Legal Subdivision Name","Heated Area","Tax ID","Current Price","Beds","Full Baths","Half Baths","Year Built","Pool","Property Style","Ownership","Tax","CDOM","ADOM","Days to Contract","Sold Terms","Close Date","LP / SqFt","SP/SqFt","SP / LP","List Office","List Agent","List Agent ID","Selling Office ID","LSC List Side","List Office Primary Board ID"
"1","T3531061","SLD","24638 NW 11TH PL","NEWBERRY","32669","AVALON WOODS","2,176","01874-300-343","$315,440","4","2","1","2023","None","Single Family Residence","Fee Simple","$0.00","139","139","139","FHA","11/22/2024","$145.68","$144.96","1.00","DR HORTON REALTY OF WEST CENTRAL FLORIDA","Anne Eger","271513108","259505695","Ocala - Marion","Ocala - Marion"
"1","GC519570","SLD","233 SW 246 WAY","NEWBERRY","32669","CEDAR ESTATES OF NEWBERRY","1,292","01951-050-002","$315,965","3","2","0","2024","None","Single Family Residence","Fee Simple","$0.00","185","185","185","Cash","09/29/2024","$239.86","$244.55","1.02","BHGRE THOMAS GROUP","Evelyn Bergman","259503335","259504926","Gainesville-Alachua","Gainesville-Alachua"
"1","T3523578","SLD","24681 NW 11TH PL","NEWBERRY","32669","AVALON WOODS","1,886","01874-300-323","$315,990","3","2","1","2023","None","Single Family Residence","Fee Simple","$0.00","37","37","37","FHA","08/02/2024","$167.55","$167.55","1.00","D R HORTON REALTY LLC","Anne Eger","271513108","259507809","Tampa","Tampa"
"1","T3484516","SLD","1152 NW 248TH DR","NEWBERRY","32669","AVALON WOODS","2,176","01874-300-310","$315,990","4","2","1","2023","None","Single Family Residence","Fee Simple","$0.00","61","61","61","VA","02/27/2024","$147.51","$145.22","0.98","D R HORTON REALTY LLC","Anne Peterson Eger","271513108","55055","Tampa","Tampa"
"1","T3497440","SLD","24792 NW 11TH PL","NEWBERRY","32669","AVALON WOODS","1,886","01874-300-352","$316,190","3","2","1","2023","None","Single Family Residence","Fee Simple","$0.00","82","82","82","FHA","05/24/2024","$168.08","$167.65","1.00","D R HORTON REALTY LLC","Anne Eger","271513108","259505695","Tampa","Tampa"
"1","T3479672","SLD","1178 NW 248TH DR","NEWBERRY","32669","AVALON WOODS","2,370","01874-100-308","$316,590","5","3","0","2023","None","Single Family Residence","Fee Simple","$0.00","136","136","136","FHA","04/24/2024","$135.02","$133.58","0.99","D R HORTON REALTY LLC","Anne Eger","271513108","55055","Tampa","Tampa"
"1","T3535312","SLD","2011 NW 247TH DR","NEWBERRY","32669","AVALON WOODS","1,774","01874-201-241","$316,990","4","2","0","2024","None","Single Family Residence","Fee Simple","$0.00","46","46","46","Conventional","09/27/2024","$178.69","$178.69","1.00","DR HORTON REALTY OF WEST CENTRAL FLORIDA","Anne Eger","271513108","259505695","Ocala - Marion","Ocala - Marion"
"1","T3527000","SLD","24647 NW 11TH PL","NEWBERRY","32669","AVALON WOODS","2,176","01874-300-325","$316,990","4","2","1","2023","None","Single Family Residence","Fee Simple","$0.00","117","117","117","FHA","10/23/2024","$145.68","$145.68","1.00","DR HORTON REALTY OF WEST CENTRAL FLORIDA","Anne Eger","271513108","50096","Ocala - Marion","Ocala - Marion"
"1","T3513225","SLD","24722 NW 11TH PL","NEWBERRY","32669","AVALON WOODS","1,886","01874-300-348","$316,990","3","2","1","2023","None","Single Family Residence","Fee Simple","$0.00","59","59","59","FHA","06/26/2024","$168.08","$168.08","1.00","D R HORTON REALTY LLC","Anne Eger","271513108","55055","Tampa","Tampa"
"1","T3478308","SLD","1223 NW 248TH DR","NEWBERRY","32669","AVALON WOODS","2,176","01874-100-357","$316,990","4","2","1","2023","None","Single Family Residence","Fee Simple","$0.00","95","95","95","FHA","03/12/2024","$147.05","$145.68","0.99","D R HORTON REALTY LLC","Anne Peterson Eger","271513108","259504837","Tampa","Tampa"
