Unnamed: 0,prop_id,legal_acreage,living_area,imprv_det_quality_cd,tax_area_description,abs_subdv_cd,sl_price,effective_year_built,imprv_type_cd,base_area,actual_year_built,prop_val_yr,sup_num,CENTROID_X,CENTROID_y,geo_id,sum_us_area,total_porch_area,total_garage_area,effective_age,actual_age,has_canal,has_lake,number_of_baths,MISC_Val,hood_cd,sl_county_ratio_cd
99,82495,0.11,852,2,GAINESVILLE,174900,41500,1980,100,852.0,1940,2022,0,-82.30195443,29.66834315,10753-000-000,0.0,0.0,0.0,41,81,0,0,1.0,90,324434.01,1
103,82095,0.27,1385,3,GAINESVILLE,31900,80900,1987,100,1385.0,1959,2022,0,-82.30903156,29.66741936,10621-010-000,0.0,48.0,0.0,34,62,0,0,1.5,1927,324433.01,1
108,81562,0.27,1014,3,GAINESVILLE,95000,146800,1972,100,1014.0,1948,2022,0,-82.31289125,29.66352971,10523-011-000,0.0,16.0,0.0,49,73,0,0,1.0,368,324433.02,1
110,81557,0.58,942,3,GAINESVILLE,95000,307400,1980,100,861.0,1948,2022,0,-82.31394655,29.66375725,10523-006-000,0.0,115.0,0.0,41,73,0,0,1.0,320,324433.02,1
112,81488,0.4,1470,3,GAINESVILLE,67200,143400,1975,100,1392.0,1949,2022,0,-82.31093267,29.66269292,10490-000-000,0.0,78.0,0.0,46,72,0,0,1.0,3118,324433.04,1
114,81214,0.27,1147,3,GAINESVILLE,46800,168800,1979,100,1147.0,1955,2022,0,-82.31801039,29.66990737,10246-054-000,0.0,100.0,0.0,42,66,0,0,1.0,145,324433.05,1
115,81100,0.28,1418,3,GAINESVILLE,85300,154700,1970,100,1216.0,1951,2022,0,-82.31712015,29.66824742,10186-000-000,0.0,272.0,0.0,51,70,0,0,2.0,100,324433.05,1
120,80491,0.22,1170,3,GAINESVILLE,210400,169800,1970,100,1170.0,1947,2022,0,-82.3277909,29.66633174,09811-000-000,0.0,136.0,0.0,51,74,0,0,1.0,140,324432.04,1
123,80153,0.31,1175,3,GAINESVILLE,89200,145800,1975,100,1175.0,1947,2022,0,-82.33695157,29.6633005,09595-000-000,0.0,0.0,0.0,46,74,0,0,1.0,1706,324432.04,1
125,80006,0.15,1184,3,GAINESVILLE,183000,163800,1970,100,1184.0,1941,2022,0,-82.3317217,29.66065159,09459-000-000,0.0,18.0,0.0,51,80,0,0,1.0,600,324432.03,1
129,79742,0.22,1066,3,GAINESVILLE,57500,113500,1976,100,1066.0,1947,2022,0,-82.33305108,29.6732432,09263-005-000,0.0,120.0,0.0,45,74,0,0,1.0,1552,324432.01,1
138,78484,0.23,1307,3,GAINESVILLE,114600,161900,1970,100,1307.0,1958,2022,0,-82.35172573,29.67775769,09004-069-000,0.0,120.0,0.0,51,63,0,0,1.5,216,324430.07,1
146,77462,0.15,640,3,GAINESVILLE,166400,104100,1974,100,496.0,1953,2022,0,-82.3479308,29.68460441,08879-008-000,0.0,144.0,0.0,47,68,0,0,1.0,789,324430.01,1
164,75788,0.23,1502,3,GAINESVILLE,95900,151500,1974,100,1502.0,1962,2022,0,-82.30832267,29.68004458,08203-055-000,0.0,35.0,0.0,47,59,0,0,2.0,878,324428.02,1
166,75654,0.19,1367,2,GAINESVILLE,95800,136300,1979,100,1367.0,1962,2022,0,-82.31070206,29.67970755,08202-071-000,0.0,0.0,0.0,42,59,0,0,2.0,364,324428.02,1
167,75274,0.25,1176,1,GAINESVILLE,32700,95600,1970,100,1176.0,1969,2022,0,-82.30091879,29.67864527,08197-007-068,0.0,68.0,0.0,51,52,0,0,2.0,216,324427.01,1
181,72105,0.14,1450,3,GAINESVILLE,92801,192800,2003,100,1450.0,2003,2022,0,-82.35185308,29.72143072,07814-020-001,0.0,60.0,420.0,18,18,0,0,2.0,1521,324407.01,1
183,71552,3.33,848,3,SUWANNEE,0,22500,1971,100,848.0,1964,2022,0,-82.29684971,29.80458134,07689-004-000,0.0,0.0,0.0,50,57,0,0,1.0,8565,323400.0,1
184,70557,5.09,1300,3,ST. JOHN'S,74800,256300,1996,100,1300.0,1996,2022,0,-82.43141317,29.51746985,07408-001-078,0.0,100.0,260.0,25,25,0,0,3.0,1226,216320.01,1
189,69237,4.34,3771,4,ST. JOHN'S,56900,467200,1987,100,3771.0,1987,2022,0,-82.42134126,29.57160816,07347-011-001,0.0,684.0,834.0,34,34,0,0,4.0,5521,216304.01,1
191,67777,0.12,1159,3,GAINESVILLE,175800,165900,1994,100,1159.0,1994,2022,0,-82.36647753,29.61362395,07295-039-000,0.0,96.0,286.0,27,27,0,0,2.0,1396,148100.84,1
193,66826,0.46,4133,4,ST. JOHN'S,42400,458600,1985,100,3198.0,1979,2022,0,-82.37587066,29.59040243,07246-007-000,935.0,138.0,825.0,36,42,0,0,3.0,7830,148200.03,1
214,60002,0.35,2547,3,ST. JOHN'S,77600,314900,1989,100,2115.0,1989,2022,0,-82.42890234,29.60965308,06860-102-059,0.0,492.0,480.0,32,32,0,0,2.0,1717,125320.04,1
221,58775,1.05,1848,3,ST. JOHN'S,219000,375400,2000,100,1624.0,1985,2022,0,-82.44957781,29.62493379,06855-019-000,0.0,236.0,432.0,21,36,0,0,2.0,6183,125318.02,1
238,52911,0.27,1687,3,ST. JOHN'S,84500,251000,2003,100,1686.5,2003,2022,0,-82.44372395,29.65779757,06657-050-032,0.0,45.0,460.0,18,18,0,0,2.0,527,125306.05,1
242,52469,1.1,1787,3,ST. JOHN'S,188400,251000,1987,100,1787.0,1978,2022,0,-82.42600946,29.65059599,06656-608-003,0.0,8.0,584.0,34,43,0,0,2.0,2109,125305.03,1
251,49338,0.24,1675,3,GAINESVILLE,221800,163200,1975,100,1675.0,1957,2022,0,-82.37539771,29.65600296,06482-074-000,0.0,0.0,0.0,46,64,0,0,2.0,1703,145302.01,1
267,46802,0.63,1728,3,GAINESVILLE,215300,238800,1986,100,1728.0,1979,2022,0,-82.3816315,29.65987063,06388-016-000,0.0,0.0,510.0,35,42,0,0,2.0,968,114335.03,1
272,46362,0.34,2144,3,GAINESVILLE,186200,242600,1975,100,2144.0,1964,2022,0,-82.38967621,29.66838192,06381-022-000,0.0,40.0,576.0,46,57,0,0,2.0,2551,114334.1,1
278,45797,0.33,2086,3,ST. JOHN'S,158000,197900,1975,100,2086.0,1970,2022,0,-82.40426801,29.67294885,06353-151-014,0.0,136.0,504.0,46,51,0,0,2.0,4180,114334.11,1
302,41694,0.26,1770,3,ST. JOHN'S,108600,198100,1985,100,1770.0,1984,2022,0,-82.3948396,29.6837746,06124-001-032,0.0,112.0,0.0,36,37,0,0,2.0,852,114327.01,1
318,39580,0.1,1148,3,GAINESVILLE,149101,169900,1998,100,1148.0,1998,2022,0,-82.35876469,29.68766374,06091-010-045,0.0,42.0,370.0,23,23,0,0,2.0,328,134325.07,1
319,39508,1.14,4714,5,GAINESVILLE,57400,1214600,1990,100,4346.0,1980,2022,0,-82.35949858,29.6755377,06090-001-012,368.0,274.0,696.0,31,41,0,0,2.5,13553,134325.06,1
326,38077,0.22,1250,3,GAINESVILLE,183600,151800,1990,100,1022.0,1980,2022,0,-82.36378381,29.69373729,06076-060-047,0.0,228.0,0.0,31,41,0,0,2.0,1860,154324.1,1
334,36875,0.32,1460,3,GAINESVILLE,143700,191300,1975,100,1460.0,1971,2022,0,-82.37694032,29.69948885,06066-400-008,0.0,232.0,440.0,46,50,0,0,2.0,1056,174323.02,1
377,29821,0.25,1837,4,ALACHUA,33500,283200,1999,100,1837.0,1997,2022,0,-82.40831191,29.75126753,05921-010-015,0.0,313.0,495.0,22,24,0,0,2.0,1086,233332.01,1
380,28699,0.16,1827,4,ALACHUA,201500,145600,1994,100,1827.0,1994,2022,0,-82.42419971,29.76219151,05900-104-003,0.0,21.0,441.0,27,27,0,0,2.0,1772,233328.03,1
387,27217,0.71,877,3,SUWANNEE,0,122300,1979,100,877.0,1975,2022,0,-82.36356368,29.81838171,05682-003-000,0.0,55.0,0.0,42,46,0,0,1.0,684,233300.0,1
391,25284,0.53,1474,3,ARCHER,6400,127100,1970,100,1474.0,1940,2022,0,-82.52534842,29.52765481,05001-000-000,0.0,270.0,0.0,51,81,0,0,2.0,4008,216216.01,1
394,24079,1.01,1040,3,SUWANNEE,204100,144600,1989,100,1040.0,1973,2022,0,-82.47350843,29.57130891,04626-001-003,0.0,64.0,0.0,32,48,0,0,1.5,972,216202.01,1
395,23993,1.4,1392,3,SUWANNEE,114200,185400,1985,100,1392.0,1978,2022,0,-82.45754629,29.57038686,04623-003-018,0.0,0.0,322.0,36,43,0,0,2.0,3838,215236.01,1
398,23099,5.26,2832,4,NEWBERRY,199600,428900,2000,100,2832.0,2000,2022,0,-82.53484083,29.61585522,04446-010-023,0.0,28.0,474.0,21,21,0,0,3.0,9072,215217.01,1
410,20916,1.15,1977,3,SUWANNEE,151800,325400,1980,100,1632.0,1975,2022,0,-82.47136111,29.64842482,04330-010-005,0.0,569.0,506.0,41,46,0,0,2.0,2312,215201.03,1
415,20069,1.38,3244,3,SUWANNEE,156500,337400,1973,100,3244.0,1969,2022,0,-82.46119626,29.66129007,04321-028-038,0.0,112.0,0.0,48,52,0,0,3.0,4619,134236.01,1
447,14835,0.29,1362,3,ALACHUA,29400,145600,1985,100,1134.0,1965,2022,0,-82.50144834,29.78832033,03817-001-000,0.0,363.0,0.0,36,56,0,0,1.0,606,233215.02,1
448,14816,0.16,1315,3,ALACHUA,29400,142200,1986,100,1315.0,1975,2022,0,-82.50007825,29.78858504,03812-002-000,0.0,65.0,0.0,35,46,0,0,1.5,6272,233215.02,1
456,13693,0.18,1233,3,ALACHUA,245700,201500,2017,100,1233.0,2017,2022,0,-82.48986672,29.79731314,03218-020-011,0.0,125.0,267.0,4,4,0,0,2.0,128,233214.06,1
464,11560,1.11,1566,3,SUWANNEE,13000,186400,1986,100,1566.0,1986,2022,0,-82.55266002,29.87849209,02863-001-034,0.0,84.0,0.0,35,35,0,0,2.0,2987,232218.01,1
481,8749,0.24,1450,3,NEWBERRY,7600,154400,1979,100,1080.0,1979,2022,0,-82.61035514,29.64144899,01989-020-004,0.0,442.0,0.0,42,42,0,0,2.0,2263,215104.01,1
484,8402,0.18,2859,3,NEWBERRY,249400,314000,2009,100,1231.0,2009,2022,0,-82.59860539,29.64039317,01933-010-077,1380.0,866.0,420.0,12,12,0,0,2.5,1616,215103.13,1
490,6564,1.0,1112,3,SUWANNEE,0,168800,2007,100,1016.0,1961,2022,0,-82.60338925,29.72778568,01750-001-000,0.0,240.0,0.0,14,60,0,0,1.0,2612,224100.4,2
497,4368,0.25,1403,3,HIGH SPRINGS,180502,214800,2009,100,1403.0,2009,2022,0,-82.59469842,29.81818728,01408-363-000,0.0,245.0,420.0,12,12,0,0,2.0,311,223100.02,1
498,4345,0.25,1518,3,HIGH SPRINGS,180500,221300,2006,100,1518.0,2003,2022,0,-82.59313896,29.81496479,01408-162-000,0.0,132.0,462.0,15,18,0,0,2.0,874,223100.02,1
504,3212,0.22,1176,3,HIGH SPRINGS,64600,126900,1991,100,1176.0,1955,2022,0,-82.59788597,29.8303388,00687-000-000,0.0,0.0,0.0,30,66,0,0,1.0,674,223100.07,1
505,3074,0.15,1080,3,HIGH SPRINGS,93500,72900,1989,100,864.0,1989,2022,0,-82.59411453,29.82774892,00579-002-000,0.0,216.0,0.0,32,32,0,0,2.0,1397,223100.07,1
506,3033,0.34,1240,3,HIGH SPRINGS,64600,96400,1978,100,1240.0,1948,2022,0,-82.59294557,29.83554995,00537-001-000,0.0,96.0,0.0,43,73,0,0,1.0,1485,223100.06,1
509,2416,4.24,2608,3,SUWANNEE,182600,220500,1970,100,2378.0,1967,2022,0,-82.58415137,29.82849759,00259-005-000,0.0,433.0,0.0,51,54,0,0,2.0,5594,223102.41,1
