Unnamed: 0,prop_id,legal_acreage,living_area,imprv_det_quality_cd,tax_area_description,abs_subdv_cd,sl_price,effective_year_built,imprv_type_cd,base_area,actual_year_built,prop_val_yr,sup_num,CENTROID_X,CENTROID_y,geo_id,sum_us_area,total_porch_area,total_garage_area,effective_age,actual_age,has_canal,has_lake,number_of_baths,MISC_Val,hood_cd,sl_county_ratio_cd
9,104634,1.0,912,3,ST. JOHN'S,0,45200,1977,100,912.0,1969,2022,0,-82.10318534,29.4540413,20247-000-000,0.0,0.0,0.0,44,52,0,0,1.0,1041,217600.0,1
10,104394,2.39,525,2,ST. JOHN'S,118200,138600,1979,100,525.0,1979,2022,0,-82.10351477,29.49929171,20093-000-000,0.0,0.0,0.0,42,42,0,1,1.0,238,216621.02,1
16,102431,0.41,864,3,HAWTHORNE,88700,81500,1982,100,864.0,1920,2022,0,-82.08566732,29.5879116,19480-000-000,0.0,216.0,0.0,39,101,0,0,1.0,948,346100.9,1
18,101312,2.44,2439,3,ST. JOHN'S,0,460400,2005,100,1386.0,1966,2022,0,-82.0547915,29.69901986,18878-000-000,1053.0,567.0,0.0,16,55,0,0,2.0,1208,314600.4,1
29,99768,1.01,1880,4,SUWANNEE,16900,329200,1997,100,1880.0,1997,2022,0,-82.10677839,29.76336817,18395-016-000,0.0,148.0,737.0,24,24,0,0,2.0,5243,313633.02,1
30,99732,1.11,1115,3,SUWANNEE,0,232200,1982,100,1115.0,1965,2022,0,-82.10924856,29.78270201,18389-002-000,0.0,0.0,0.0,39,56,1,0,1.0,2083,313600.23,1
34,98293,1.65,2226,4,ST. JOHN'S,119600,588000,2012,100,2226.0,1966,2022,0,-82.24955735,29.6343455,17944-028-000,0.0,0.0,0.0,9,55,0,0,2.0,2795,315507.03,1
41,94542,1.99,1139,2,ST. JOHN'S,114800,117300,1970,100,1139.0,1964,2022,0,-82.3153448,29.54247063,16399-001-000,0.0,0.0,0.0,51,57,0,0,1.0,3325,216400.0,1
43,94025,0.36,1040,2,ST. JOHN'S,0,77900,1964,100,1040.0,1960,2022,0,-82.30623719,29.62907678,16248-003-002,0.0,0.0,0.0,57,61,0,0,1.0,627,145409.02,1
45,93929,0.24,1662,2,ST. JOHN'S,257700,97200,1970,100,1410.0,1960,2022,0,-82.30434667,29.61614256,16237-016-000,0.0,252.0,0.0,51,61,0,0,2.0,2300,315400.0,1
49,93311,0.64,1472,2,ST. JOHN'S,75300,102200,1970,100,1472.0,1960,2022,0,-82.26583357,29.63322295,16186-035-000,0.0,0.0,0.0,51,61,0,0,2.0,3209,315412.03,1
50,93015,0.27,1064,2,ST. JOHN'S,108800,78800,1970,100,1064.0,1966,2022,0,-82.28755305,29.63288144,16134-049-001,0.0,32.0,0.0,51,55,0,0,1.0,167,315411.03,1
51,92948,0.26,1000,2,ST. JOHN'S,108800,80900,1970,100,1000.0,1961,2022,0,-82.28250961,29.63398153,16134-033-003,0.0,50.0,0.0,51,60,0,0,1.0,1062,315411.03,1
53,92620,0.19,1127,3,GAINESVILLE,115700,102900,1980,100,1127.0,1970,2022,3,-82.2982269,29.64436301,16116-100-001,0.0,210.0,0.0,41,51,0,0,2.0,997,315410.03,1
54,92546,0.15,1224,3,GAINESVILLE,115900,90400,1968,100,1008.0,1968,2022,0,-82.2996332,29.64327334,16116-020-000,0.0,264.0,0.0,53,53,0,0,2.0,2501,315410.03,1
59,91934,0.25,1030,3,GAINESVILLE,20200,54000,1980,100,1030.0,1960,2022,0,-82.30708299,29.63005086,15995-038-000,0.0,20.0,0.0,41,61,0,0,1.0,154,145409.02,1
70,89304,0.21,2046,3,GAINESVILLE,115000,548600,1990,100,2046.0,1937,2022,0,-82.34550722,29.65437829,14937-000-000,0.0,0.0,0.0,31,84,0,0,2.0,2974,136030.36,1
71,88373,0.07,600,3,GAINESVILLE,26000,93000,1974,100,600.0,1930,2022,0,-82.32743828,29.65514636,14229-002-000,0.0,96.0,0.0,47,91,0,0,1.0,0,145405.02,1
76,87958,0.14,1528,3,GAINESVILLE,174300,250500,2008,100,1528.0,1984,2022,0,-82.33420918,29.65802818,13771-018-000,0.0,200.0,0.0,13,37,0,0,1.5,1687,145405.07,1
85,85600,0.11,993,3,GAINESVILLE,66200,64100,1982,100,841.0,1939,2022,0,-82.3153461,29.64877045,12213-000-000,0.0,152.0,0.0,39,82,0,0,1.0,1541,145404.05,1
89,84830,0.16,1328,2,GAINESVILLE,136600,85600,1970,100,800.0,1948,2022,0,-82.30748721,29.6531773,11509-000-000,0.0,528.0,0.0,51,73,0,0,1.0,480,315403.01,1
91,84313,0.29,925,3,GAINESVILLE,85900,76500,1970,100,925.0,1954,2022,0,-82.29620837,29.6536079,11230-000-000,0.0,96.0,0.0,51,67,0,0,1.0,0,315403.02,1
92,84148,0.18,682,2,GAINESVILLE,8805,68600,1993,100,682.0,1993,2022,0,-82.29628978,29.65488552,11128-003-001,0.0,96.0,0.0,28,28,0,0,1.0,39,315403.02,1
