prop_id,legal_acreage,living_area,imprv_det_quality_cd,tax_area_description,abs_subdv_cd,sl_price,effective_year_built,imprv_type_cd,base_area,actual_year_built,prop_val_yr,sup_num,CENTROID_X,CENTROID_y,geo_id,sum_us_area,total_porch_area,total_garage_area,effective_age,actual_age,has_canal,has_lake,number_of_baths,MISC_Val,hood_cd,sl_county_ratio_cd,SaleYearWanted
84296,0.9,883,2,GAINESVILLE,194300,70900,1955,100,883.0,1950,2023,0,-82.2985453,29.65317536,11219-000-000,0.0,77.0,0.0,67,72,0,0,1.0,447,315403.01,1,2022
82055,0.24,1367,3,GAINESVILLE,31900,181300,1994,100,1175.0,1958,2024,0,-82.30709251,29.67018829,10618-023-000,0.0,192.0,0.0,29,65,0,0,2.0,1700,324433.01,2,2023
84296,0.9,883,2,GAINESVILLE,194300,88200,1994,100,883.0,1950,2024,0,-82.2985453,29.65317536,11219-000-000,0.0,77.0,0.0,29,73,0,0,1.0,1717,315403.01,1,2023
82055,0.24,1367,3,GAINESVILLE,31900,224000,1995,100,1175.0,1958,2025,0,-82.30709251,29.67018829,10618-023-000,0.0,192.0,0.0,29,66,0,0,2.0,1700,324433.01,1,2024
