"#","ML Number","Status","Address","City","Zip","Legal Subdivision Name","Heated Area","Tax ID","Current Price","Beds","Full Baths","Half Baths","Year Built","Pool","Property Style","Ownership","Tax","CDOM","ADOM","Days to Contract","Sold Terms","Close Date","LP / SqFt","SP/SqFt","SP / LP","List Office","List Agent","List Agent ID","Selling Office ID","LSC List Side","List Office Primary Board ID"
"1","GC500193","SLD","440 SE 72ND ST","GAINESVILLE","32641","LAKESHORE HOMESITES","1,543","17940-177-000","$195,000","3","2","0","1950","None","Single Family Residence","Fee Simple","$1,162.00","3","3","3","Conventional","11/19/2021","$128.97","$126.38","0.98","UNIVERSITY REALTY","Jarred Mussen","259506097","259505695","Gainesville-Alachua","Gainesville-Alachua"
"1","GC447877","SLD","2239 NW 42ND PL","Gainesville","32605","Timberbrook","1,080","07916-041-021","$195,000","3","2","0","1977","None","Single Family Residence","","$2,690.00","31","31","3","Conventional","10/14/2021","$180.46","$180.56","1.00","MISNER REAL ESTATE SERVICES LLC","Marty Misner","259502017","259504926","Gainesville-Alachua","Gainesville-Alachua"
"1","GC447451","SLD","2001 NE 15TH TER","Gainesville","32609","Carol Ests East","1,249","10625-047-000","$195,000","3","1","0","1960","Private","Single Family Residence","","$1,221.00","62","62","65","Conventional","12/07/2021","$160.13","$156.12","0.98","MATCHMAKER REALTY/ ALACHUA CNTY","Gia Arvin","259503472","271501036","Gainesville-Alachua","Gainesville-Alachua"
"1","GC447165","SLD","2131 NW 72ND PL","Gainesville","32653","Hidden Lake","800","07814-010-021","$195,000","2","1","1","2002","None","Single Family Residence","","$1,800.00","81","81","12","Conventional","11/01/2021","$249.88","$243.75","0.98","LISTWITHFREEDOM.COM","Ralph Harvey","276593262","285513357","West Pasco","West Pasco"
"1","GC445088","SLD","19 SE 22 ST","Gainesville","32641","New Gainesville (S Of Univ Ave","1,181","11251-005","$195,000","3","2","0","2021","None","Single Family Residence","","$163.00","107","107","4","Conventional","09/17/2021","$165.11","$165.11","1.00","Suskin Realty Inc","Marc & Leslie Suskin","259500193","259504964","Gainesville-Alachua","Gainesville-Alachua"
"1","GC443837","SLD","4720 NE 4th PL","Gainesville","32641","Lake Ridge","1,231","10864-002-000","$195,000","3","2","0","1974","None","Single Family Residence","","$875.00","41","41","3","Conventional","06/04/2021","$150.00","$158.41","1.06","Mitchell Realty Services Inc","Chelsea B Chappell","259506808","259500054","Gainesville-Alachua","Gainesville-Alachua"
"1","GC443800","SLD","6018 NW 27TH TER","Gainesville","32653","Northwood Pines","1,050","06014-024-042","$195,000","3","1","0","1976","None","Single Family Residence","","$1,912.00","40","40","3","FHA","06/02/2021","$176.19","$185.71","1.05","Florida Homes Realty & Mortgage","Michelle Florence","259500895","259504926","Gainesville-Alachua","Gainesville-Alachua"
"1","GC442003","SLD","1031 NE 7TH ST","Gainesville","32601","Elliot/Lengle","1,565","10416-001-000","$195,000","3","2","0","1974","None","Single Family Residence","","$1,626.00","42","42","2","Conventional","04/12/2021","$124.59","$124.6","1.00","Watson Realty Corp -Tioga","Matthew S Perry","259506400","259505695","Gainesville-Alachua","Ocala - Marion"
"1","GC441391","SLD","1616 NW 34th PL","Gainesville","32605","Pine Creek","1,399","08966-005-000","$195,000","3","2","0","1958","None","Single Family Residence","","$2,696.00","47","47","24","Conventional","03/24/2021","$142.89","$139.39","0.98","R.L. Enterprises, LLC","Robert Littman","276511733","259506269","Tampa","Tampa"
"1","GC440564","SLD","7320 NW 21st Way WAY","Gainesville","32653","Hidden Lake","1,405","07814-010-013","$195,000","3","2","0","1990","None","Single Family Residence","","$3,417.00","44","44","10","Conventional","02/22/2021","$142.28","$138.79","0.98","Rabell Realty Group LLC","Christopher M King","259506209","25950341","Ocala - Marion","Ocala - Marion"
"1","GC440318","SLD","2510 NW 51 PL","Gainesville","32605","Springtree","1,461","06076-400-029","$195,000","3","2","0","1984","None","Single Family Residence","","$1,387.00","39","39","5","Conventional","01/26/2021","$140.25","$133.47","0.95","Watson Realty Corp - NW 23rd Ave.","Kathleen MacDowell","259500554","259505695","Gainesville-Alachua","Ocala - Marion"
"1","GC439639","SLD","11740 NW 72 TER","Alachua","32615","Turkey Creek","1,571","05900-008-022","$195,000","3","2","0","1980","Community","Single Family Residence","","$3,299.00","91","91","57","VA","02/16/2021","$124.12","$124.12","1.00","Campus Realty","Jordan Fennell","259504917","259500060","Sarasota - Manatee","Gainesville-Alachua"
"1","GC438196","SLD","15659 NW 136 TER","Alachua","32615","Montclair","1,500","03218-020-025","$195,000","3","2","0","2014","None","Single Family Residence","","$2,310.00","124","124","4","Cash","01/22/2021","$126.67","$130","1.03","Watson Realty Corp - NW 23rd Ave.","Joann Torres","259506316","70002595","Ocala - Marion","Ocala - Marion"
"1","GC437430","SLD","3919 SW 21 ST","Gainesville","32608","Napier Estates (Napier Grant)","1,345","07249-004-000","$195,000","3","2","0","1965","None","Single Family Residence","","$1,418.00","170","170","136","Conventional","02/05/2021","$144.98","$144.98","1.00","Union Properties of Gainesville, Inc","Rhonda Derus","259503232","270534868","Gainesville-Alachua","Gainesville-Alachua"
"1","GC446946","SLD","5416 NW 24TH TER","Gainesville","32653","Northwood Pines","1,366","06014-001-019","$195,000","3","2","0","1977","None","Single Family Residence","","$1,236.00","44","44","5","Conventional","09/17/2021","$142.75","$142.75","1.00","BHGRE Thomas Group","Ericka Gilchrist","259503978","259504837","Ocala - Marion","Ocala - Marion"
"1","GC446858","SLD","2516 NW 49 PL","Gainesville","32605","Springtree","1,152","06076-200-001","$195,000","2","2","0","1983","None","Single Family Residence","","$2,252.00","41","41","20","Conventional","09/21/2021","$169.27","$169.27","1.00","BHGRE Thomas Group","Holly G Moebus","259506072","259500004","Gainesville-Alachua","Ocala - Marion"
"1","GC446068","SLD","1414 SW 252 ST","Newberry","32669","Arrowhead Point","1,656","01989-020-035","$195,000","3","2","0","1977","None","Single Family Residence","","$977.00","65","65","3","Conventional","09/08/2021","$114.13","$117.75","1.03","Southtrust Properties, Inc.","Jason Roberts","259502070","70002595","Gainesville-Alachua","Gainesville-Alachua"
"1","GC445634","SLD","2517 NW 38 PL","Gainesville","32605","Palm Grove","1,148","06091-010-044","$195,000","2","2","0","1998","Community","Single Family Residence","","$1,346.00","50","50","4","FHA","08/09/2021","$174.22","$169.86","0.98","Florida Homes Realty & Mortgage","Darlene Pifalo","259500293","259504964","Gainesville-Alachua","Gainesville-Alachua"
"1","GC445158","SLD","3418 NW 48TH TER","Gainesville","32606","Kimberly Woods","1,091","06124-001-003","$195,000","3","1","0","1983","None","Single Family Residence","","$1,260.00","38","38","1","Conventional","07/12/2021","$178.74","$178.74","1.00","BHGRE Thomas Group","LaVonne Rembert","259513040046516551","259505361","","Ocala - Marion"
"1","GC444884","SLD","4715 NW 29 TER","Gainesville","32605","Northwood","1,025","06083-009-028","$195,000","3","2","0","1971","None","Single Family Residence","","$3,003.00","37","37","2","Conventional","07/02/2021","$185.37","$190.24","1.03","Bosshardt Realty Services LLC","Fonda Butkiewicz","271511225","259500037","Ocala - Marion","Ocala - Marion"
"1","GC444409","SLD","1605 NE 5TH PL","Gainesville","32641","Jeru Park","1,500","11100-000-000","$195,000","3","2","0","2021","None","Single Family Residence","","$193.00","66","66","0","FHA","07/17/2021","$133.27","$130","0.98","Royal Realty Services of Florida Corp","Niya Dix","259505003","271501036","Gainesville-Alachua","Gainesville-Alachua"
"1","GC439856","SLD","4731 NW 29th AVE","Gainesville","32606","Benwood Estates","1,258","06146-006-000","$195,001","3","2","0","1983","None","Single Family Residence","","$2,712.00","41","41","13","Conventional","01/04/2021","$158.19","$155.01","0.98","Pepine Realty","Betsy Pepine","259503892","259505695","Ocala - Marion","Ocala - Marion"
"1","GC444751","SLD","3927 NW 31ST TER","Gainesville","32605","Northwood South","1,008","06081-002-003","$195,500","3","2","0","1965","None","Single Family Residence","","$1,470.00","40","40","2","Conventional","06/30/2021","$178.27","$193.95","1.09","Watson Realty Corp - NW 23rd Ave.","Pamela Gretter","259505619","259505695","Gainesville-Alachua","Ocala - Marion"
"1","GC446599","SLD","7964 NW 47th WAY","Gainesville","32653","Blues Creek","1,327","06006-068-189","$195,700","2","2","0","2005","Community","Single Family Residence","","$3,084.00","40","40","2","FHA","09/01/2021","$143.18","$147.48","1.03","RE/MAX Professionals","Jenny Highlander","259505388","259505695","Gainesville-Alachua","Ocala - Marion"
"1","GC440074","SLD","3526 NW 22rd DR","Gainesville","32605","Palmetto Woods","1,384","08992-030-008","$196,000","3","2","0","1983","None","Single Family Residence","","$1,311.00","63","63","22","FHA","02/08/2021","$143.71","$141.62","0.99","Florida Homes Realty & Mortgage","John Pena","259503084","25950341","Gainesville-Alachua","Gainesville-Alachua"
"1","GC444908","SLD","15012 NW County Road 231","Gainesville","32609","Not In Subdivision","1,064","07746-002-003","$196,000","1","1","1","1997","None","Single Family Residence","","$2,022.00","88","88","61","Cash","08/23/2021","$197.37","$184.21","0.93","Watson Realty Corp - NW 23rd Ave.","Alexander J Schlagel","259506219","259500060","Gainesville-Alachua","Ocala - Marion"
"1","GC447288","SLD","5105 SW 86TH TER","Gainesville","32608","HP/Heritage Green 3","986","06860-030-040","$196,300","2","1","0","1983","None","Single Family Residence","","$1,831.00","47","47","4","Conventional","10/04/2021","$191.68","$199.09","1.04","Keller Williams Gainesville Realty Partners","Lisa Fetrow","259505107","25950341","Gainesville-Alachua","Ocala - Marion"
"1","GC500078","SLD","25087 NW 178TH LN","HIGH SPRINGS","32643","AVONDALE SOUTH","1,212","4483","$196,500","4","2","0","1980","None","Single Family Residence","Fee Simple","$819.85","3","3","5","VA","11/29/2021","$160.89","$162.13","1.01","EXP REALTY LLC","Samantha Lewis","259506903","259504964","Gainesville-Alachua","Sarasota - Manatee"
