OID_,Join_Count,TARGET_FID,prop_id,legal_acreage,living_area,imprv_det_quality_cd,tax_area_description,abs_subdv_cd,sl_price,effective_year_built,imprv_type_cd,base_area,actual_year_built,prop_val_yr,sup_num,CENTROID_X,CENTROID_y,geo_id,sum_us_area,total_porch_area,total_garage_area,effective_age,actual_age,has_canal,has_lake,number_of_baths,MISC_Val,Name
2476,1,2476,89067,0.370000000000000,2880,3,GAINESVILLE,0,900000,1994,100,2824.000000000000000,1965,2025,0,-82.353343319999993,29.653394429999999,14822-002-000,0,98,0,30,59,0,0,2.000000000000000,2969,EastMidtownEastA
2477,1,2477,89515,0.550000000000000,3942,3,GAINESVILLE,214700,945700,1995,100,3942.000000000000000,1970,2025,0,-82.354354189999995,29.652335870000002,15107-000-000,0,192,672,29,54,0,0,3.500000000000000,8753,EastMidtownEastA
2478,1,2478,89544,0.420000000000000,2343,3,GAINESVILLE,158200,1050000,2007,100,2343.000000000000000,1954,2025,0,-82.354717239999999,29.654184659999999,15125-000-000,0,544,0,17,70,0,0,3.000000000000000,19166,EastMidtownEastA
2479,1,2479,89759,0.240000000000000,2192,3,GAINESVILLE,61500,509000,2000,100,1652.000000000000000,1946,2025,0,-82.345460689999996,29.657806300000001,15273-000-000,540,296,0,24,78,0,0,2.000000000000000,2400,EastMidtownEastA
2480,1,2480,89775,0.270000000000000,1267,3,GAINESVILLE,61500,413000,2010,100,1003.000000000000000,1941,2025,0,-82.345140630000003,29.656930320000001,15289-000-000,0,264,0,14,83,0,0,2.000000000000000,5925,EastMidtownEastA
2481,1,2481,89818,0.280000000000000,3179,3,GAINESVILLE,61500,537000,1999,100,3179.000000000000000,1969,2025,0,-82.344384000000005,29.658198559999999,15330-000-000,0,149,0,25,55,0,0,2.500000000000000,10541,EastMidtownEastA
2482,1,2482,89872,0.310000000000000,1566,3,GAINESVILLE,204400,408500,2007,100,1566.000000000000000,1939,2025,0,-82.354478599999993,29.657394040000000,15385-000-000,0,21,0,17,85,0,0,2.000000000000000,8223,EastMidtownEastA
2483,1,2483,89914,0.260000000000000,1778,3,GAINESVILLE,83500,384000,1994,100,1154.000000000000000,1946,2025,0,-82.352553680000000,29.659171990000001,15423-000-000,0,0,0,30,78,0,0,3.000000000000000,8134,EastMidtownEastA
2484,1,2484,80167,0.250000000000000,980,3,GAINESVILLE,46000,264600,2015,100,870.000000000000000,1951,2024,0,-82.333535470000001,29.662763450000000,09606-001-000,0,119,0,8,72,0,0,1.000000000000000,3066,MidtownEast_A
2485,1,2485,80566,0.110000000000000,696,2,GAINESVILLE,97300,108200,1994,100,696.000000000000000,1920,2024,0,-82.323611659999997,29.662275869999998,09894-000-000,0,48,0,29,103,0,0,1.000000000000000,0,MidtownEast_A
