OID_,prop_id,legal_acreage,living_area,imprv_det_quality_cd,tax_area_description,sl_price,effective_year_built,imprv_type_cd,base_area,actual_year_built,prop_val_yr,sup_num,sum_us_area,total_porch_area,total_garage_area,effective_age,actual_age,has_canal,has_lake,number_of_baths,MISC_Val,Assessment_Val,landiness,CENTROID_X,CENTROID_Y,geo_id,Market_Cluster_ID,in_subdivision,percent_good,ALACHUA,ARCHER,GAINESVILLE,HAWTHORNE,HIGH_SPRINGS,LACROSSE,MICANOPY,NEWBERRY,ST_JOHNS,SUWANNEE,WALDO,Alachua_Main,Archer_1,Buck_Bay,CarolEstates,Duck_Pond,EastGNV,EastMidtownEastA,Gainesvilleish_Region,Golfview,HSBUI,HaileLike,Hawthorne_1,HighSpringsAGNV,HighSprings_A,HighSprings_B,HighSprings_E,HighSprings_F,High_Springs_Main,Ironwood,Lugano,MidtownEast_A,MidtownEast_B,MidtownEast_C,MidtownEast_D,Newmans_Lake,QuailCreekish,Real_Tioga,Springtree_A,Springtree_B,SummerCreek,TC_Forest,Tioga_A,Tioga_B,Turkey_Creek,WaldoRural_A,WaldoRural_C,Westchesterish,WildsPlantation,swNewberry_A,swNewberry_B,predicted_log_Assessment_Val,predicted_Assessment_Val,predicted_Market_Val,Market_Residual,Assessment_Residual,AbsV_Market_Residual,AbsV_Assessment_Residual,sale_ratio
740,10552,2.990000000000000,2485,4.000000000000000,NEWBERRY,525500,2018,100,2485.000000000000000,2018,2023,0,0.000000000000000,315.000000000000000,640.000000000000000,4,4,0,0,3.000000000000000,4544,442130.999999999941792,3.618212817536156,-82.572147000000001,29.600949000000000,02631-001-025,HSBUI,True,0.960000000000000,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,13.194739069038331,537529.579468099400401,542073.579468099400401,16573.579468099400401,95398.579468099458609,16573.579468099400401,95398.579468099458609,1.031538685952615
794,23520,4.070000000000000,2021,3.000000000000000,SUWANNEE,307500,1979,100,2021.000000000000000,1979,2023,0,0.000000000000000,0.000000000000000,0.000000000000000,30,43,0,0,2.000000000000000,12283,249092.000000000000000,4.925125808485671,-82.526922999999996,29.594538000000000,04527-004-006,HSBUI,False,0.700000000000000,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.477449197064326,262353.785199849167839,274636.785199849167839,-32863.214800150832161,13261.785199849167839,32863.214800150832161,13261.785199849167839,0.893127756747477
1259,19305,1.580000000000000,1836,3.000000000000000,NEWBERRY,246000,1995,100,1668.000000000000000,1964,2024,0,0.000000000000000,63.000000000000000,441.000000000000000,28,59,0,0,2.000000000000000,7984,201115.999999999970896,1.911965301574290,-82.528087999999997,29.657309000000001,04276-002-000,HSBUI,False,0.720000000000000,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.489575401721360,265554.507980758324265,273538.507980758324265,27538.507980758324265,64438.507980758353369,27538.507980758324265,64438.507980758353369,1.111945154393327
1296,17845,10.000000000000000,5018,5.000000000000000,SUWANNEE,1507900,2000,100,5018.000000000000000,1997,2024,0,0.000000000000000,734.000000000000000,822.000000000000000,23,26,0,0,4.500000000000000,36418,1245297.000000000000000,12.101046212495506,-82.505553000000006,29.689470000000000,04170-010-013,HSBUI,True,0.770000000000000,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,13.633150100545159,833300.916776215424761,869718.916776215424761,-638181.083223784575239,-411996.083223784575239,638181.083223784575239,411996.083223784575239,0.576774929886740
1305,19106,2.360000000000000,2296,4.000000000000000,SUWANNEE,742500,2017,100,2296.000000000000000,2017,2024,0,0.000000000000000,660.000000000000000,648.000000000000000,6,6,0,0,3.000000000000000,1749,629376.000000000000000,2.855846906148939,-82.525056000000006,29.672442000000000,04251-003-001,HSBUI,False,0.940000000000000,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,13.079172433265384,478864.249981460801791,480613.249981460801791,-261886.750018539198209,-150511.750018539198209,261886.750018539198209,150511.750018539198209,0.647290572365604
1342,16887,5.310000000000000,1845,4.000000000000000,SUWANNEE,550300,2019,100,1545.000000000000000,1977,2024,0,0.000000000000000,483.000000000000000,0.000000000000000,4,46,0,0,2.000000000000000,38132,429623.000000000000000,6.425655538835113,-82.549616999999998,29.718136999999999,04079-007-000,HSBUI,True,0.960000000000000,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.925320027211644,410577.517656034149695,448709.517656034149695,-101590.482343965850305,-19045.482343965850305,101590.482343965850305,19045.482343965850305,0.815390728068388
1343,16896,7.100000000000000,1527,3.000000000000000,SUWANNEE,245000,1994,100,1152.000000000000000,1981,2024,0,0.000000000000000,375.000000000000000,0.000000000000000,29,42,0,0,2.000000000000000,2500,205750.000000000000000,8.591742810871809,-82.550155000000004,29.713816000000001,04079-018-000,HSBUI,True,0.710000000000000,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.434197214933718,251248.360995642724447,253748.360995642724447,8748.360995642724447,45498.360995642724447,8748.360995642724447,45498.360995642724447,1.035707595900583
1474,8188,2.220000000000000,2629,4.000000000000000,SUWANNEE,433500,1997,100,1988.000000000000000,1990,2024,0,0.000000000000000,737.000000000000000,624.000000000000000,26,33,0,0,3.000000000000000,17238,351237.000000000000000,2.686432259174003,-82.557894000000005,29.662506000000000,01922-008-001,HSBUI,False,0.740000000000000,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.917506882775767,407382.115532943396829,424620.115532943396829,-8879.884467056603171,56145.115532943396829,8879.884467056603171,56145.115532943396829,0.979515837446236
1508,7147,5.090000000000000,1584,3.000000000000000,NEWBERRY,530000,2015,100,1584.000000000000000,2015,2024,0,0.000000000000000,448.000000000000000,0.000000000000000,8,8,0,0,2.000000000000000,25890,424610.000000000000000,6.159432522160213,-82.608377000000004,29.710218000000001,01821-010-010,HSBUI,False,0.920000000000000,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.643535100405828,309754.429739921994042,335644.429739921994042,-194355.570260078005958,-114855.570260078005958,194355.570260078005958,114855.570260078005958,0.633291376867777
1554,22044,2.530000000000000,2608,4.000000000000000,SUWANNEE,505000,1999,100,2608.000000000000000,1976,2024,0,0.000000000000000,28.000000000000000,732.000000000000000,24,47,0,0,2.500000000000000,11472,417778.000000000000000,3.061564691761363,-82.522238000000002,29.647354000000000,04360-016-000,HSBUI,True,0.760000000000000,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.955188090226429,423025.648197305214126,434497.648197305214126,-70502.351802694785874,5247.648197305214126,70502.351802694785874,5247.648197305214126,0.860391382568921
