legal_acreage,Count,MAE,PRD,COD,PRB,Weighted Mean,Mean Ratio,Median Ratio
"(0.0, 0.19]",1867,52482.94018332015,1.0220892101737091,10.404906292520486,"{'PRB': -0.1550775854484372, 'Sig': 2.3743911244135255e-96}",0.8477875774596012,0.866514535440766,0.8430633113263843
"(0.19, 0.2]",290,55062.41278988359,1.0095787138242749,8.981957916236517,"{'PRB': -0.08353856116153913, 'Sig': 8.015156454631997e-08}",0.8356121577846772,0.8436162475121814,0.8298704221136081
"(0.2, 0.34]",2515,56484.84949380821,1.0179392903728923,11.074721679049162,"{'PRB': -0.11788052245615041, 'Sig': 7.228910822051266e-85}",0.836833930542725,0.8518461374166197,0.8341659101714838
"(0.34, 0.35]",126,58856.47165055986,1.0126977350246686,10.299839836095606,"{'PRB': -0.08963915387756974, 'Sig': 0.00011473402569880924}",0.8507718388610708,0.8615747142373787,0.8620880714477197
"(0.35, inf]",2432,85231.2749391929,1.0409184575323405,13.441263414310274,"{'PRB': -0.1837308229946807, 'Sig': 1.4055342791836702e-112}",0.8408967176572467,0.8753049142877893,0.8469638785363662
