Market_Cluster_ID,Count,MAE,PRD,COD,PRB,Weighted Mean,Mean Ratio,Median Ratio
Alachua_Main,224,56689.32147247183,1.0569609023325583,14.827845089568546,"{'PRB': -0.32601245746090757, 'Sig': 1.321269325909424e-33}",0.8273449832068304,0.8744712999906067,0.8261539981449131
Archer,30,36655.81097514488,1.0378187154264191,14.837306453136321,"{'PRB': -0.32022268221268424, 'Sig': 0.0002012251331591281}",0.8428654818934906,0.8747415716959722,0.8146842812553996
Buck_Bay,27,45103.33899682757,0.9989387118172735,6.190198687772286,"{'PRB': 0.0008316974622781664, 'Sig': 0.9922230617895779}",0.8355408109932883,0.8346540614043954,0.8366698104300536
Duck_Pond,69,65344.602112064465,1.0167894271049487,12.751856471606402,"{'PRB': -0.10296677154807671, 'Sig': 0.004020326021872379}",0.8439815201588609,0.8581514863694918,0.8652261331848526
EastMidtownEastA,144,73767.70209546627,1.0150211288809803,13.481382510590016,"{'PRB': -0.12523990390733727, 'Sig': 0.0006986892163657474}",0.8589260468955835,0.871828085745233,0.8694507050965079
Gainesvilleish_Region,963,67505.5311563793,1.0073214918181583,7.86026852851254,"{'PRB': -0.049526888259723255, 'Sig': 2.0182859873796533e-10}",0.8413808765555864,0.847541039759243,0.8383833117469192
Golfview,15,94339.26047923397,1.0001019224233123,12.968487084100099,"{'PRB': -0.02474963388264207, 'Sig': 0.8422663538109213}",0.8549529207719674,0.8550400596454704,0.8304067981395116
HSBUI,145,84981.16163117027,1.2151053194991914,30.803486820990322,"{'PRB': -0.6483916716689064, 'Sig': 2.3376581948273318e-30}",0.7726690089602569,0.9388742229997766,0.8277042511122756
HaileLike,419,90102.95155006401,1.0127594590034057,7.468849948440543,"{'PRB': -0.06285169829219657, 'Sig': 1.5146110367902802e-12}",0.8435348707494873,0.8542979193507585,0.8502865264675858
Hawthorne,48,43980.833127744845,1.057831710529944,15.400279188766582,"{'PRB': -0.40889510056991074, 'Sig': 6.524219621625028e-11}",0.7988763239236026,0.8450767082379782,0.7724585336922921
HighSpringsAGNV,392,59179.18345696129,1.0130323800801027,10.730457727751082,"{'PRB': -0.12067320447469611, 'Sig': 6.842892852013038e-13}",0.8449485575342659,0.8559602482841869,0.8422386436523854
HighSprings_A,94,68646.59558850717,1.0220791790321704,11.828369893660852,"{'PRB': -0.11619058471700644, 'Sig': 0.0008329857370919638}",0.850217375545328,0.8689894771962552,0.8477404777604424
HighSprings_B,358,61682.49586317759,1.0076121243072245,6.201430690655496,"{'PRB': -0.14474811168126495, 'Sig': 1.5241111623265583e-22}",0.8478204134438161,0.8542741278211529,0.8501287464061611
HighSprings_F,147,48617.48379757385,1.0008509452367298,9.445297040804926,"{'PRB': -0.042207535834616075, 'Sig': 0.2883165112082158}",0.859097921770841,0.8598289670552564,0.8518748214832401
High_Springs_Main,294,52555.9688363288,1.0267561045670566,10.105695544456935,"{'PRB': -0.1988963927323299, 'Sig': 2.2029953263040063e-27}",0.8345691571079301,0.8568989767439501,0.8364955157981727
Lugano,15,69029.45524407695,1.0055924527278512,3.829576578748862,"{'PRB': -0.15736728478421239, 'Sig': 0.001280674710429011}",0.8448241598361752,0.8495487990134057,0.8582575498648366
Magnolia_Heights,37,37544.184133475384,1.036591149169113,14.101906239406793,"{'PRB': -0.25979403299728143, 'Sig': 2.5592232174114723e-05}",0.8513650613951266,0.8825174873540068,0.8420263942481451
MidtownEast_A,162,59136.96309507963,1.0501331995892929,17.94636290152626,"{'PRB': -0.3281253562223208, 'Sig': 1.5994203556021645e-15}",0.8259413125978122,0.8673483932713208,0.8459587958942547
MidtownEast_B,246,74717.74278068794,1.0201631078525866,12.615326534184167,"{'PRB': -0.17068606992193683, 'Sig': 3.4964065824055986e-08}",0.8496600018492124,0.866791788104527,0.8502307678452836
MidtownEast_C,173,39100.212858135514,1.1219769295360007,25.442817948105272,"{'PRB': -0.7240132467626297, 'Sig': 3.349634536407282e-30}",0.8089440190940745,0.9076165267096817,0.8114318231745536
MidtownEast_D,45,65218.84641429416,1.0845876234191478,18.701277901070046,"{'PRB': -0.28820142670476523, 'Sig': 1.0935140027109871e-06}",0.8115263529161086,0.8801714384512909,0.8337263057346581
Newmans_Lake,142,41077.221787963455,1.0674452522061262,18.080917066772976,"{'PRB': -0.3779313153710778, 'Sig': 7.5059801326274e-26}",0.8178417094424152,0.8730012498004482,0.8156975021502295
Real_Tioga,99,112107.39872683403,1.0092873058332836,7.659730600701462,"{'PRB': -0.07303409615651027, 'Sig': 0.003808164887819614}",0.845365136864938,0.8532163014317983,0.8447608577945193
Springtree_A,61,44731.03601316802,1.0121487634603425,8.097628769915083,"{'PRB': -0.2575559412626023, 'Sig': 2.0524552269071636e-08}",0.8489165319973916,0.8592298181422022,0.8417617798178981
Springtree_B,802,45190.26614815762,1.0113800778179511,9.14068090207024,"{'PRB': -0.13531907990049868, 'Sig': 7.32113464044285e-27}",0.8451328965379414,0.8547505746670537,0.8407148961007751
Thornebrooke,102,62164.777532425374,1.0222976770584222,8.995273049431098,"{'PRB': -0.0966548191074844, 'Sig': 7.320106505647972e-07}",0.8383919367060088,0.8570861293590645,0.8458244443029853
Tioga_A,62,123635.29299185611,1.0185594259449025,8.204844711381359,"{'PRB': -0.13036784444622238, 'Sig': 1.902447604163864e-06}",0.8369539056495442,0.8524872896807437,0.8514850871416826
Tioga_B,74,132451.27576622285,1.0384746453201346,7.537089929051764,"{'PRB': -0.10267406480099389, 'Sig': 8.985882234862946e-12}",0.8148541294215522,0.8462053530386935,0.8518991835251553
