imprv_det_quality_cd,Count,MAE,PRD,COD,PRB,Weighted Mean,Mean Ratio,Median Ratio
0.75,2,8372.34233042685,1.0165986572098944,11.68800390179944,"{'PRB': -0.5761539695379252, 'Sig': nan}",1.0302356501726835,1.0473361785753126,1.0473361785753126
0.9,66,33140.91326802903,1.250269133609706,37.86806235389913,"{'PRB': -0.8345214338088779, 'Sig': 1.415380345341132e-15}",0.9951142367621364,1.24416061463928,1.0813181880318825
1.0,4880,53473.79891211099,1.0229981021452998,11.38231439820179,"{'PRB': -0.17243760274086894, 'Sig': 1.6150946050259054e-229}",0.8360679522686746,0.8552959284353612,0.8334279027859297
1.15,1593,76153.58714399306,1.0145395030900073,7.877571358202833,"{'PRB': -0.13800007453768054, 'Sig': 1.5013263507813113e-92}",0.8527238664285305,0.865122047719391,0.8588534472631891
1.4,227,139708.3993217449,1.0194083305138073,8.601401859561417,"{'PRB': -0.20042897749263888, 'Sig': 7.586281228310447e-28}",0.8480857823976666,0.8645457115665014,0.8654928611566711
1.7,11,325274.065304999,1.0268800009041776,10.23550958667584,"{'PRB': -0.2893428919013783, 'Sig': 0.00023196458954834157}",0.7790612476779305,0.8000024147199231,0.8192112465880755
