Assessment_Val,Count,MAE,PRD,COD,PRB,Weighted Mean,Mean Ratio,Median Ratio
"(0.0, 210000.0]",1721,34247.13988824124,1.0415288359178396,17.52108760745179,"{'PRB': -0.5083915641555882, 'Sig': 1.3883777630980594e-191}",0.8870815576487322,0.9239210221020681,0.8668809395160996
"(210000.0, 295835.0]",2282,49178.077175193466,0.9994918134311597,8.482692869585593,"{'PRB': 0.03619577621304873, 'Sig': 0.03478740154334997}",0.8457045022282036,0.8452747265589634,0.8397160115600404
"(295835.0, 423131.0]",1811,67035.84845078317,1.0013964874449859,8.257423007676934,"{'PRB': -0.08802974314189463, 'Sig': 3.905389589666859e-07}",0.845367940698636,0.8465484864142152,0.8459409788493985
"(423131.0, inf]",965,131808.33982425026,1.004318873274703,8.581007231603841,"{'PRB': -0.037520575173146116, 'Sig': 0.0005580075502333938}",0.8142661012141229,0.8177828133171532,0.8196071727368477
