living_area,Count,MAE,MSE,R2,PRD,COD,PRB,Weighted Mean,Average Deviation,Mean Ratio,Median Ratio
"(0.0, 1000.0]",580,30651.445364487434,2414433153.1608458,0.3281965114082531,0.9882251351984699,23.771675322725134,"{'PRB': 0.19629824402821505, 'Sig': 7.309869934737696e-05}",1.032314286951976,0.24346380057493952,1.1539509114821809,0.9763950097250624
"(1000.0, 1500.0]",2945,26339.465138233973,1824831163.6787126,0.49096209028033855,1.00134246320726,13.457732040383156,"{'PRB': -0.007150916930901319, 'Sig': 0.5460962009754042}",1.0340216766230537,0.13961761972913786,1.0128092335752805,0.9638992604580666
"(1500.0, 2000.0]",2388,30230.465744415375,1908625527.2425616,0.5404168928912183,1.005360659837315,11.145471848976115,"{'PRB': -0.0836404153304198, 'Sig': 3.584350949894271e-13}",1.0058067062518699,0.11179103849828921,1.0184861858267165,0.9969915302548662
"(2000.0, 2500.0]",1231,40541.61394426286,3534410126.322972,0.4816020507072435,1.006346497773249,11.68041274053427,"{'PRB': -0.11782715648664287, 'Sig': 1.0316485339787453e-10}",1.0062063584081389,0.11675378871484908,1.0210744298905106,1.0004311525223097
"(2500.0, 3000.0]",648,58133.87728661509,6629502016.7482815,0.5026198082937494,1.0047544572272193,13.110416152169897,"{'PRB': -0.07503408222348308, 'Sig': 0.0015169371626863148}",1.0112480330556886,0.13173425508965253,1.0324474631113014,0.995217165167418
"(3000.0, 3500.0]",287,60743.82361114557,6545949584.78995,0.664831073687769,1.00310382421903,11.649449210816107,"{'PRB': -0.032611636955344185, 'Sig': 0.24268153085860872}",0.9973137230950617,0.11493132228878573,1.027796230802636,1.0136009034634403
"(3500.0, inf]",298,102213.91720032312,56327969631.414246,0.4793607243714897,0.9989668203212759,13.92638452632552,"{'PRB': 0.020168641541883855, 'Sig': 0.6858630944960082}",1.0176094168798444,0.13817948157133347,1.0276461937865418,1.0078479059523198
