prop_id,legal_acreage,living_area,condition_cd,tax_area_description,actual_age,abs_subdv_cd,Aessessment_Val
2930,0.34,1885,3,HIGH SPRINGS,71,64600,237728
2934,0.34,1318,3,HIGH SPRINGS,25,64600,262788
2950,0.34,1316,3,HIGH SPRINGS,30,64600,242396
2962,0.34,1273,3,HIGH SPRINGS,24,64600,294950
2967,0.34,2044,4,HIGH SPRINGS,45,64600,312746
2976,0.33,1701,3,HIGH SPRINGS,39,64600,312187
2985,0.41,1798,3,HIGH SPRINGS,19,182000,306158
3017,0.34,1606,2,HIGH SPRINGS,49,64600,194436
3027,0.34,1240,3,HIGH SPRINGS,50,64600,186804
3033,0.34,1240,3,HIGH SPRINGS,76,64600,90530
3034,0.34,1200,3,HIGH SPRINGS,24,64600,234621
3037,1.19,1477,3,HIGH SPRINGS,94,64600,176796
3044,1.15,1930,3,HIGH SPRINGS,124,64500,164492
3055,0.36,1248,3,HIGH SPRINGS,69,93500,283391
3059,0.34,1008,3,HIGH SPRINGS,87,93500,123155
3071,0.34,2120,3,HIGH SPRINGS,68,93500,292456
3074,0.15,1080,3,HIGH SPRINGS,35,93500,71162
3100,0.23,1156,3,HIGH SPRINGS,124,64600,216675
3212,0.22,1176,3,HIGH SPRINGS,69,64600,125700
3234,0.34,1737,3,HIGH SPRINGS,70,64600,251247
3236,0.34,1029,3,HIGH SPRINGS,70,64600,211944
3237,0.34,1171,3,HIGH SPRINGS,61,64600,242876
3242,0.45,1380,3,HIGH SPRINGS,86,64600,326504
3245,0.23,1431,3,HIGH SPRINGS,62,64600,262700
3246,0.23,1926,2,HIGH SPRINGS,95,64600,142512
3256,0.17,1120,3,HIGH SPRINGS,95,64600,188101
3280,0.34,1456,3,HIGH SPRINGS,97,64600,278384
3283,0.18,1044,3,HIGH SPRINGS,87,64600,198208
3310,0.68,2258,3,HIGH SPRINGS,63,64600,255964
3316,0.34,2370,3,HIGH SPRINGS,74,64600,346404
3319,0.38,2153,3,HIGH SPRINGS,63,64600,309115
3326,0.34,1125,3,HIGH SPRINGS,10,64600,249553
3354,0.73,2785,3,HIGH SPRINGS,87,64600,401624
3360,0.34,1551,3,HIGH SPRINGS,87,64600,234356
3371,0.34,832,3,HIGH SPRINGS,33,64600,146047
3382,0.32,1624,3,HIGH SPRINGS,60,64600,315884
3384,0.23,1600,3,HIGH SPRINGS,52,64600,247186
3387,0.46,2513,3,HIGH SPRINGS,102,64600,361400
3389,0.28,2066,3,HIGH SPRINGS,63,64600,286332
3390,0.43,1416,3,HIGH SPRINGS,73,64600,205805
3397,0.21,2408,4,HIGH SPRINGS,95,64600,464758
3398,0.14,1136,3,HIGH SPRINGS,76,64600,226280
3404,0.11,911,3,HIGH SPRINGS,76,64600,179149
3405,0.34,1172,3,HIGH SPRINGS,76,64600,171500
3408,0.34,1371,3,HIGH SPRINGS,82,64600,78484
3423,0.25,1657,3,HIGH SPRINGS,95,64600,286049
3432,0.2,1442,3,HIGH SPRINGS,110,64600,139261
3457,0.57,1648,3,HIGH SPRINGS,22,64600,354816
3465,0.23,1084,3,HIGH SPRINGS,46,152700,189100
3482,0.34,1083,2,HIGH SPRINGS,95,64600,91900
3500,0.68,1372,3,HIGH SPRINGS,94,64600,217300
3503,0.34,1656,2,HIGH SPRINGS,95,64600,92000
3517,0.11,702,3,HIGH SPRINGS,95,64600,107479
3547,1.15,2112,3,HIGH SPRINGS,48,94500,222764
3553,0.34,945,3,HIGH SPRINGS,89,94500,118436
3557,0.34,1058,3,HIGH SPRINGS,27,94500,210775
3584,0.23,1064,3,HIGH SPRINGS,95,94900,233698
3586,0.2,1248,3,HIGH SPRINGS,95,94900,140420
3705,0.11,1200,3,HIGH SPRINGS,2,71600,230782
3706,0.09,1200,3,HIGH SPRINGS,2,71600,209682
3766,0.23,1200,3,HIGH SPRINGS,59,171900,258272
3782,0.18,839,3,HIGH SPRINGS,95,171900,144524
3795,0.3,1284,3,HIGH SPRINGS,95,171900,187625
3802,0.23,2201,3,HIGH SPRINGS,95,171900,214128
3821,0.23,1655,3,HIGH SPRINGS,95,171900,284423
3824,0.23,1100,3,HIGH SPRINGS,124,171900,219000
3826,0.17,1580,3,HIGH SPRINGS,84,171900,177345
3836,0.92,1115,3,HIGH SPRINGS,105,171900,87328
3846,0.23,1328,3,HIGH SPRINGS,104,171900,255818
3850,0.23,1232,3,HIGH SPRINGS,47,171900,222117
3873,0.45,1679,3,HIGH SPRINGS,16,45800,318495
3886,0.34,1344,3,HIGH SPRINGS,38,45800,205860
3929,0.34,984,3,HIGH SPRINGS,34,45800,149804
3938,0.31,1600,3,HIGH SPRINGS,21,45800,272432
3947,0.23,1524,3,HIGH SPRINGS,17,45800,289084
3950,0.23,1524,3,HIGH SPRINGS,17,45800,300288
3956,0.46,1040,3,HIGH SPRINGS,62,45800,198554
3969,0.3,896,3,HIGH SPRINGS,104,45800,152360
4032,0.34,1352,3,HIGH SPRINGS,57,0,197948
4050,0.74,1860,4,HIGH SPRINGS,19,236800,365927
4054,1.64,1503,4,HIGH SPRINGS,20,236800,291666
4058,1.02,1958,4,HIGH SPRINGS,18,236800,403056
4104,0.23,1012,3,HIGH SPRINGS,54,152600,159068
4107,0.59,1200,3,HIGH SPRINGS,47,152600,180048
4176,0.5,1398,3,HIGH SPRINGS,104,0,356677
4179,0.47,1431,3,HIGH SPRINGS,21,180500,269733
