prop_id,legal_acreage,living_area,condition_cd,tax_area_description,actual_age,abs_subdv_cd,Aessessment_Val
33880,0.21,1525,3,GAINESVILLE,30,74401,305953
33881,0.21,1615,3,GAINESVILLE,29,74401,336309
33883,0.21,1482,3,GAINESVILLE,30,74401,314130
33907,0.2,1644,3,GAINESVILLE,29,74402,281459
33918,0.2,1590,3,GAINESVILLE,29,74402,347891
33920,0.19,1593,3,GAINESVILLE,29,74402,352319
33927,0.26,1500,3,GAINESVILLE,29,74402,184366
33931,0.26,1538,3,GAINESVILLE,29,74402,300758
33934,0.25,2040,3,GAINESVILLE,29,74402,370103
33940,0.26,1774,3,GAINESVILLE,29,74402,314404
33944,0.2,1549,3,GAINESVILLE,29,74402,340815
33948,0.2,1322,3,GAINESVILLE,28,74402,296442
33957,0.65,2024,4,GAINESVILLE,30,133800,400178
33980,0.42,2340,4,GAINESVILLE,29,133800,525596
33984,0.43,2533,4,GAINESVILLE,27,133800,476348
33990,0.33,2757,4,GAINESVILLE,30,133800,557468
33991,0.39,1999,4,GAINESVILLE,31,133800,473330
33993,0.34,2784,4,GAINESVILLE,30,133800,574370
34009,0.27,2100,3,GAINESVILLE,27,203600,439120
34040,0.28,1975,3,GAINESVILLE,30,203600,396925
34046,0.26,1928,3,GAINESVILLE,29,203600,408804
34048,0.24,2027,3,GAINESVILLE,29,203600,407960
34050,0.23,2373,3,GAINESVILLE,29,203600,406920
34070,0.42,1718,3,SUWANNEE,44,47300,357907
34071,0.67,1561,3,SUWANNEE,46,47300,338800
34075,0.43,1734,3,SUWANNEE,46,47300,343303
34082,0.54,2060,3,SUWANNEE,46,47300,289754
34094,0.35,1507,3,SUWANNEE,46,47300,267120
34095,0.35,1442,3,SUWANNEE,46,47300,328151
34099,0.42,2079,3,SUWANNEE,46,47300,256936
34103,0.5,1338,3,SUWANNEE,45,47300,319650
34125,0.43,1758,3,SUWANNEE,44,47100,308522
34140,0.33,1434,3,SUWANNEE,45,47100,276395
34141,0.37,1344,3,SUWANNEE,44,47100,286126
34145,0.4,1862,3,SUWANNEE,44,47100,384143
34151,0.35,1411,3,SUWANNEE,44,47100,140058
34152,0.37,1422,3,SUWANNEE,44,47100,331645
34161,0.4,2450,3,SUWANNEE,44,47100,423421
34166,0.41,1544,3,SUWANNEE,44,47100,237480
34167,0.41,1350,3,SUWANNEE,45,47100,305720
34172,0.45,1499,3,SUWANNEE,45,47100,279464
34178,0.36,1536,3,SUWANNEE,45,47100,286178
34185,0.35,1418,3,SUWANNEE,45,47100,290939
34191,0.35,1746,3,SUWANNEE,42,47100,326590
34198,0.43,1694,3,SUWANNEE,41,47200,458071
34202,0.48,1816,3,SUWANNEE,40,47200,330408
34204,0.67,1705,3,SUWANNEE,42,47200,383110
34216,0.4,1861,3,SUWANNEE,40,47200,350901
34218,0.65,1860,3,SUWANNEE,41,47200,414929
34234,0.45,1852,3,SUWANNEE,41,47200,416689
34247,0.35,1824,3,SUWANNEE,40,47200,369059
34264,0.35,1354,3,SUWANNEE,41,47200,307314
34270,0.47,1953,3,SUWANNEE,41,47200,391279
34271,0.43,2065,3,SUWANNEE,41,47200,377992
34290,0.36,1794,3,SUWANNEE,39,47200,311544
34293,0.44,1585,3,SUWANNEE,41,47200,316243
34296,0.3,2163,3,SUWANNEE,40,47200,322247
34304,0.52,1750,3,SUWANNEE,39,47200,334331
34358,0.36,2101,4,GAINESVILLE,33,8000,443137
34364,0.34,2244,4,GAINESVILLE,31,8000,459979
34366,0.39,2470,4,GAINESVILLE,32,8000,431715
34378,0.32,2585,4,GAINESVILLE,34,8000,498963
34381,0.39,2530,4,GAINESVILLE,34,8000,572700
34387,0.46,2442,4,GAINESVILLE,33,8000,508895
34413,0.9,2082,4,SUWANNEE,39,182100,351679
34424,1.24,3092,4,SUWANNEE,48,182100,610271
34437,1.03,2588,3,SUWANNEE,46,182100,370160
34440,1.04,2356,4,SUWANNEE,43,182100,391164
34448,1.15,2501,3,SUWANNEE,45,182100,356110
34455,1.18,2120,4,SUWANNEE,42,182100,374937
34461,1.17,2361,3,SUWANNEE,47,182100,269504
34491,1.11,2598,4,SUWANNEE,48,182100,454223
34499,1.03,3530,4,SUWANNEE,46,182100,579025
34501,1.05,2916,3,SUWANNEE,45,182100,343681
34520,4,2628,3,SUWANNEE,55,0,395068
34586,1.42,1866,4,SUWANNEE,59,36700,328363
34593,2,2468,3,SUWANNEE,1,36700,74700
34600,2.3,1684,3,SUWANNEE,63,36700,327300
34602,2,2717,3,SUWANNEE,54,36700,470485
34603,2.3,1940,3,SUWANNEE,62,36700,221900
34607,1.03,1964,3,SUWANNEE,64,0,286181
34624,1.03,4212,5,SUWANNEE,26,220700,846428
34626,1.41,3776,5,SUWANNEE,26,220700,828234
34643,1.28,3215,4,SUWANNEE,21,220700,678791
34681,8.62,4130,5,SUWANNEE,25,0,884818
34698,1.02,2493,4,SUWANNEE,39,121200,512374
34702,1.02,1758,4,SUWANNEE,43,121200,413532
34704,1.02,2756,4,SUWANNEE,45,121200,521940
34713,1.1,1833,4,SUWANNEE,43,121200,365388
34741,2.72,1628,3,SUWANNEE,37,0,310750
34796,1.01,3016,4,SUWANNEE,18,172200,619129
34801,1.57,3856,5,SUWANNEE,26,172200,842993
34802,1.66,4415,5,SUWANNEE,25,172200,903096
34804,1.25,3384,5,SUWANNEE,24,172200,715718
34807,1.04,4330,5,SUWANNEE,22,172200,903550
34809,1.04,4600,5,SUWANNEE,25,172200,773039
34814,1.05,4091,5,SUWANNEE,24,172200,806942
34819,1.19,4382,5,SUWANNEE,26,172200,974141
34822,1.08,3164,5,SUWANNEE,23,172200,761926
34843,1.1,4769,4,SUWANNEE,19,236600,837832
34857,1.25,3252,4,SUWANNEE,22,85200,645674
34863,1.09,2653,4,SUWANNEE,35,85200,586938
34871,1.49,2408,4,SUWANNEE,37,85200,478028
34893,1.74,3095,4,SUWANNEE,30,85200,590344
34904,2.15,2498,4,SUWANNEE,44,84600,490827
34914,1.82,2869,4,SUWANNEE,27,84600,610671
34917,1.97,4072,5,SUWANNEE,27,84600,753011
34920,1.94,2106,4,SUWANNEE,41,84600,423242
34923,1.98,2673,5,SUWANNEE,21,84600,772168
34932,1.96,2576,4,SUWANNEE,43,84600,425628
34936,1.9,2394,4,SUWANNEE,43,84600,444568
34943,1.93,2158,5,SUWANNEE,31,84600,570494
34944,1.76,3030,5,SUWANNEE,30,84600,775788
34950,1.42,3029,5,SUWANNEE,43,84600,564047
34952,1.43,2648,4,SUWANNEE,41,84600,516474
34966,2.82,2588,4,SUWANNEE,44,85100,500199
34985,1.33,3783,4,SUWANNEE,45,85100,656744
35044,0.65,2375,4,ST. JOHN'S,50,167600,408950
35050,0.68,2490,4,ST. JOHN'S,50,167600,428163
35055,0.65,2984,4,ST. JOHN'S,51,167600,401120
35064,0.68,2138,4,ST. JOHN'S,49,167600,354092
35071,0.68,2935,4,ST. JOHN'S,49,167600,389717
35074,1.03,2749,4,ST. JOHN'S,46,167600,423342
35075,1.03,2920,4,ST. JOHN'S,51,167600,446994
35093,0.52,2253,4,ST. JOHN'S,45,167900,357884
35096,0.46,1839,3,ST. JOHN'S,44,167900,382400
35097,1.14,2082,4,ST. JOHN'S,44,167900,427725
35102,0.76,2162,4,ST. JOHN'S,45,167900,429519
35137,0.51,2675,4,ST. JOHN'S,18,167800,525814
35140,0.51,2730,4,ST. JOHN'S,37,167800,400476
35149,1,3333,5,ST. JOHN'S,37,167800,753894
35182,4,5749,4,ST. JOHN'S,24,195600,865349
35183,4.03,4889,5,ST. JOHN'S,16,195600,967937
35185,2.09,4248,4,ST. JOHN'S,26,195600,718214
35188,1.45,1616,3,ST. JOHN'S,74,0,331000
35208,1.26,3616,5,ST. JOHN'S,26,218500,861866
35214,1.5,3469,5,ST. JOHN'S,24,218500,788791
35226,0.42,2900,5,ST. JOHN'S,28,218500,571658
35234,0.39,2700,4,ST. JOHN'S,23,218500,627071
35249,0.41,2611,5,ST. JOHN'S,28,218500,565524
35262,0.34,2095,4,ST. JOHN'S,25,218500,528349
35267,5.02,4857,5,ST. JOHN'S,19,218600,1295059
35274,2.5,3837,5,ST. JOHN'S,20,218601,992178
35287,0.38,1872,4,ST. JOHN'S,35,187606,358046
35290,0.35,2004,4,ST. JOHN'S,36,187601,373241
35301,0.52,1833,4,ST. JOHN'S,34,187601,386036
35304,0.26,1826,4,ST. JOHN'S,32,187601,353889
35320,0.21,1707,3,ST. JOHN'S,36,187601,325020
35321,0.21,1324,3,ST. JOHN'S,36,187601,226088
35322,0.22,1208,3,ST. JOHN'S,35,187601,266493
35326,0.31,1304,3,ST. JOHN'S,36,187601,272045
35327,0.32,1581,3,ST. JOHN'S,36,187601,297492
35329,0.22,1248,3,ST. JOHN'S,37,187601,279416
35330,0.22,1295,3,ST. JOHN'S,36,187601,292180
35343,0.21,1315,3,ST. JOHN'S,36,187601,303239
35344,0.21,1224,3,ST. JOHN'S,36,187601,285768
35353,0.22,1466,3,ST. JOHN'S,37,187601,320462
35364,0.21,1457,3,ST. JOHN'S,34,187602,306575
35370,0.18,1228,3,ST. JOHN'S,34,187602,273397
35371,0.21,1555,3,ST. JOHN'S,34,187602,335932
35376,0.21,1262,3,ST. JOHN'S,34,187602,348030
35387,0.18,1328,3,ST. JOHN'S,33,187603,307893
35391,0.33,1849,3,ST. JOHN'S,33,187603,391986
35399,0.21,1254,3,ST. JOHN'S,33,187604,285920
35409,0.19,1465,3,ST. JOHN'S,33,187604,322197
35413,0.17,1286,3,ST. JOHN'S,33,187604,299129
35416,0.23,1334,3,ST. JOHN'S,33,187604,337134
35433,0.28,1717,3,ST. JOHN'S,33,187604,354834
35436,0.2,1623,3,ST. JOHN'S,31,187605,318635
35441,0.26,2009,3,ST. JOHN'S,32,187605,384819
35443,0.18,1522,3,ST. JOHN'S,32,187605,333497
35444,0.2,1492,3,ST. JOHN'S,32,187605,287947
35448,0.22,1364,3,ST. JOHN'S,32,187605,230110
35450,0.15,1399,3,ST. JOHN'S,32,187605,306094
35462,0.18,2890,4,ST. JOHN'S,17,247600,616720
35464,0.19,3212,4,ST. JOHN'S,16,247600,650708
35483,0.19,2596,4,ST. JOHN'S,9,247600,618116
35501,0.3,3195,4,ST. JOHN'S,7,247600,865552
35503,0.25,3111,4,ST. JOHN'S,8,247600,691123
35533,1.25,2975,4,ST. JOHN'S,23,172600,660068
35551,0.57,2427,4,ST. JOHN'S,40,0,430497
35553,0.58,2195,3,ST. JOHN'S,34,0,422007
35567,0.4,1916,3,ST. JOHN'S,46,54400,353991
35569,0.4,1668,3,ST. JOHN'S,46,54400,322852
35570,0.4,1854,3,ST. JOHN'S,45,54400,367925
35575,0.4,1836,3,ST. JOHN'S,46,54400,339827
35576,0.4,2255,3,ST. JOHN'S,46,54400,345388
35584,0.4,1990,3,ST. JOHN'S,46,54400,377342
35586,0.4,1787,3,ST. JOHN'S,45,54400,360877
35590,0.59,2256,4,ST. JOHN'S,21,54400,444521
35595,0.42,2841,3,ST. JOHN'S,45,54400,452236
35597,0.42,3010,4,ST. JOHN'S,45,54400,428400
35608,1.3,2330,4,ST. JOHN'S,40,54400,402675
35614,0.45,3608,4,ST. JOHN'S,45,54400,511652
35616,0.5,1878,3,ST. JOHN'S,39,54400,362566
35622,0.41,1799,3,ST. JOHN'S,45,54400,307788
35623,0.41,2178,3,ST. JOHN'S,47,54400,265557
35630,0.37,2679,3,ST. JOHN'S,45,54400,391950
35632,1.53,1724,3,ST. JOHN'S,26,54400,384270
35639,1.3,3817,5,ST. JOHN'S,31,195500,841002
35649,1.91,3983,5,ST. JOHN'S,30,195500,932896
35654,2.12,3797,5,ST. JOHN'S,26,195500,798613
35658,3.01,4039,4,ST. JOHN'S,27,195500,884220
35666,2.09,4305,5,ST. JOHN'S,27,195500,880151
35675,1.32,4647,4,ST. JOHN'S,39,92700,714225
35679,2.03,3387,4,ST. JOHN'S,32,92700,816796
35680,2.03,4813,5,ST. JOHN'S,40,92700,989259
35683,1.96,3017,4,ST. JOHN'S,44,92700,518680
35686,2.8,3805,5,ST. JOHN'S,38,92700,887604
35687,1.9,3721,4,ST. JOHN'S,40,92700,650791
35688,2.06,3174,4,ST. JOHN'S,39,0,706886
35692,1.09,2562,4,ST. JOHN'S,38,54500,331616
35693,0.73,2536,4,ST. JOHN'S,39,54500,397530
35702,0.42,2214,3,ST. JOHN'S,44,54500,371597
35722,0.41,2388,4,ST. JOHN'S,42,54500,407148
35739,0.9,3068,4,ST. JOHN'S,42,54500,468420
35756,0.4,2168,4,ST. JOHN'S,42,54500,355492
35759,0.4,2336,4,ST. JOHN'S,41,54500,415900
35769,0.36,3064,4,ST. JOHN'S,39,54500,661563
35783,0.66,3868,5,GAINESVILLE,27,107600,639760
35785,0.82,2686,4,GAINESVILLE,27,107600,435133
35790,0.69,3352,5,GAINESVILLE,30,107600,720581
35791,0.69,2955,5,GAINESVILLE,30,107600,531755
35792,0.69,3140,5,GAINESVILLE,30,109800,619710
35804,0.64,2834,5,GAINESVILLE,29,107600,519973
35808,0.77,2880,5,GAINESVILLE,27,107600,568324
35816,1.49,3552,5,GAINESVILLE,22,109800,712719
35866,0.44,2918,4,ST. JOHN'S,25,130600,586907
35878,0.49,3020,5,ST. JOHN'S,23,130600,671997
35879,0.55,3012,5,ST. JOHN'S,23,130600,588822
35895,0.49,2828,5,ST. JOHN'S,21,229700,614270
35896,0.57,3070,5,ST. JOHN'S,16,229700,653060
35904,0.46,3204,5,ST. JOHN'S,22,229700,733586
35907,0.52,3313,5,ST. JOHN'S,22,229700,760311
35912,0.48,3657,4,ST. JOHN'S,22,229700,827686
35913,0.49,4181,5,ST. JOHN'S,17,229700,792229
35920,0.24,2935,4,ST. JOHN'S,19,234200,517885
35925,0.24,2341,4,ST. JOHN'S,21,234200,558819
35929,0.24,2843,4,ST. JOHN'S,21,234200,538217
35934,0.33,2755,4,ST. JOHN'S,16,234200,602120
35941,0.35,3634,4,ST. JOHN'S,8,234201,774647
35966,0.42,2450,4,ST. JOHN'S,36,101300,392063
35975,0.39,2481,4,ST. JOHN'S,35,101300,469022
35976,0.45,2413,4,ST. JOHN'S,34,101300,528879
35988,0.47,3124,3,ST. JOHN'S,33,101300,490933
35991,0.46,2777,4,ST. JOHN'S,35,101300,498421
35992,0.46,2332,4,ST. JOHN'S,34,101300,412206
36009,0.39,3231,4,ST. JOHN'S,35,101501,569503
36015,0.68,2567,4,ST. JOHN'S,35,101501,382078
36018,0.57,2430,4,ST. JOHN'S,35,101501,511281
36028,0.62,3000,4,ST. JOHN'S,35,101502,500600
36031,0.51,3102,4,ST. JOHN'S,29,101502,599745
36048,0.52,3219,4,ST. JOHN'S,33,101502,625945
36051,0.46,2386,4,ST. JOHN'S,33,101502,457081
36056,0.64,2927,4,ST. JOHN'S,34,101502,580878
36073,0.4,2374,4,ST. JOHN'S,30,101503,485738
36088,0.4,2447,4,ST. JOHN'S,32,101503,512411
36089,0.45,2481,4,ST. JOHN'S,34,101503,444712
36094,0.54,2540,4,ST. JOHN'S,32,101503,510261
36097,0.66,3318,5,ST. JOHN'S,30,101504,629565
36100,0.61,2827,5,ST. JOHN'S,31,101504,540799
36104,0.46,2847,5,ST. JOHN'S,31,101504,503938
36122,0.5,3368,5,ST. JOHN'S,30,101505,708476
36152,0.4,2798,4,ST. JOHN'S,20,101507,599425
36162,0.42,3425,5,ST. JOHN'S,28,101507,643543
36167,0.4,2424,4,ST. JOHN'S,34,101508,445868
36172,0.37,2297,4,ST. JOHN'S,32,101509,453428
36719,0.25,1176,3,ST. JOHN'S,43,171500,197773
36734,0.24,1392,3,ST. JOHN'S,43,171500,258876
36735,0.24,1322,3,ST. JOHN'S,43,171500,303773
36737,0.24,1708,3,ST. JOHN'S,43,171500,292115
36751,0.24,1322,3,ST. JOHN'S,43,171500,288274
36755,0.24,1224,3,ST. JOHN'S,42,171500,284230
36758,0.24,1798,3,ST. JOHN'S,43,171500,265701
36764,0.24,1554,3,ST. JOHN'S,42,171500,266713
36792,0.44,1416,3,GAINESVILLE,46,143500,260628
36815,0.23,1381,3,GAINESVILLE,43,155000,289382
36818,0.23,1626,3,GAINESVILLE,36,155000,315048
36819,0.26,1420,3,GAINESVILLE,42,155000,332637
36828,0.34,1860,3,GAINESVILLE,57,143600,337006
36829,0.51,1810,3,GAINESVILLE,57,143600,340944
36834,0.33,1624,3,GAINESVILLE,56,143600,270508
36838,0.34,1321,3,GAINESVILLE,56,143600,271257
36841,0.39,1428,3,GAINESVILLE,56,143600,260260
36860,0.39,1428,3,GAINESVILLE,57,143600,284012
36865,0.63,1453,3,GAINESVILLE,57,143600,304830
36871,0.65,1808,3,GAINESVILLE,56,143700,220159
36874,0.61,1620,3,GAINESVILLE,52,143700,291097
36875,0.32,1460,3,GAINESVILLE,53,143700,190244
36885,0.33,1337,3,GAINESVILLE,56,143700,234692
36889,0.33,1764,3,GAINESVILLE,56,143700,237266
36896,0.43,1696,3,GAINESVILLE,55,143700,301030
36908,0.34,1494,3,GAINESVILLE,54,143800,327166
36920,0.33,1456,3,GAINESVILLE,55,143800,316129
36927,0.33,1497,3,GAINESVILLE,53,143800,331498
36930,0.33,1478,3,GAINESVILLE,54,143800,325917
36936,0.52,2334,3,GAINESVILLE,52,144100,304076
36942,0.38,1484,3,GAINESVILLE,53,144100,259195
36990,0.28,1494,3,GAINESVILLE,52,144000,284784
37013,0.27,1613,3,GAINESVILLE,26,31501,250211
37025,0.17,1819,3,GAINESVILLE,27,31501,285443
37029,0.25,1887,3,GAINESVILLE,28,31501,362760
37031,0.17,1245,3,GAINESVILLE,27,31501,276813
37032,0.18,1597,3,GAINESVILLE,27,31501,308292
37034,0.17,1102,3,GAINESVILLE,28,31501,219040
37037,0.17,1259,3,GAINESVILLE,27,31501,270077
37038,0.17,2011,3,GAINESVILLE,27,31501,373140
37049,0.18,1582,3,GAINESVILLE,26,31501,245364
37070,0.18,1468,3,GAINESVILLE,28,31501,289360
37076,0.18,1585,3,GAINESVILLE,25,31502,275233
37088,0.17,1437,3,GAINESVILLE,27,31502,309580
37098,0.25,1927,3,GAINESVILLE,27,31502,334874
37099,0.18,2184,3,GAINESVILLE,26,31502,403235
37100,0.2,1771,3,GAINESVILLE,25,31502,314145
37149,0.17,1862,3,GAINESVILLE,25,31503,338370
37150,0.17,1412,3,GAINESVILLE,24,31503,282485
37153,0.16,1914,3,GAINESVILLE,25,31503,346055
37182,0.16,1412,3,GAINESVILLE,24,31503,217571
37188,0.17,2067,3,GAINESVILLE,24,31503,413767
37192,0.17,1435,3,GAINESVILLE,26,31503,308272
37194,0.17,1839,3,GAINESVILLE,24,31503,369464
37195,0.17,1871,3,GAINESVILLE,26,31503,336233
37201,0.17,1615,3,GAINESVILLE,24,31504,297732
37214,0.17,1616,3,GAINESVILLE,23,31504,331680
37256,0.17,1466,3,GAINESVILLE,23,31504,309259
37266,0.17,1687,3,GAINESVILLE,22,31505,262473
37273,0.24,2123,3,GAINESVILLE,21,31505,351780
37277,0.19,1338,3,GAINESVILLE,22,31505,278326
37297,0.2,1288,3,GAINESVILLE,22,31505,294828
37306,0.29,2192,3,GAINESVILLE,55,135700,370380
37308,0.25,1812,3,GAINESVILLE,52,135700,324463
37311,0.25,1766,3,GAINESVILLE,57,135700,445902
37340,5.09,3236,3,GAINESVILLE,38,0,558710
37376,0.25,1356,3,GAINESVILLE,51,144400,288574
37381,0.32,1324,3,GAINESVILLE,50,144400,244076
37391,0.25,1618,3,GAINESVILLE,52,144400,321365
37394,0.32,1674,3,GAINESVILLE,52,144400,225696
37396,0.24,1356,3,GAINESVILLE,52,144400,317045
37400,0.24,1764,3,GAINESVILLE,52,144400,328128
37409,0.24,1188,3,GAINESVILLE,51,144400,183274
37426,0.46,1356,3,GAINESVILLE,51,144400,278492
37427,0.46,2386,3,GAINESVILLE,51,144400,367987
37431,0.37,1677,3,GAINESVILLE,52,144400,300068
37432,0.37,1608,3,GAINESVILLE,51,144400,304060
37434,0.37,1495,3,GAINESVILLE,52,144400,328166
37442,0.44,1764,3,GAINESVILLE,52,144400,345400
37446,0.43,1626,3,GAINESVILLE,51,144400,298023
37459,0.25,1365,3,GAINESVILLE,51,144500,280589
37475,0.24,1453,3,GAINESVILLE,51,144500,202119
37477,0.24,1486,3,GAINESVILLE,51,144500,292272
37485,0.39,1423,3,GAINESVILLE,51,144500,278685
37492,0.37,1572,3,GAINESVILLE,51,144500,349942
37495,0.36,1500,3,GAINESVILLE,51,144500,299925
37500,0.37,1700,3,GAINESVILLE,50,144500,306281
37503,0.37,1688,3,GAINESVILLE,51,144500,301220
37506,0.44,1738,3,GAINESVILLE,51,144500,362840
37515,0.33,1447,3,GAINESVILLE,50,144600,252672
37516,0.33,1527,3,GAINESVILLE,50,144600,222041
37528,0.79,1586,3,GAINESVILLE,50,144600,317297
37535,0.37,1449,3,GAINESVILLE,51,144600,308321
37567,0.56,2656,3,GAINESVILLE,43,63900,434037
37569,0.42,1687,3,GAINESVILLE,46,63900,350432
37591,0.53,2469,3,GAINESVILLE,40,63900,421062
37592,0.53,2540,3,GAINESVILLE,44,63900,547976
37642,0.2,2179,4,GAINESVILLE,23,20100,480415
37646,0.2,2401,4,GAINESVILLE,22,20100,457360
37656,0.2,2532,4,GAINESVILLE,23,20100,420592
37681,0.31,1662,3,GAINESVILLE,65,218100,277054
37687,0.31,1443,3,GAINESVILLE,65,218100,219172
37688,0.31,1131,3,GAINESVILLE,65,218100,239512
37691,0.24,1480,3,GAINESVILLE,30,235600,324640
37696,0.28,1802,3,GAINESVILLE,33,235501,348447
37715,0.17,1896,4,GAINESVILLE,32,235602,411103
37724,0.18,2136,3,GAINESVILLE,32,235602,389981
37736,0.17,2247,4,GAINESVILLE,32,235700,352605
37745,0.19,1982,4,GAINESVILLE,30,235700,411801
37746,0.19,1778,4,GAINESVILLE,31,235700,291313
37748,0.35,1994,4,GAINESVILLE,31,235700,373249
37752,0.25,2009,4,GAINESVILLE,29,235700,404556
37756,0.21,2059,4,GAINESVILLE,28,235700,402143
37768,0.2,2012,3,GAINESVILLE,31,235700,435909
37772,0.17,1821,3,GAINESVILLE,32,235700,369370
37782,0.09,1466,3,GAINESVILLE,23,207400,270392
37783,0.11,1308,3,GAINESVILLE,23,207400,254565
37802,0.2,1859,3,GAINESVILLE,29,54600,339692
37807,0.25,2063,3,GAINESVILLE,32,163500,367173
37826,0.18,1538,3,GAINESVILLE,31,163601,302060
37832,0.19,1450,3,GAINESVILLE,31,163601,300380
37841,0.17,1342,3,GAINESVILLE,31,163601,303181
37863,0.25,1847,3,GAINESVILLE,29,163602,312574
37876,0.19,1611,3,GAINESVILLE,31,163602,299044
37884,0.2,1609,3,GAINESVILLE,31,163602,295569
37887,0.36,2571,3,GAINESVILLE,30,163602,459631
37901,0.34,1782,3,GAINESVILLE,30,163602,326090
37903,0.05,1740,3,GAINESVILLE,43,61200,234978
37914,0.14,1776,3,GAINESVILLE,50,61200,248586
37918,0.27,1450,3,GAINESVILLE,50,61200,298036
37920,0.44,1987,3,GAINESVILLE,50,61200,331769
37935,0.04,1613,3,GAINESVILLE,49,61200,231158
37939,0.05,1590,3,GAINESVILLE,43,61200,225982
37951,0.05,1200,3,GAINESVILLE,49,61200,174052
37952,0.04,1554,3,GAINESVILLE,49,61200,209734
37953,0.04,1554,3,GAINESVILLE,49,61200,247200
37958,0.04,1200,3,GAINESVILLE,49,61200,202439
37961,0.04,1407,3,GAINESVILLE,49,61200,219897
37968,0.14,1258,3,GAINESVILLE,49,193000,226810
37972,0.13,1448,3,GAINESVILLE,49,193000,193831
37979,0.14,1448,3,GAINESVILLE,49,193000,235502
37982,0.12,1357,3,GAINESVILLE,49,193000,211902
37989,0.12,1258,3,GAINESVILLE,49,193000,200328
38000,0.27,2232,3,GAINESVILLE,49,193000,378619
38016,0.25,1464,3,GAINESVILLE,45,193000,255880
38018,0.2,1709,3,GAINESVILLE,45,193000,283400
38020,0.22,1309,3,GAINESVILLE,45,193000,222773
38022,0.25,1464,3,GAINESVILLE,45,193000,207240
38033,0.21,897,3,GAINESVILLE,45,183600,195236
38034,0.21,1092,3,GAINESVILLE,45,183600,223352
38036,0.21,996,3,GAINESVILLE,45,183600,222080
38041,0.21,1286,3,GAINESVILLE,45,183600,259160
38049,0.2,912,3,GAINESVILLE,44,183600,242250
38051,0.2,936,3,GAINESVILLE,45,183600,227838
38057,0.34,1486,3,GAINESVILLE,44,183600,271854
38058,0.43,1898,3,GAINESVILLE,44,183600,363890
38062,0.26,1250,3,GAINESVILLE,45,183600,278650
38064,0.26,1068,3,GAINESVILLE,44,183600,169130
38077,0.22,1250,3,GAINESVILLE,44,183600,146120
38086,0.21,1234,3,GAINESVILLE,8,183600,295577
38089,0.21,1050,3,GAINESVILLE,45,183600,224780
38090,0.29,1416,3,GAINESVILLE,44,183600,148420
38092,0.21,1267,3,GAINESVILLE,45,183600,255522
38110,0.2,978,3,GAINESVILLE,45,183600,254543
38116,0.26,1298,3,GAINESVILLE,45,183600,264020
38117,0.36,1410,3,GAINESVILLE,45,183600,291594
38129,0.21,1074,3,GAINESVILLE,45,183600,241750
38135,0.2,1281,3,GAINESVILLE,45,183600,262244
38137,0.28,1377,3,GAINESVILLE,45,183600,272920
38144,0.21,1131,3,GAINESVILLE,45,183600,254420
38146,0.23,1506,3,GAINESVILLE,45,183600,280200
38147,0.23,1501,3,GAINESVILLE,45,183600,243335
38151,0.22,1070,3,GAINESVILLE,45,183600,266770
38159,0.2,1152,3,GAINESVILLE,43,183701,221649
38164,0.2,912,3,GAINESVILLE,41,183701,214800
38166,0.23,1286,3,GAINESVILLE,41,183701,251293
38167,0.23,912,3,GAINESVILLE,42,183701,220180
38171,0.23,912,3,GAINESVILLE,43,183701,182640
38187,0.2,972,3,GAINESVILLE,43,183701,191200
38188,0.19,1240,3,GAINESVILLE,43,183701,241173
38194,0.2,1112,3,GAINESVILLE,43,183701,242700
38197,0.2,1228,3,GAINESVILLE,43,183701,257822
38206,0.38,1250,3,GAINESVILLE,41,183701,237020
38214,0.2,1152,3,GAINESVILLE,43,183701,208568
38219,0.2,912,3,GAINESVILLE,43,183701,188396
38223,0.38,1020,3,GAINESVILLE,43,183701,299176
38224,0.31,1368,3,GAINESVILLE,43,183701,242140
38231,0.2,1320,3,GAINESVILLE,43,183701,278780
38234,0.21,912,3,GAINESVILLE,43,183701,237960
38238,0.21,1560,3,GAINESVILLE,43,183701,275493
38245,0.2,1050,3,GAINESVILLE,44,183701,169413
38249,0.2,1260,3,GAINESVILLE,43,183701,267000
38267,0.23,1386,3,GAINESVILLE,33,37801,287269
38269,0.2,1551,3,GAINESVILLE,33,37801,334765
38285,0.19,1578,3,GAINESVILLE,34,37801,359617
38289,0.28,2154,3,GAINESVILLE,34,37801,381605
38310,0.32,1457,3,GAINESVILLE,32,37802,305083
38323,0.22,1258,3,GAINESVILLE,32,37802,278397
38327,0.21,1263,3,GAINESVILLE,32,37802,262566
38329,0.2399,1279,3,GAINESVILLE,32,37802,282284
38336,0.19,1152,3,GAINESVILLE,44,183800,225694
38344,0.21,1260,3,GAINESVILLE,44,183800,250060
38348,0.21,1058,3,GAINESVILLE,44,183800,257782
38349,0.24,1041,3,GAINESVILLE,44,183800,227082
38351,0.25,1058,3,GAINESVILLE,44,183800,211160
38382,0.2,1181,3,GAINESVILLE,39,183900,241189
38383,0.2,1242,3,GAINESVILLE,39,183900,262125
38388,0.2,1171,3,GAINESVILLE,39,183900,238843
38392,0.2,1198,3,GAINESVILLE,38,183900,248317
38396,0.2,972,3,GAINESVILLE,41,183900,225707
38399,0.2,1223,3,GAINESVILLE,40,183900,241869
38402,0.2,1196,3,GAINESVILLE,39,183900,272641
