prop_id,legal_acreage,city_id,yr_blt,living_area,land_type_cd,condition_cd,sl_price,prop_val_yr,CENTROID_X,CENTROID_Y
3044,1.15,1019,1900,1930,SF,3,165000,2024,-82.59340848,29.82703872
3055,0.36,1019,1955,1248,SF,3,291300,2022,-82.59319635,29.82568176
3074,0.15,1019,1989,1080,SF,3,72900,2022,-82.59411453,29.82774892
3100,0.23,1019,1900,1156,LT,3,224500,2023,-82.59591466,29.82705173
3212,0.22,1019,1955,1176,UN,3,126900,2022,-82.59788597,29.8303388
3234,0.34,1019,1954,1737,UN,3,269200,2022,-82.59859818,29.8313059
3246,0.23,1019,1929,1926,UN,2,144900,2023,-82.60011467,29.82975299
3280,0.34,1019,1927,1456,UN,4,286300,2022,-82.59984063,29.83135614
3283,0.18,1019,1937,1044,UN,3,100,2022,-82.60002537,29.83082317
3283,0.18,1019,1937,1044,UN,3,198800,2022,-82.60002537,29.83082317
3310,0.68,1019,1961,2258,UN,3,263600,2022,-82.60032344,29.83363545
3316,0.34,1019,1950,2370,UN,3,360400,2023,-82.60085434,29.83180198
3316,0.34,1019,1950,2370,UN,3,100,2023,-82.60085434,29.83180198
3347,0.47,1019,2020,1229,UN,NULL,265000,2024,-82.60289744,29.83056958
3387,0.46,1019,1922,2513,UN,3,368700,2024,-82.6025391,29.8342018
3389,0.28,1019,1961,2066,UN,3,297000,2024,-82.60226567,29.83467441
3390,0.43,1019,1951,1416,UN,3,207100,2023,-82.60280898,29.83373532
3397,0.21,1019,1929,2408,UN,4,467100,2023,-82.60308056,29.83216685
3398,0.14,1019,1948,1136,UN,3,226600,2024,-82.60329175,29.83225973
3408,0.34,1019,1942,1371,UN,3,83200,2024,-82.60381503,29.83199637
3465,0.23,1019,1978,1084,UN,3,192200,2022,-82.60452632,29.8352125
3547,1.15,1019,1976,2112,UN,3,260300,2023,-82.60464586,29.83627396
3553,0.34,1019,1935,945,UN,3,118500,2022,-82.60489875,29.83580154
3557,0.34,1019,1997,1058,UN,3,211200,2024,-82.60483157,29.83466319
3701,0.09,1019,2021,1200,UN,NULL,230300,2024,-82.61279195,29.83532256
3705,0.11,1019,2022,1200,UN,3,231300,2023,-82.61266515,29.83526691
3735,0.17,1019,2022,1300,LT,NULL,253300,2023,-82.60927527,29.83378401
3782,0.18,1019,1929,839,UN,3,145100,2023,-82.59938978,29.82514909
3795,0.3,1019,1929,1284,UN,3,196400,2022,-82.59773064,29.82395479
3821,0.23,1019,1929,1655,SF,3,286900,2022,-82.59850607,29.82349553
3824,0.23,1019,1900,1100,SF,3,221500,2024,-82.59864733,29.82324972
3826,0.17,1019,1940,1580,SF,3,178500,2024,-82.59934989,29.82355953
3846,0.23,1019,1920,1328,SF,3,256300,2023,-82.59952701,29.82234359
3850,0.23,1019,1977,1232,LT,3,222900,2023,-82.6002653,29.82266921
3873,0.45,1019,2008,1679,LT,3,319500,2022,-82.59808187,29.8202094
3938,0.31,1019,2003,1600,LT,3,275600,2022,-82.60241406,29.81998934
3947,0.23,1019,2007,1524,LT,3,290700,2024,-82.60240273,29.82157745
4032,0.34,1019,1967,1352,UN,3,198300,2022,-82.59397554,29.82302062
4050,0.74,1019,2005,1860,LT,4,385000,2024,-82.595443,29.82151182
4054,1.64,1019,2004,1503,LT,4,299000,2023,-82.59354209,29.82052396
4058,1.02,1019,2006,1958,LT,4,442000,2024,-82.59605359,29.82051159
4104,0.23,1019,1970,1012,UN,3,159300,2022,-82.59614632,29.81904908
4179,0.47,1019,2003,1431,LT,3,270300,2023,-82.59277942,29.81666487
4184,0.43,1019,2006,1347,LT,3,274700,2022,-82.59382106,29.81787457
4199,0.37,1019,2000,1485,LT,3,233400,2022,-82.59513453,29.81730458
4203,0.37,1019,2000,1485,LT,3,272300,2023,-82.59554982,29.81730207
4204,0.37,1019,1999,1422,LT,3,281600,2023,-82.59555015,29.81697208
4211,0.28,1019,2001,1477,LT,3,278400,2023,-82.59638527,29.81755124
4244,0.2984,1019,1964,1825,LT,3,250500,2022,-82.59941317,29.81663279
4260,0.53,1019,1959,1471,LT,3,184900,2022,-82.60176227,29.81521181
4268,0.38,1019,1963,925,LT,3,205000,2022,-82.60072199,29.81612857
4302,0.25,1019,1999,1292,LT,3,225000,2022,-82.59764847,29.8155433
4309,0.36,1019,1998,1327,LT,3,166600,2023,-82.59711291,29.81494057
4318,0.41,1019,1999,1478,LT,3,312600,2023,-82.59555928,29.8157751
4321,0.25,1019,1999,1192,LT,3,253300,2023,-82.59502998,29.81586149
4339,0.25,1019,2002,1487,LT,3,288500,2023,-82.59392593,29.81617063
4347,0.25,1019,2003,1413,LT,3,275400,2024,-82.59313829,29.81557006
4356,0.29,1019,2006,1328,LT,3,242900,2022,-82.59717166,29.81814383
4368,0.25,1019,2009,1403,LT,3,214800,2022,-82.59469842,29.81818728
4451,0.33,1019,1965,1008,UN,3,175100,2024,-82.60949216,29.82103751
4467,0.33,1019,1970,1300,UN,3,255100,2022,-82.61117049,29.82132015
4483,0.24,1019,1980,1212,UN,3,223000,2022,-82.60993402,29.81840904
4490,0.31,1019,1982,1710,UN,3,280000,2023,-82.61104843,29.81961161
4495,0.35,1019,1980,1260,UN,3,195500,2022,-82.61044774,29.81954348
4506,12.85,0,1995,2118,AC,4,468100,2022,-82.63638166,29.82461221
