tax_area_description,Market_Cluster_ID,era_built,imprv_det_quality_cd,count,mean,std,min,_25,_50,_75,max,PRD,COD,PRB
ALACHUA,Alachua_Main,1920s,3.0,3,0.9348500260689399,0.06048481038858326,0.8805935481508913,0.902242612227047,0.9238916763032028,0.961978265027964,1.0000648537527252,0.9930625633267508,4.3104369868654695,"{'PRB': 0.21654468985343447, 'Sig': 0.3457104405502613}"
ALACHUA,Alachua_Main,1920s,4.0,1,0.7247101119066462,,0.7247101119066462,0.7247101119066462,0.7247101119066462,0.7247101119066462,0.7247101119066462,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}"
ALACHUA,Alachua_Main,1930s,2.0,1,1.5242527584781085,,1.5242527584781085,1.5242527584781085,1.5242527584781085,1.5242527584781085,1.5242527584781085,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}"
ALACHUA,Alachua_Main,1930s,3.0,3,0.9753911591144039,0.15750155454560263,0.8667924368728995,0.8850721073565956,0.9033517778402916,1.029690520235156,1.1560292626300204,1.0459392014186866,10.672727681222192,"{'PRB': -0.19295877535872574, 'Sig': 0.37825701166022}"
ALACHUA,Alachua_Main,1940s,3.0,1,0.7752394533096182,,0.7752394533096182,0.7752394533096182,0.7752394533096182,0.7752394533096182,0.7752394533096182,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}"
ALACHUA,Alachua_Main,1950s,2.0,2,1.0286824653741544,0.19120419108748882,0.8934806852649027,0.9610815753195285,1.0286824653741544,1.0962833554287803,1.1638842454834062,0.9920059814299603,13.143198670162606,"{'PRB': 1.483965094333545, 'Sig': nan}"
ALACHUA,Alachua_Main,1950s,3.0,6,0.8734130578207182,0.08170225070185913,0.7396650263345833,0.8341580651686935,0.8903366401461243,0.937846375092922,0.951025213379406,1.0164196319084424,6.953790420065237,"{'PRB': -0.21329027521001231, 'Sig': 0.04381591897132304}"
ALACHUA,Alachua_Main,1960s,3.0,8,0.9183194087593503,0.26190369956986137,0.5920537468925555,0.6976021798704832,0.8975709269134265,1.133243477359553,1.2571266597589736,1.058404998409227,23.23810149610643,"{'PRB': -0.4254188657893112, 'Sig': 0.08871149098183477}"
ALACHUA,Alachua_Main,1970s,2.0,1,1.1625084230651812,,1.1625084230651812,1.1625084230651812,1.1625084230651812,1.1625084230651812,1.1625084230651812,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}"
ALACHUA,Alachua_Main,1970s,3.0,26,0.8640609603529923,0.10371258295909357,0.7036604542064145,0.7872054153755648,0.8387232111992482,0.9224687043369451,1.0545429410426177,1.0104477602116932,9.940447300689364,"{'PRB': -0.12892264218283578, 'Sig': 0.06857095926808433}"
ALACHUA,Alachua_Main,1980s,3.0,26,0.856147528925069,0.12124062923778453,0.6388826746612104,0.800721445218729,0.8392660132995808,0.9221404579337673,1.121847899113442,1.0494700697909238,11.290902798478308,"{'PRB': -0.18425141283261814, 'Sig': 7.891564731843189e-06}"
ALACHUA,Alachua_Main,1980s,4.0,5,0.812074211241946,0.1522216797368635,0.579664059176794,0.7591354151280233,0.8668311062243272,0.8713162497401347,0.9834242259404514,1.0486840044292665,11.904072146719859,"{'PRB': -0.2513325661463506, 'Sig': 0.10433920007513889}"
ALACHUA,Alachua_Main,1990s,3.0,39,0.823923619814023,0.07655890144098097,0.654761827206287,0.773693513280522,0.8228740353576315,0.8814772484927699,0.9728324000974464,1.0173869641721192,7.341659486643036,"{'PRB': -0.12273977327503877, 'Sig': 7.796625198020813e-05}"
ALACHUA,Alachua_Main,1990s,4.0,11,0.821978786815749,0.13466482346714104,0.5568700178341981,0.743415583360123,0.8164538867523993,0.9257366500254203,1.0024440097860592,1.0457424037078529,13.050910660520778,"{'PRB': -0.24724039336261439, 'Sig': 0.013788716394733749}"
ALACHUA,Alachua_Main,1990s,5.0,1,0.8486358706522201,,0.8486358706522201,0.8486358706522201,0.8486358706522201,0.8486358706522201,0.8486358706522201,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}"
ALACHUA,Alachua_Main,2000s,3.0,44,0.8482236648080341,0.09780426738801233,0.6788351692097905,0.7710799021822148,0.8566474323418979,0.9162233982087846,1.1141161596352165,1.0167809306057354,9.221611877210089,"{'PRB': -0.14335586723878874, 'Sig': 0.0005020534869267325}"
ALACHUA,Alachua_Main,2000s,4.0,10,0.8302215135084307,0.09483637658407922,0.7037080199755904,0.7463129979022756,0.8443165825840483,0.8899013964630571,0.9796972698932348,1.0139694071217118,9.484811904448108,"{'PRB': -0.16450714313537868, 'Sig': 0.11858180294253051}"
ALACHUA,Alachua_Main,2010s,3.0,46,0.8793843954325951,0.10412801000109172,0.707075749739854,0.7989586450192596,0.8670562946939357,0.955423782047508,1.1181000002427417,1.0185898925715509,9.637066399055058,"{'PRB': -0.21182400164597495, 'Sig': 6.879609747410501e-07}"
ALACHUA,Alachua_Main,2010s,4.0,4,0.9097309213706429,0.12623151139025657,0.7620547229049358,0.8615277919756112,0.9033136935152122,0.9515168229102439,1.0702415755472117,1.0312081264413608,9.00692856416736,"{'PRB': -0.19813069836772063, 'Sig': 0.246617175049254}"
ALACHUA,Alachua_Main,2010s,5.0,1,0.655681010265606,,0.655681010265606,0.655681010265606,0.655681010265606,0.655681010265606,0.655681010265606,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}"
