prop_id,legal_acreage,living_area,imprv_det_quality_cd,tax_area_description,sl_price,Total_MISC_Val,effective_year_built,imprv_type_cd,base_area,actual_year_built,sum_us_area,total_porch_area,total_garage_area,effective_age,Assessment_Val,landiness,CENTROID_X,CENTROID_Y,geo_id,Market_Cluster_ID,in_subdivision,is_townhouse,is_tiny,percent_good,ALACHUA,ARCHER,GAINESVILLE,HAWTHORNE,HIGH_SPRINGS,LACROSSE,MICANOPY,NEWBERRY,ST_JOHNS,SUWANNEE,WALDO,Alachua_Main,Archer,Buck_Bay,Duck_Pond,EastMidtownEastA,Gainesvilleish_Region,Golfview,HSBUI,HaileLike,Hawthorne,HighSpringsAGNV,HighSprings_A,HighSprings_B,HighSprings_F,High_Springs_Main,Lugano,Magnolia_Heights,MidtownEast_A,MidtownEast_B,MidtownEast_C,MidtownEast_D,Newmans_Lake,Real_Tioga,Springtree_A,Springtree_B,Thornebrooke,Tioga_A,Tioga_B,Turkey_Creek,WaldoRural_A,West_Outer_Gainesville,West_of_Waldo_rd,WildsPlantation,swNewberry_A,swNewberry_B
1473,6.48,1416,1.0,HIGH SPRINGS,495500,6240,2010,100,1416.0,1986,0.0,0.0,288.0,15,414935.0,8.481543019970237,-82.624925,29.846917,00155-010-012,High_Springs_Main,True,False,False,0.85,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1523,2.25,2596,1.0,SUWANNEE,674100,464,2008,100,2596.0,2007,0.0,525.0,2004.0,17,572521.0,2.944980215267443,-82.631114,29.840853,00165-004-000,HSBUI,False,False,False,0.83,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1526,1.35,1823,1.0,SUWANNEE,435600,7910,2015,100,1823.0,2002,0.0,124.0,441.0,10,362349.99999999994,1.766988129160466,-82.632146,29.840313,00165-007-000,HSBUI,False,False,False,0.9,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1555,12.2,2553,1.0,SUWANNEE,669900,46579,2006,100,2553.0,1997,0.0,624.0,639.0,19,522835.99999999994,15.968337167227915,-82.634435,29.830767,00165-020-020,HSBUI,True,False,False,0.81,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1610,1.19,1436,1.0,HIGH SPRINGS,292100,2916,2012,100,1436.0,2001,0.0,64.0,300.0,13,245369.0,1.5575673138525588,-82.613894,29.841391,00181-100-014,High_Springs_Main,True,False,False,0.87,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1613,1.0,2447,1.0,HIGH SPRINGS,384500,12919,2000,100,7341.0,2000,0.0,1398.0,0.0,25,313906.0,1.3088800956744193,-82.613159,29.840261,00181-100-017,High_Springs_Main,True,False,False,0.75,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1624,1.0,1903,1.0,HIGH SPRINGS,357700,20905,2005,100,1903.0,1998,0.0,512.0,420.0,20,283140.0,1.3088800956744193,-82.614138,29.84265,00181-100-028,High_Springs_Main,True,False,False,0.8,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1628,1.0,2004,1.0,HIGH SPRINGS,443500,15700,2010,100,4008.0,2004,0.0,1392.0,1248.0,15,361275.0,1.3088800956744193,-82.615078,29.843042,00181-100-032,High_Springs_Main,True,False,False,0.85,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1641,1.0,2046,1.0,HIGH SPRINGS,340300,10996,2002,100,1727.5,2002,0.0,510.5,480.0,23,278259.0,1.3088800956744193,-82.616605,29.839257,00181-100-045,High_Springs_Main,True,False,False,0.77,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1714,0.24,1360,1.0,HIGH SPRINGS,252200,2417,1994,100,1360.0,1986,0.0,88.0,546.0,31,211953.0,0.31413122296186063,-82.604115,29.83783,00206-010-010,High_Springs_Main,True,False,False,0.69,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1717,0.36,1856,1.0,HIGH SPRINGS,235800,640,2002,100,1856.0,2002,0.0,301.0,400.0,23,199789.99999999997,0.47119683444279087,-82.603691,29.837177,00206-010-013,High_Springs_Main,True,False,False,0.77,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
