tax_area_description,Market_Cluster_ID,era_built,imprv_det_quality_cd,count,mean,std,min,25%,50%,75%,max,median,PRD,COD,PRB,weightedMean,meanRatio,medianRatio
ALACHUA,Archer,1990s,4.0,,,,,,,,,,,,,,,
ALACHUA,Archer,1990s,5.0,,,,,,,,,,,,,,,
ALACHUA,Archer,1990s,6.0,,,,,,,,,,,,,,,
ALACHUA,Archer,2000s,1.0,,,,,,,,,,,,,,,
ALACHUA,Archer,2000s,2.0,,,,,,,,,,,,,,,
ALACHUA,Archer,2000s,3.0,,,,,,,,,,,,,,,
ALACHUA,Archer,2000s,4.0,,,,,,,,,,,,,,,
ALACHUA,Archer,2000s,5.0,,,,,,,,,,,,,,,
ALACHUA,Archer,2000s,6.0,,,,,,,,,,,,,,,
ALACHUA,Archer,2010s,1.0,,,,,,,,,,,,,,,
ALACHUA,Archer,2010s,2.0,,,,,,,,,,,,,,,
ALACHUA,Archer,2010s,3.0,,,,,,,,,,,,,,,
ALACHUA,Archer,2010s,4.0,,,,,,,,,,,,,,,
ALACHUA,Archer,2010s,5.0,,,,,,,,,,,,,,,
ALACHUA,Archer,2010s,6.0,,,,,,,,,,,,,,,
ALACHUA,Archer,2020s,1.0,,,,,,,,,,,,,,,
ALACHUA,Archer,2020s,2.0,,,,,,,,,,,,,,,
ALACHUA,Archer,2020s,3.0,,,,,,,,,,,,,,,
ALACHUA,Archer,2020s,4.0,,,,,,,,,,,,,,,
ALACHUA,Archer,2020s,5.0,,,,,,,,,,,,,,,
ALACHUA,Archer,2020s,6.0,,,,,,,,,,,,,,,
ALACHUA,Buck_Bay,1900s,1.0,,,,,,,,,,,,,,,
ALACHUA,Buck_Bay,1900s,2.0,,,,,,,,,,,,,,,
ALACHUA,Buck_Bay,1900s,3.0,,,,,,,,,,,,,,,
ALACHUA,Buck_Bay,1900s,4.0,,,,,,,,,,,,,,,
ALACHUA,Buck_Bay,1900s,5.0,,,,,,,,,,,,,,,
ALACHUA,Buck_Bay,1900s,6.0,,,,,,,,,,,,,,,
ALACHUA,Buck_Bay,1910s,1.0,,,,,,,,,,,,,,,
ALACHUA,Buck_Bay,1910s,2.0,,,,,,,,,,,,,,,
ALACHUA,Buck_Bay,1910s,3.0,,,,,,,,,,,,,,,
ALACHUA,Buck_Bay,1910s,4.0,,,,,,,,,,,,,,,
