prop_id,legal_acreage,living_area,imprv_det_quality_cd,tax_area_description,sl_price,effective_year_built,imprv_type_cd,base_area,actual_year_built,prop_val_yr,sup_num,sum_us_area,total_porch_area,total_garage_area,effective_age,actual_age,has_canal,has_lake,number_of_baths,MISC_Val,Assessment_Val,landiness,CENTROID_X,CENTROID_Y,geo_id,in_subdivision,percent_good,Market_Cluster_ID,ALACHUA,ARCHER,GAINESVILLE,HAWTHORNE,HIGH_SPRINGS,LACROSSE,MICANOPY,NEWBERRY,ST_JOHNS,SUWANNEE,WALDO,A,B,C,D,E,F,predicted_log_Assessment_Val,predicted_Assessment_Val,predicted_Market_Val,Market_Residual,Assessment_Residual,AbsV_Market_Residual,AbsV_Assessment_Residual,sale_ratio
3500,0.68,1372,3.0,HIGH SPRINGS,218000,1995,100,1300.0,1930,2022,0,0.0,339.0,0.0,26,91,0,0,2.5,606,184693.99999999997,0.8228711424496945,-82.607954,29.831447,00930-000-000,True,0.74,A,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,12.318442698187482,223785.36917896144,224391.36917896144,6391.369178961439,39091.36917896147,6391.369178961439,39091.36917896147,1.0293182072429423
20300,0.25,2443,4.0,SUWANNEE,618300,2017,100,2442.5,2017,2022,0,0.0,340.5,483.0,4,4,0,0,2.5,15001,510554.00000000006,0.30252615531238763,-82.459211,29.6711,04321-053-054,True,0.96,A,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,13.072449181159493,475655.5235295351,490656.5235295351,-127643.4764704649,-34898.47647046496,127643.4764704649,34898.47647046496,0.7935573726824117
20357,0.23,1940,4.0,SUWANNEE,401900,2004,100,1939.5,1994,2022,0,0.0,325.5,400.0,17,27,0,0,2.0,922,340693.0,0.27832406288739664,-82.463183,29.66134,04321-100-027,True,0.83,A,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,12.774656511718412,353152.9441819191,354074.9441819191,-47825.0558180809,12459.944181919098,47825.0558180809,12459.944181919098,0.8810025981137574
20379,0.23,1652,3.0,SUWANNEE,326100,2000,100,1652.0,2000,2022,0,0.0,272.0,462.0,21,21,0,0,2.0,1426,275759.0,0.27832406288739664,-82.470108,29.66211,04321-101-017,True,0.79,A,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,12.486755476011222,264806.71884669637,266232.71884669637,-59867.28115330363,-10952.28115330363,59867.28115330363,10952.28115330363,0.8164143478892867
20672,0.34,2035,4.0,SUWANNEE,487500,2008,100,2035.0,1998,2022,0,0.0,278.0,534.0,13,23,0,0,2.0,6754,407620.99999999994,0.41143557122484725,-82.464407,29.668476,04321-500-012,True,0.87,A,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,12.868083973858907,387737.5506408601,394491.5506408601,-93008.4493591399,-19883.449359139835,93008.4493591399,19883.449359139835,0.8092134372120208
20723,0.07,1641,3.0,SUWANNEE,268000,2003,100,1037.0,2003,2022,0,603.5,313.5,400.0,18,18,0,0,2.0,2239,225561.00000000003,0.08470732348746855,-82.466384,29.669876,04321-600-023,True,0.8200000000000001,A,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,12.443846070842893,253684.35359982422,255923.35359982422,-12076.646400175785,28123.353599824186,12076.646400175785,28123.353599824186,0.9549378865665082
20788,2.0,4415,5.0,SUWANNEE,1020000,1998,100,4414.5,1998,2022,0,0.0,362.0,697.0,23,23,0,0,3.5,17617,849383.0,2.420209242499101,-82.465842,29.652735,04322-010-021,True,0.77,A,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,13.569724158952337,782089.2621243296,799706.2621243296,-220293.73787567043,-67293.73787567043,220293.73787567043,67293.73787567043,0.7840257471807153
21001,1.0,3071,4.0,SUWANNEE,675700,2000,100,3071.0,1994,2022,0,0.0,354.0,450.0,21,27,0,0,3.0,15874,558471.0,1.2101046212495505,-82.484854,29.65371,04333-005-040,True,0.79,A,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,13.169963296002361,524375.4928072031,540249.4928072031,-135450.5071927969,-34095.50719279691,135450.5071927969,34095.50719279691,0.7995404658978883
21055,0.29,2784,4.0,SUWANNEE,696200,2000,100,1932.0,2000,2022,0,852.0,272.0,484.0,21,21,0,0,3.0,1762,590008.0,0.3509303401623697,-82.483227,29.653367,04333-010-020,True,0.79,A,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,13.038050211221217,459571.68319951545,461333.68319951545,-234866.31680048455,-130436.31680048455,234866.31680048455,130436.31680048455,0.6626453363968909
21089,0.18,1800,4.0,SUWANNEE,539200,2009,100,1222.0,1999,2022,0,578.0,280.0,528.0,12,22,0,0,3.5,1360,456960.0,0.2178188318249191,-82.481955,29.651758,04333-020-046,True,0.88,A,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,12.842253035756093,377850.1758163765,379210.1758163765,-159989.82418362348,-79109.82418362348,159989.82418362348,79109.82418362348,0.7032829670185025
