prop_id,legal_acreage,yr_blt,living_area,land_type_cd,condition_cd,sl_price,tax_area_description,,
3389,0.28,1961,2066,UN,3,297000,HIGH SPRINGS,,
3390,0.43,1951,1416,UN,3,207100,HIGH SPRINGS,,
3397,0.21,1929,2408,UN,4,467100,HIGH SPRINGS,,
3398,0.14,1948,1136,UN,3,226600,HIGH SPRINGS,,
3408,0.34,1942,1371,UN,3,83200,HIGH SPRINGS,,
3465,0.23,1978,1084,UN,3,192200,HIGH SPRINGS,,
3547,1.15,1976,2112,UN,3,260300,HIGH SPRINGS,,
3553,0.34,1935,945,UN,3,118500,HIGH SPRINGS,,
3557,0.34,1997,1058,UN,3,211200,HIGH SPRINGS,,
3701,0.09,2021,1200,UN,NULL,230300,HIGH SPRINGS,,
3705,0.11,2022,1200,UN,3,231300,HIGH SPRINGS,,
3735,0.17,2022,1300,LT,NULL,253300,HIGH SPRINGS,,
3782,0.18,1929,839,UN,3,145100,HIGH SPRINGS,,
3795,0.3,1929,1284,UN,3,196400,HIGH SPRINGS,,
3821,0.23,1929,1655,SF,3,286900,HIGH SPRINGS,,
3824,0.23,1900,1100,SF,3,221500,HIGH SPRINGS,,
3826,0.17,1940,1580,SF,3,178500,HIGH SPRINGS,,
3846,0.23,1920,1328,SF,3,256300,HIGH SPRINGS,,
3850,0.23,1977,1232,LT,3,222900,HIGH SPRINGS,,
3873,0.45,2008,1679,LT,3,319500,HIGH SPRINGS,,
3938,0.31,2003,1600,LT,3,275600,HIGH SPRINGS,,
3947,0.23,2007,1524,LT,3,290700,HIGH SPRINGS,,
4032,0.34,1967,1352,UN,3,198300,HIGH SPRINGS,,
4050,0.74,2005,1860,LT,4,385000,HIGH SPRINGS,,
4054,1.64,2004,1503,LT,4,299000,HIGH SPRINGS,,
4058,1.02,2006,1958,LT,4,442000,HIGH SPRINGS,,
4104,0.23,1970,1012,UN,3,159300,HIGH SPRINGS,,
4179,0.47,2003,1431,LT,3,270300,HIGH SPRINGS,,
4184,0.43,2006,1347,LT,3,274700,HIGH SPRINGS,,
4199,0.37,2000,1485,LT,3,233400,HIGH SPRINGS,,
4203,0.37,2000,1485,LT,3,272300,HIGH SPRINGS,,
4204,0.37,1999,1422,LT,3,281600,HIGH SPRINGS,,
