prop_id,legal_acreage,living_area,land_type_cd,condition_cd,sl_price,tax_area_description,actual_age,abs_subdv_cd
107531,0.194,2127,LT,5,593000,SUWANNEE,7,255204
500560,0.1,1354,LT,3,249100,NEWBERRY,1,2571.02
504012,0.1147,1993,LT,3,436100,SUWANNEE,1,2421.04
1714,0.24,1360,UN,3,252200,HIGH SPRINGS,38,180900
2043,0.2,1394,LT,3,276900,HIGH SPRINGS,7,247500
2395,0.23,1507,LT,3,270300,HIGH SPRINGS,17,94002
2985,0.41,1798,LT,3,312500,HIGH SPRINGS,17,182000
3457,0.57,1648,UN,3,363700,HIGH SPRINGS,21,64600
3500,0.68,1372,SF,3,218000,HIGH SPRINGS,92,64600
3503,0.34,1656,UN,2,92000,HIGH SPRINGS,93,64600
4104,0.23,1012,UN,3,159300,HIGH SPRINGS,52,152600
4728,1.85,2103,LT,3,474700,HIGH SPRINGS,18,232400
5329,1.3,2184,LT,3,456000,HIGH SPRINGS,19,236000
5398,0.37,2108,LT,3,446200,HIGH SPRINGS,10,245400
6042,3.1,1460,AC,3,392000,HIGH SPRINGS,25,59000
6666,5,1593,AC,3,315000,SUWANNEE,51,0
7788,0.17,1546,LT,3,308000,NEWBERRY,9,241902
8830,0.22,1191,UN,3,215700,NEWBERRY,18,36800
9706,0.2,1501,LT,3,304700,NEWBERRY,16,247100
9829,0.31,1368,LT,3,250500,NEWBERRY,37,165300
10722,10.67,1026,AC,5,523100,NEWBERRY,40,0
11847,5,6483,AC,4,1106700,SUWANNEE,14,0
12259,1.05,2209,LT,4,511800,ALACHUA,20,123802
12717,0.18,1922,LT,3,348300,ALACHUA,17,238900
12803,0.17,1868,LT,2,283200,ALACHUA,14,248200
13739,0.24,1218,LT,3,245800,ALACHUA,8,245700
14426,0.11,800,UN,3,42900,ALACHUA,89,76600
14555,0.23,1532,LT,3,294500,ALACHUA,17,232201
14781,0.46,1350,LT,3,210700,ALACHUA,104,29400
14801,0.23,1216,LT,3,230300,ALACHUA,65,29400
15013,2.46,1963,AC,4,427400,ALACHUA,32,39401
17277,5.3,2480,AC,4,755000,SUWANNEE,49,130700
17672,5.1,1735,AC,3,433500,SUWANNEE,25,0
18010,2.54,3510,AC,4,1089000,SUWANNEE,12,0
18754,0.26,2220,LT,4,396000,SUWANNEE,16,242200
18903,0.16,1605,LT,3,304100,SUWANNEE,16,239801
18966,0.2,1931,LT,4,401700,SUWANNEE,12,239802
19816,0.05,1184,LT,3,259900,SUWANNEE,7,245304
21127,0.3683,1741,LT,5,636900,SUWANNEE,20,199302
21167,0.19,2446,LT,4,617000,SUWANNEE,18,199304
21356,0.28,2184,LT,4,623700,SUWANNEE,9,199312
21797,0.16,2463,LT,4,483800,SUWANNEE,16,242100
22667,1.01,4425,AC,6,1122000,SUWANNEE,15,241100
23251,6.12,2458,AC,3,460600,SUWANNEE,40,0
27871,5.37,2701,AC,4,589400,SUWANNEE,28,0
28581,0.12,1371,LT,3,271700,ALACHUA,12,245200
28658,0.18,1681,LT,4,323300,ALACHUA,25,201400
28701,0.17,1785,LT,3,320000,ALACHUA,20,201500
28970,0.06,1258,UN,3,196900,ALACHUA,42,200300
29577,0.5,1568,UN,3,292500,ALACHUA,24,253700
29640,0.36,2542,UN,4,387100,ALACHUA,45,50500
29703,0.35,1493,UN,3,281400,ALACHUA,25,50500
30304,0.1,1224,LT,3,198100,GAINESVILLE,41,200500
30739,0.43,2383,LT,4,489200,GAINESVILLE,29,18000
30971,0.06,1348,LT,3,226600,GAINESVILLE,20,230000
31037,0.06,1207,LT,3,227700,GAINESVILLE,18,230003
31349,0.13,2145,LT,3,419400,GAINESVILLE,8,245800
32242,0.26,1046,UN,3,183500,GAINESVILLE,44,142700
32328,0.25,1118,UN,3,266700,GAINESVILLE,48,142200
32866,0.01,629,UN,3,50100,GAINESVILLE,39,140400
33221,0.14,1634,LT,3,278500,GAINESVILLE,26,127500
33550,0.05,1192,UN,3,230000,GAINESVILLE,36,128600
34071,0.67,1561,UN,3,342200,SUWANNEE,45,47300
34366,0.39,2470,LT,4,436100,GAINESVILLE,32,8000
34804,1.25,3384,LT,5,740700,SUWANNEE,23,172200
35093,0.52,2253,LT,4,361900,ST. JOHN'S,44,167900
35448,0.22,1364,UN,3,233000,ST. JOHN'S,30,187605
35614,0.45,3608,UN,4,520200,ST. JOHN'S,45,54400
36942,0.38,1484,LT,3,263400,GAINESVILLE,51,144100
37025,0.17,1819,LT,3,288400,GAINESVILLE,27,31501
37031,0.17,1245,LT,3,285800,GAINESVILLE,26,31501
37088,0.17,1437,LT,3,310500,GAINESVILLE,25,31502
37194,0.17,1839,LT,3,370300,GAINESVILLE,24,31503
37400,0.24,1764,LT,3,330000,GAINESVILLE,52,144400
38064,0.26,1068,UN,3,170000,GAINESVILLE,44,183600
38402,0.2,1196,UN,3,280000,GAINESVILLE,39,183900
