living_area,Count,MAE,MSE,R2,PRD,COD,PRB,Weighted Mean,Average Deviation
408,1,19325.30721937862,373467499.1233674,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",0.7861897269157562,0.0
423,1,6993.130762324756,48903877.85897282,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",0.9058558924647973,0.0
457,1,20583.615882103317,423685242.7819759,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",0.7236119713229912,0.0
480,1,142821.13611830544,20397876922.12353,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",2.354218695026354,0.0
500,1,7437.745952672718,55320064.856499396,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",1.0834489868918156,0.0
510,1,82673.39371941714,6834890029.085762,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",1.8170792771381659,0.0
520,5,15612.753767064554,312866004.7272503,-0.5940413001310578,1.0078126081324326,16.132504485358954,"{'PRB': -0.5373341840729573, 'Sig': 0.5552235461207412}",0.9032220990959009,0.1412026194060314
525,1,33321.292504030556,1110308534.139163,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",1.3943875281275921,0.0
528,1,28792.21376592524,828991573.5427349,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",0.6285365196788714,0.0
552,1,9436.611528006935,89049637.13051338,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",1.0671628750781905,0.0
558,1,13417.711884455653,180034992.2142625,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",0.7754422181174987,0.0
572,2,21129.559911514814,477377391.4524933,-1.792191733074214,0.9918813995877096,10.181374290610028,"{'PRB': 0.875936829994812, 'Sig': nan}",0.7739647795825548,0.07816050333583296
576,2,13047.368023408082,275812383.39116526,-2.5294678573222966,1.0011005801540402,8.454931188825185,"{'PRB': -4.50715804973396, 'Sig': nan}",1.1182119859765163,0.09464810726898032
600,4,44541.1186411947,3812226035.5100555,0.1100198106714908,0.9773186498440926,47.6244724952905,"{'PRB': 0.9534285955841151, 'Sig': 0.6567085661355591}",1.1428282642435146,0.41765671065390186
616,4,159966.29651200605,66664666869.46478,-0.07172609189114243,0.9007282384405857,210.9061457651071,"{'PRB': 24.12988183456533, 'Sig': 0.06620377151125553}",1.9354275100860743,1.2188670395535366
621,2,34482.814123134216,1599997908.9437206,0.26767335987800567,0.9799335039095183,8.892314303575358,"{'PRB': 0.26285697394188207, 'Sig': nan}",1.2999857184355457,0.11327915279585599
