prop_id,legal_acreage,living_area,imprv_det_quality_cd,tax_area_description,sl_price,effective_year_built,imprv_type_cd,base_area,actual_year_built,prop_val_yr,sup_num,sum_us_area,total_porch_area,total_garage_area,effective_age,actual_age,has_canal,has_lake,number_of_baths,MISC_Val,Assessment_Val,landiness,CENTROID_X,CENTROID_Y,geo_id,Market_Cluster_ID,in_subdivision,percent_good,ALACHUA,ARCHER,GAINESVILLE,HAWTHORNE,HIGH_SPRINGS,LACROSSE,MICANOPY,NEWBERRY,ST_JOHNS,SUWANNEE,WALDO,Alachua_Main,Archer,Buck_Bay,CarolEstates,Duck_Pond,EastGNV,EastMidtownEastA,Gainesvilleish_Region,Golfview,HSBUI,HaileLike,Hawthorne,HighSpringsAGNV,HighSprings_A,HighSprings_B,HighSprings_E,HighSprings_F,High_Springs_Main,Ironwood,Jonesville,Lincoln_Estates,Lugano,MidtownEast_A,MidtownEast_B,MidtownEast_C,MidtownEast_D,Newmans_Lake,QuailCreekish,Real_Tioga,Springtree_A,Springtree_B,SummerCreek,TC_Forest,Tioga_A,Tioga_B,Turkey_Creek,WaldoRural_A,WaldoRural_C,Westchesterish,WildsPlantation,swNewberry_A,swNewberry_B,predicted_log_Assessment_Val,predicted_Assessment_Val,predicted_Market_Val,Market_Residual,Assessment_Residual,AbsV_Market_Residual,AbsV_Assessment_Residual,sale_ratio
2240,5.0,1946,3.0,HIGH SPRINGS,388900,2005,100,1660.0,1996,2023,0,0.0,632.0,484.0,17,26,0,0,2.0,2018,328547.0,5.797969941647806,-82.570239,29.832506,00248-002-000,High_Springs_Main,True,0.83,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.793620185549631,359913.9253339493,361931.9253339493,-26968.07466605073,31366.92533394927,26968.07466605073,31366.92533394927,0.930655503558625
2259,2.64,1456,4.0,SUWANNEE,343400,2015,100,1456.0,1992,2023,0,0.0,36.0,0.0,7,30,0,0,2.0,2129,289761.0,3.061328129190042,-82.562946,29.828444,00250-001-005,HighSprings_B,True,0.9299999999999999,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.80720489024351,364836.6106336882,366965.6106336882,23565.610633688222,75075.61063368822,23565.610633688222,75075.61063368822,1.0686243757533145
2391,0.36,1585,3.0,HIGH SPRINGS,304200,2005,100,1585.0,2005,2023,0,0.0,209.0,447.0,17,17,0,0,2.0,1191,257378.99999999997,0.417453835798642,-82.588719,29.833662,00257-201-019,High_Springs_Main,True,0.83,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.468884453470793,260116.38734526894,261307.38734526894,-42892.612654731056,2737.387345268973,42892.612654731056,2737.387345268973,0.8589986434755718
19383,1.0,3222,4.0,SUWANNEE,681400,2007,100,2666.5,2007,2023,0,555.0,416.0,782.0,15,15,0,0,3.0,2841,576349.0,1.1595939883295612,-82.521789,29.656105,04287-010-009,Jonesville,True,0.85,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,13.227255915114991,555295.628631909,558136.628631909,-123263.37136809097,-21053.37136809097,123263.37136809097,21053.37136809097,0.8191027716934386
19385,1.0,3652,4.0,SUWANNEE,629400,2007,100,3652.0,2007,2023,0,0.0,415.0,768.0,15,15,0,0,3.0,2917,532072.9999999999,1.1595939883295612,-82.522467,29.65606,04287-010-011,Jonesville,True,0.85,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,13.294615538202898,593988.6783836168,596905.6783836168,-32494.321616383153,61915.67838361696,32494.321616383153,61915.67838361696,0.9483725427130868
19402,1.0,2864,4.0,SUWANNEE,703100,2012,100,2864.0,2001,2023,0,0.0,584.0,1040.0,10,21,0,0,3.0,7168,590467.0,1.1595939883295612,-82.49314,29.668551,04289-010-005,swNewberry_B,True,0.9,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,13.315261998783397,606379.9196833635,613547.9196833635,-89552.08031663648,15912.919683363521,89552.08031663648,15912.919683363521,0.8726325127056799
19485,0.35,1496,3.0,SUWANNEE,327700,2009,100,1496.0,2009,2023,0,0.0,198.0,467.0,13,13,0,0,2.0,342,278203.0,0.4058578959153464,-82.492771,29.663921,04292-010-005,swNewberry_B,True,0.87,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,12.628701094837522,305193.4432894704,305535.4432894704,-22164.556710529607,26990.443289470393,22164.556710529607,26990.443289470393,0.9323632691164797
19498,0.35,1878,3.0,SUWANNEE,330200,2007,100,1877.5,2007,2023,0,0.0,222.0,462.0,15,15,0,0,2.0,1056,279614.0,0.4058578959153464,-82.494189,29.662904,04292-010-018,swNewberry_B,True,0.85,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,12.731067670781957,338090.0877585737,339146.0877585737,8946.087758573703,58476.0877585737,8946.087758573703,58476.0877585737,1.0270929368824158
19967,0.13,1514,3.0,SUWANNEE,308300,1995,100,1513.5,1993,2023,0,0.0,309.5,398.0,27,29,0,0,2.0,840,261215.0,0.15074721848284295,-82.474367,29.659614,04314-302-064,HighSprings_B,True,0.73,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.342637390222805,229265.81881960732,230105.81881960732,-78194.18118039268,-31949.181180392683,78194.18118039268,31949.181180392683,0.7463698307479965
19977,0.14,1578,3.0,SUWANNEE,301600,2003,100,1578.0,2003,2023,0,0.0,170.0,440.0,19,19,0,0,2.0,904,255456.0,0.16234315836613858,-82.473021,29.660401,04314-302-074,HighSprings_B,True,0.81,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.462334093295734,258418.09959135286,259322.09959135286,-42277.90040864714,2962.0995913528604,42277.90040864714,2962.0995913528604,0.8598212851172177
