hood_cd,predicted_Market_Val,market,count,pct_difference
114300.4,12048078.496872658,11069276,37,8.842515959243025
114310.01,48551500.61907041,47865013,118,1.43421588346881
114310.02,30219964.087795228,29658938,75,1.8915919639308318
114310.03,14475947.582694916,12858038,43,12.58286515170445
114310.04,4600038.928433476,4329658,21,6.244856485973626
114310.09,57967556.29880909,51963136,243,11.555153828300678
114310.1,68826539.70140411,65597950,201,4.921784448148318
114310.11,12380538.425235147,11317611,30,9.391800312231501
114310.12,18023792.941055615,17629255,45,2.2379728528268186
114310.13,3872475.4527995186,3567807,8,8.539375947171992
114310.14,33409468.140920013,34525057,86,-3.2312440760922905
114314.16,4995685.543418208,4925925,17,1.4161917491274865
114315.01,72530616.95087577,69909668,246,3.749050776318626
114315.02,5972025.063258778,5043713,14,18.40533081994908
114315.03,28914408.100886304,28354978,72,1.972951983550486
114316.4,963564.4561734216,669539,4,43.91461231883753
114317.02,666999.3420657382,541408,2,23.197171461400306
114320.01,26886819.3850975,22963932,66,17.082820943284016
114321.01,31900874.023282334,35098950,61,-9.111600138231104
114321.05,54528104.19137459,50608436,149,7.745088568582899
114321.06,48988826.21848009,45217326,166,8.340829836952517
114321.07,13560568.910045072,14205051,22,-4.536992439906957
114321.09,16429863.517319283,16640937,30,-1.2683990251313222
114322.01,13570738.728489775,12663344,51,7.165522222959238
114322.02,17720458.47023537,15358016,28,15.382471734860612
114322.03,12681879.812326206,12021031,29,5.497438716581014
114322.04,18721806.336631477,16213556,44,15.470081557873405
114322.06,8634025.394888233,6931138,20,24.56865517449275
114322.08,39564612.02236579,39150619,76,1.0574367224329035
114322.1,9622223.225994684,8199591,20,17.350038873825337
114322.11,32842869.076735847,33693561,54,-2.5247907849934688
114322.12,20761648.186467055,21514223,43,-3.4980338984723955
114326.01,8636316.320697429,6801434,26,26.977874382041033
114326.02,58956812.605391435,56613289,163,4.139529157882764
114326.03,7925924.08165806,6857182,25,15.585733055620512
114326.04,22070868.57461945,20366548,76,8.368234885064714
114326.05,58479721.11194722,52140025,171,12.158981726508998
114326.06,29321641.089935705,28986827,95,1.1550560188450603
114326.07,4335567.9812719785,3526990,13,22.925440142216974
114327.01,30230148.039973557,27028416,122,11.845799768560456
114327.02,2893793.2930521853,2261830,9,27.940353300300437
114327.03,7282372.004275261,5923837,21,22.933362350707178
114327.04,36251512.48128424,32818770,135,10.459692673687156
114327.05,7280827.4304563645,6491729,31,12.155443187113395
114327.06,27691014.97976786,24642976,113,12.368794173917383
114327.07,8271826.592371705,7669387,34,7.855120524909031
114327.09,32326066.80477211,29596896,126,9.221138611197974
114327.1,1188532.3890377644,1042740,4,13.981662642438614
114327.11,14341285.790153502,13485584,62,6.34530762741533
114327.13,1808407.9926903888,1851134,5,-2.3080991062565537
114328.01,6236631.812799907,6101385,11,2.216657575286714
114328.02,8748551.484414928,8233266,25,6.2585793343118965
114328.03,31309104.409518827,26032942,100,20.267253733822425
114328.05,8402248.354627406,7050332,31,19.175215502297004
114328.07,6503016.6763594635,5492559,20,18.396847013558954
114328.08,13187205.971648438,12037919,50,9.54722300132139
114329.01,26668083.039905254,23362746,84,14.147896141597627
114329.02,910437.0247722664,589816,4,54.35949936459276
114329.03,11786239.155965159,10326084,49,14.140453980087308
114329.04,29838410.84595989,25012978,112,19.29171666788293
114330.01,1144227.4446599311,895010,3,27.84521342330601
114330.02,8075329.517485338,6700382,32,20.520434767530244
114330.03,6230801.730057914,7067984,22,-11.844710881378427
114330.04,12455224.233937366,12693307,40,-1.8756559347586415
114330.07,15629397.274015652,14783317,51,5.723209980653544
114330.08,55675390.092188284,52430455,158,6.189027144983357
114330.09,4334035.649302945,3736534,11,15.99079920865017
114330.1,1929959.4678039434,2103822,7,-8.26412748778445
114330.11,12012495.202614754,10183167,25,17.964236495529875
114330.12,68521799.90121134,62106064,174,10.330289005613585
114331.01,52456848.719686784,44243942,152,18.562782492768804
114331.02,6084174.641962238,5554663,16,9.532741085503075
114331.04,100070119.48527761,88694672,286,12.825401152932397
114332.02,7954271.343250941,6911908,20,15.080688910369474
114332.03,59399834.112869926,51029922,193,16.401969246337327
114332.04,26705201.226530932,25849638,89,3.309768695913389
114332.11,2199992.65529977,1610883,9,36.57060477388924
114333.02,2502103.414423982,2422145,6,3.301140700659215
114334.01,27725244.523504063,22966065,143,20.72265981788375
114334.02,8098331.855980722,7172815,28,12.903119012280706
114334.04,41563294.051609784,35755314,115,16.243683530816664
114334.05,761223.4824212345,560695,2,35.76427155962412
114334.08,26448770.321281977,24156307,50,9.490123309336882
114334.09,4421089.082729342,4584735,13,-3.5693648001609164
114334.1,120283133.78043348,115890092,318,3.790696602806628
114334.11,19627999.40144975,16900988,66,16.135218849038598
114334.12,2692025.003595528,2554856,8,5.368952441762988
114334.13,1581704.2726684636,1214437,6,30.24177233306163
114334.14,5275353.832209038,4207549,17,25.378310085254803
114334.15,21420009.542912588,19790132,53,8.235809356464058
114335.01,25277932.47346586,22834106,87,10.702527497533119
