legal_acreage,Count,MAE,MSE,R2,PRD,COD,PRB,Weighted Mean,Average Deviation
0.01,28,12765.998282460632,295653644.6815004,0.651712032196364,0.9890155656741405,9.9547079616025,"{'PRB': 0.5280313526378525, 'Sig': 0.00015325098705219796}",0.9815106469691675,0.09512999680396314
0.02,172,20321.90229280829,679765700.5975386,0.5875940989441066,1.0058793900396528,13.315981006919447,"{'PRB': -0.08556433575679297, 'Sig': 0.047256201327816195}",1.024564951855038,0.1363642191122809
0.03,197,17783.891430869546,659326354.0156032,0.5364684297367165,1.0050064190102264,10.68119237253653,"{'PRB': -0.1395266338127846, 'Sig': 0.0006557720743600736}",1.0372409984674056,0.10984234358199908
0.04,105,27037.131255038556,1075678413.7134457,0.6007340375772392,1.006520103090138,12.733751283675865,"{'PRB': -0.08228622114222148, 'Sig': 0.09348628817842555}",1.076713450623317,0.13847827260125245
0.041,1,32998.460139486415,1088898371.5772738,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",0.8527928676736475,0.0
0.05,139,23683.045295165382,1029841145.917992,0.8000592229271103,0.9785663353664812,13.555343313464165,"{'PRB': 0.22078646716251057, 'Sig': 1.50632326752377e-08}",1.0167628375083864,0.13795388009637335
0.06,153,25317.297612736475,1111526579.3082037,0.7814695695256949,0.9921417624959536,10.99407696066256,"{'PRB': 0.0666540633072281, 'Sig': 0.019107511279849353}",0.9359100495926639,0.10235039784402676
0.0606,1,22818.65615250048,520691068.606048,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",0.9267032164583073,0.0
0.0661,1,218543.13929648435,47761103733.56256,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",1.463475792380634,0.0
0.07,68,34084.08723543008,1940582681.5223384,0.8277730663337605,0.979947167528326,15.920744288002977,"{'PRB': 0.09308703432948677, 'Sig': 0.03754437588544214}",0.9308165770004104,0.14750557726952468
0.08,55,31292.09052448661,1488370621.2689366,0.8265508169212752,0.9852583049106739,16.038440464839212,"{'PRB': 0.08645625426493397, 'Sig': 0.10260831630127644}",1.0148159429129455,0.15710017584758482
0.0825,1,5548.991470466688,30791306.339312058,,1.0,0.0,"{'PRB': 0.0, 'Sig': nan}",0.9760623283092021,0.0
