prop_id,legal_acreage,living_area,imprv_det_quality_cd,tax_area_description,sl_price,effective_year_built,imprv_type_cd,base_area,actual_year_built,prop_val_yr,sup_num,hood_cd,sum_us_area,total_porch_area,total_garage_area,effective_age,actual_age,has_canal,has_lake,number_of_baths,MISC_Val,Assessment_Val,landiness,CENTROID_X,CENTROID_Y,geo_id,Market_Cluster_ID,in_subdivision,percent_good,ALACHUA,ARCHER,GAINESVILLE,HAWTHORNE,HIGH_SPRINGS,LACROSSE,MICANOPY,NEWBERRY,ST_JOHNS,SUWANNEE,WALDO,Alachua_Main,Archer,Buck_Bay,CarolEstates,Duck_Pond,EastGNV,EastMidtownEastA,Gainesvilleish_Region,Golfview,HSBUI,HaileLike,Hawthorne,HighSpringsAGNV,HighSprings_A,HighSprings_B,HighSprings_E,HighSprings_F,High_Springs_Main,Ironwood,Jonesville,Lincoln_Estates,Lugano,MidtownEast_A,MidtownEast_B,MidtownEast_C,MidtownEast_D,Newmans_Lake,QuailCreekish,Real_Tioga,Springtree_A,Springtree_B,SummerCreek,TC_Forest,Tioga_A,Tioga_B,Turkey_Creek,WaldoRural_A,WaldoRural_C,Westchesterish,WildsPlantation,swNewberry_A,swNewberry_B,predicted_log_Assessment_Val,predicted_Assessment_Val,predicted_Market_Val,Market_Residual,Assessment_Residual,AbsV_Market_Residual,AbsV_Assessment_Residual,sale_ratio
12689,0.19,1902,3.0,ALACHUA,431100,2015,100,1902.0,2015,2022,0,233208.02,0.0,338.0,400.0,6,6,0,0,2.0,1676,364759.0,0.22494313703489172,-82.521076,29.80816,03053-010-023,Alachua_Main,True,0.94,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.614966427388332,301030.3675126201,302706.3675126201,-128393.63248737989,-63728.63248737989,128393.63248737989,63728.63248737989,0.7021720424788219
12803,0.17,1868,3.0,ALACHUA,283200,2008,100,1868.0,2008,2022,0,233215.05,0.0,42.0,380.0,13,13,0,0,2.0,2747,237973.0,0.20126491208385053,-82.496874,29.801078,03067-060-013,Alachua_Main,True,0.87,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.515948366474735,272651.1358951279,275398.1358951279,-7801.864104872104,34678.135895127896,7801.864104872104,34678.135895127896,0.9724510448274291
12817,0.18,3554,3.0,ALACHUA,471700,2008,100,1632.0,2008,2022,0,233215.05,1922.0,126.0,418.0,13,13,0,0,4.0,1236,399709.0,0.2131040245593711,-82.49732,29.801057,03067-060-027,Alachua_Main,True,0.87,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.961563834425768,425731.36784249236,426967.36784249236,-44732.63215750764,26022.367842492356,44732.63215750764,26022.367842492356,0.9051671991572872
12850,0.18,3908,3.0,ALACHUA,524300,2013,100,1724.0,2013,2022,0,233215.05,2184.0,36.0,616.0,8,8,0,0,5.0,1482,444173.0,0.2131040245593711,-82.49737,29.802526,03067-061-059,Alachua_Main,True,0.92,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,13.105017359792289,491401.779226539,492883.779226539,-31416.220773460984,47228.779226539016,31416.220773460984,47228.779226539016,0.9400796857267576
12855,0.18,2804,3.0,ALACHUA,426400,2011,100,1232.0,2011,2022,0,233215.05,1510.0,80.0,420.0,10,10,0,0,2.5,9962,352478.0,0.2131040245593711,-82.497471,29.80298,03067-061-064,Alachua_Main,True,0.9,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.796887017020701,361091.6260996822,371053.6260996822,-55346.37390031782,8613.62609968218,55346.37390031782,8613.62609968218,0.8702008116784291
12891,0.43,1512,3.0,ALACHUA,213400,1990,100,1512.0,1980,2022,0,233210.01,0.0,408.0,0.0,30,41,0,0,2.0,870,180520.0,0.5090818364473866,-82.49449,29.807576,03069-004-000,Alachua_Main,True,0.7,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.20652184374087,200089.85982306406,200959.85982306406,-12440.140176935936,19569.859823064064,12440.140176935936,19569.859823064064,0.9417050600893349
13226,2.0,1768,3.0,ALACHUA,404500,2000,100,1768.0,1985,2022,0,233213.01,0.0,96.0,0.0,21,36,0,0,2.0,5848,337977.0,2.3678224951041233,-82.461163,29.799262,03187-001-004,Alachua_Main,True,0.79,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.519119753033447,273517.19061399467,279365.19061399467,-125134.80938600533,-64459.809386005334,125134.80938600533,64459.809386005334,0.6906432400840412
13408,0.2,966,3.0,ALACHUA,182800,1995,100,966.0,1991,2022,0,233213.02,0.0,40.0,253.0,26,30,0,0,1.0,192,155188.0,0.23678224951041235,-82.473095,29.791846,03195-002-063,Alachua_Main,True,0.74,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11.979465104199164,159446.72042801278,159638.72042801278,-23161.279571987223,4258.720428012777,23161.279571987223,4258.720428012777,0.8732971577024768
13694,0.18,1523,3.0,ALACHUA,279700,2017,100,1523.0,2017,2022,0,233214.06,0.0,86.0,441.0,4,4,0,0,2.0,1335,236410.0,0.2131040245593711,-82.489867,29.797072,03218-020-012,Alachua_Main,True,0.96,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.503390663786085,269248.67226890964,270583.67226890964,-9116.327731090365,32838.672268909635,9116.327731090365,32838.672268909635,0.96740676535184
13707,0.2,1500,3.0,ALACHUA,248600,2014,100,1500.0,2014,2022,0,233214.06,0.0,88.0,462.0,7,7,0,0,2.0,464,210846.0,0.23678224951041235,-82.490148,29.798723,03218-020-025,Alachua_Main,True,0.9299999999999999,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.476549854988399,262117.94546823303,262581.945468233,13981.945468233025,51271.945468233025,13981.945468233025,51271.945468233025,1.0562427412237854
