prop_id,legal_acreage,living_area,imprv_det_quality_cd,tax_area_description,sl_price,effective_year_built,imprv_type_cd,base_area,actual_year_built,prop_val_yr,sup_num,sum_us_area,total_porch_area,total_garage_area,effective_age,actual_age,has_canal,has_lake,number_of_baths,MISC_Val,Assessment_Val,landiness,CENTROID_X,CENTROID_Y,geo_id,Market_Cluster_ID,in_subdivision,percent_good,ALACHUA,ARCHER,GAINESVILLE,HAWTHORNE,HIGH_SPRINGS,LACROSSE,MICANOPY,NEWBERRY,ST_JOHNS,SUWANNEE,WALDO,Alachua_Main,Archer,Buck_Bay,CarolEstates,Duck_Pond,EastGNV,EastMidtownEastA,Gainesvilleish_Region,Golfview,HSBUI,HaileLike,Hawthorne,HighSpringsAGNV,HighSprings_A,HighSprings_B,HighSprings_E,HighSprings_F,High_Springs_Main,Ironwood,Jonesville,Lincoln_Estates,Lugano,MidtownEast_A,MidtownEast_B,MidtownEast_C,MidtownEast_D,Newmans_Lake,QuailCreekish,Real_Tioga,Springtree_A,Springtree_B,SummerCreek,TC_Forest,Tioga_A,Tioga_B,Turkey_Creek,WaldoRural_A,WaldoRural_C,Westchesterish,WildsPlantation,swNewberry_A,swNewberry_B,predicted_log_Assessment_Val,predicted_Assessment_Val,predicted_Market_Val,Market_Residual,Assessment_Residual,AbsV_Market_Residual,AbsV_Assessment_Residual,sale_ratio
4467,0.33,1300,3.0,HIGH SPRINGS,255100,2005,100,1000.0,1970,2022,0,0.0,300.0,0.0,16,51,0,0,1.0,4094,212741.0,0.39069071169218034,-82.61117,29.82132,01442-001-045,High_Springs_Main,True,0.84,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.223602469869117,203536.8746923695,207630.8746923695,-47469.125307630486,-9204.125307630486,47469.125307630486,9204.125307630486,0.8139195401504097
4483,0.24,1212,3.0,HIGH SPRINGS,223000,1990,100,1008.0,1980,2022,0,0.0,316.0,0.0,30,41,0,0,2.0,1279,188271.0,0.28413869941249476,-82.609934,29.818409,01442-010-008,High_Springs_Main,True,0.7,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.041176984462885,169596.4354055117,170875.4354055117,-52124.5645944883,-18674.5645944883,52124.5645944883,18674.5645944883,0.7662575578722498
4495,0.35,1260,3.0,HIGH SPRINGS,195500,1980,100,1008.0,1980,2022,0,0.0,316.0,0.0,30,41,0,0,1.0,220,165955.0,0.4143689366432215,-82.610448,29.819543,01442-010-020,High_Springs_Main,True,0.7,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.049364486690788,170990.70660876905,171210.70660876905,-24289.293391230953,5035.706608769047,24289.293391230953,5035.706608769047,0.8757580900704299
4703,1.01,1981,3.0,HIGH SPRINGS,441000,2009,100,1981.0,2009,2022,0,0.0,310.0,540.0,12,12,0,0,3.0,5689,369161.0,1.195750360027582,-82.616108,29.816283,01481-020-062,High_Springs_Main,True,0.88,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.771270036210279,351959.0231190528,357648.0231190528,-83351.97688094719,-17201.976880947186,83351.97688094719,17201.976880947186,0.8109932497030676
4834,0.42,1112,3.0,SUWANNEE,201500,2000,100,1112.0,1958,2022,0,0.0,0.0,0.0,21,63,0,0,2.0,840,170435.0,0.49724272397186586,-82.60645,29.807822,01484-016-000,HighSprings_B,False,0.79,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.161722182114795,191323.72777652644,192163.72777652644,-9336.272223473556,20888.727776526444,9336.272223473556,20888.727776526444,0.9536661428115456
4842,1.53,2016,3.0,HIGH SPRINGS,373600,2005,100,2016.0,2005,2022,0,0.0,348.0,576.0,16,16,0,0,2.0,4660,312900.0,1.8113842087546543,-82.608055,29.802555,01486-010-001,High_Springs_Main,True,0.84,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.731273228487579,338159.59192462044,342819.59192462044,-30780.408075379557,25259.591924620443,30780.408075379557,25259.591924620443,0.917611327421361
4894,1.39,2161,3.0,HIGH SPRINGS,423000,2014,100,2161.0,2014,2022,0,0.0,314.0,462.0,7,7,0,0,2.0,1795,357755.0,1.6456366340973654,-82.616635,29.817884,01486-030-033,High_Springs_Main,True,0.9299999999999999,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.847574911146841,379866.40767710353,381661.40767710353,-41338.59232289647,22111.407677103532,41338.59232289647,22111.407677103532,0.9022728313879517
4904,1.06,1636,3.0,HIGH SPRINGS,434900,2014,100,1636.0,2014,2022,0,0.0,512.0,1241.0,7,7,0,0,2.0,3056,366609.0,1.2549459224051853,-82.611726,29.816014,01486-030-043,High_Springs_Main,True,0.9299999999999999,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.692666115391443,325353.0291749671,328409.0291749671,-106490.97082503291,-41255.97082503291,106490.97082503291,41255.97082503291,0.7551368801447852
5119,0.35,1360,3.0,HIGH SPRINGS,230600,1990,100,1360.0,1965,2022,0,0.0,104.0,0.0,30,56,0,0,2.0,569,195441.0,0.4143689366432215,-82.600678,29.811154,01488-305-000,High_Springs_Main,True,0.7,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.128544367875163,185080.1711720995,185649.1711720995,-44950.82882790049,-10360.828827900492,44950.82882790049,10360.828827900492,0.8050701265052017
5136,0.23,1352,3.0,HIGH SPRINGS,206900,1990,100,1352.0,1984,2022,0,0.0,81.0,0.0,30,37,0,0,1.5,1135,174730.0,0.2722995869369742,-82.598903,29.811995,01488-322-000,High_Springs_Main,True,0.7,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.066938367652545,174022.2367861061,175157.2367861061,-31742.763213893893,-707.7632138938934,31742.763213893893,707.7632138938934,0.8465792014794882
