legal_acreage,hood_cd,map_id,township_code,range_code,market_area_cd,city_id,yr_blt,living_area,land_type_cd,condition_cd,land_total_acres,sl_price,CENTROID_X,CENTROID_Y,Coord_Ratio
0.34,223100.06,7-17C,7,17,2,1019,2000,1273,LT,3,0.34,306000,-82.59212733,29.83121768,-2.768647536
0.34,223100.06,7-17C,7,17,2,1019,1979,2044,UN,4,0.34,318600,-82.59313437,29.83009008,-2.768785952
0.41,223100.06,7-17C,7,17,2,1019,2005,1798,LT,3,0.41,312500,-82.59328103,29.83149391,-2.768660573
0.69,223100.06,7-17C,7,17,2,1019,1974,1538,UN,3,0.69,210000,-82.59435616,29.83219752,-2.768631312
0.34,223100.06,7-17C,7,17,2,1019,1974,1240,UN,3,0.34,198500,-82.59420578,29.83434861,-2.76842665
0.23,223100.07,7-17C,7,17,2,1019,1955,931,UN,3,0.23,160000,-82.59797829,29.83017921,-2.768940062
0.34,223100.07,7-17C,7,17,2,1019,1954,1737,UN,3,0.34,269200,-82.59859818,29.8313059,-2.768856263
0.34,223100.07,7-17C,7,17,2,1019,1954,1029,UN,3,0.34,183800,-82.59887848,29.83173719,-2.768825628
0.34,223100.07,7-17C,7,17,2,1019,1954,1029,UN,3,0.34,216300,-82.59887848,29.83173719,-2.768825628
0.17,223100.07,7-17C,7,17,2,1019,1929,1120,UN,3,0.17,188800,-82.60016641,29.82928195,-2.769096707
0.34,223100.07,7-17C,7,17,2,1019,1950,2370,UN,3,0.34,360400,-82.60085434,29.83180198,-2.768885849
0.38,223100.07,7-17C,7,17,2,1019,1961,2153,UN,3,0.38,313300,-82.60155288,29.83151038,-2.76893633
0.73,223100.07,7-17C,7,17,2,1019,1937,2785,UN,3,0.73,402900,-82.60282915,29.83092867,-2.769033109
0.32,223100.07,7-17C,7,17,2,1019,1964,1624,UN,3,0.32,319900,-82.6012335,29.83529841,-2.768574069
0.21,223100.07,7-17C,7,17,2,1019,1929,2408,UN,4,0.21,467100,-82.60308056,29.83216685,-2.768926608
0.34,223100.07,7-17C,7,17,2,1019,1948,1172,UN,3,0.34,184200,-82.60367671,29.83131959,-2.769025234
0.34,223100.07,7-17C,7,17,2,1019,1948,1172,UN,3,0.34,171500,-82.60367671,29.83131959,-2.769025234
0.57,223100.07,7-17C,7,17,2,1019,2002,1648,UN,3,0.57,363700,-82.60206741,29.83626443,-2.768512379
0.23,223100.07,7-17C,7,17,2,1019,1978,1084,UN,3,0.23,192200,-82.60452632,29.8352125,-2.768692407
0.23,223100.07,7-17C,7,17,2,1019,1978,1084,UN,3,0.23,222500,-82.60452632,29.8352125,-2.768692407
0.34,223100.07,7-17C,7,17,2,1019,1929,1083,UN,2,0.34,91900,-82.60636425,29.83200859,-2.76905137
0.68,257400.78,7-17C,7,17,2,1019,1930,1372,SF,3,0.6887,218000,-82.60795359,29.83144721,-2.769156756
0.34,223100.07,7-17C,7,17,2,1019,1929,1656,UN,2,0.34,92000,-82.60722853,29.83177439,-2.769102081
0.2,223100.09,7-17C,7,17,2,1019,1929,1248,UN,3,0.2,141100,-82.60617413,29.83349012,-2.768907486
0.2,223100.09,7-17C,7,17,2,1019,1929,1248,UN,3,0.2,180000,-82.60617413,29.83349012,-2.768907486
0.2,223100.09,7-17C,7,17,2,1019,1929,1248,UN,3,0.2,240000,-82.60617413,29.83349012,-2.768907486
0.09,223100.1,7-17B,7,17,2,1019,2022,1200,UN,3,0.09,210200,-82.61290458,29.83537183,-2.768958438
0.09,223100.1,7-17B,7,17,2,1019,2022,1200,UN,3,0.09,215000,-82.61290458,29.83537183,-2.768958438
0.3,223100.08,8-17D,8,17,2,1019,1929,1284,UN,3,0.3,196400,-82.59773064,29.82395479,-2.769509651
