tax_area_description,Market_Cluster_ID,era_built,imprv_det_quality_cd,count,mean,std,min,25%,50%,75%,max,median
ALACHUA,Alachua_Main,1920s,3.0,3.0,0.9348500260689399,0.06048481038858327,0.8805935481508913,0.902242612227047,0.9238916763032028,0.961978265027964,1.0000648537527252,0.9238916763032028
ALACHUA,Alachua_Main,1920s,4.0,1.0,0.7247101119066462,,0.7247101119066462,0.7247101119066462,0.7247101119066462,0.7247101119066462,0.7247101119066462,0.7247101119066462
ALACHUA,Alachua_Main,1930s,2.0,1.0,1.5242527584781085,,1.5242527584781085,1.5242527584781085,1.5242527584781085,1.5242527584781085,1.5242527584781085,1.5242527584781085
ALACHUA,Alachua_Main,1930s,3.0,3.0,0.9753911591144039,0.15750155454560266,0.8667924368728995,0.8850721073565956,0.9033517778402916,1.029690520235156,1.1560292626300204,0.9033517778402916
ALACHUA,Alachua_Main,1940s,3.0,1.0,0.7752394533096182,,0.7752394533096182,0.7752394533096182,0.7752394533096182,0.7752394533096182,0.7752394533096182,0.7752394533096182
ALACHUA,Alachua_Main,1950s,2.0,2.0,1.0286824653741544,0.19120419108748882,0.8934806852649027,0.9610815753195285,1.0286824653741544,1.0962833554287803,1.1638842454834062,1.0286824653741544
ALACHUA,Alachua_Main,1950s,3.0,6.0,0.8734130578207182,0.08170225070185912,0.7396650263345833,0.8341580651686935,0.8903366401461243,0.937846375092922,0.951025213379406,0.8903366401461243
ALACHUA,Alachua_Main,1960s,3.0,8.0,0.9183194087593503,0.26190369956986137,0.5920537468925555,0.6976021798704832,0.8975709269134265,1.133243477359553,1.2571266597589736,0.8975709269134265
ALACHUA,Alachua_Main,1970s,2.0,1.0,1.1625084230651812,,1.1625084230651812,1.1625084230651812,1.1625084230651812,1.1625084230651812,1.1625084230651812,1.1625084230651812
ALACHUA,Alachua_Main,1970s,3.0,26.0,0.8640609603529923,0.10371258295909358,0.7036604542064145,0.7872054153755648,0.8387232111992482,0.9224687043369451,1.0545429410426177,0.8387232111992482
ALACHUA,Alachua_Main,1980s,3.0,26.0,0.8561475289250691,0.12124062923778449,0.6388826746612104,0.800721445218729,0.8392660132995808,0.9221404579337673,1.121847899113442,0.8392660132995808
ALACHUA,Alachua_Main,1980s,4.0,5.0,0.812074211241946,0.1522216797368635,0.579664059176794,0.7591354151280233,0.8668311062243272,0.8713162497401347,0.9834242259404514,0.8668311062243272
ALACHUA,Alachua_Main,1990s,3.0,39.0,0.823923619814023,0.07655890144098096,0.654761827206287,0.773693513280522,0.8228740353576315,0.8814772484927699,0.9728324000974464,0.8228740353576315
ALACHUA,Alachua_Main,1990s,4.0,11.0,0.821978786815749,0.134664823467141,0.5568700178341981,0.743415583360123,0.8164538867523993,0.9257366500254203,1.0024440097860592,0.8164538867523993
ALACHUA,Alachua_Main,1990s,5.0,1.0,0.8486358706522201,,0.8486358706522201,0.8486358706522201,0.8486358706522201,0.8486358706522201,0.8486358706522201,0.8486358706522201
ALACHUA,Alachua_Main,2000s,3.0,44.0,0.8482236648080339,0.09780426738801233,0.6788351692097905,0.7710799021822148,0.8566474323418979,0.9162233982087846,1.1141161596352165,0.8566474323418979
ALACHUA,Alachua_Main,2000s,4.0,10.0,0.8302215135084305,0.09483637658407922,0.7037080199755904,0.7463129979022756,0.8443165825840483,0.8899013964630571,0.9796972698932348,0.8443165825840483
ALACHUA,Alachua_Main,2010s,3.0,46.0,0.8793843954325952,0.10412801000109174,0.707075749739854,0.7989586450192596,0.8670562946939357,0.955423782047508,1.1181000002427417,0.8670562946939357
ALACHUA,Alachua_Main,2010s,4.0,4.0,0.909730921370643,0.12623151139025657,0.7620547229049358,0.8615277919756112,0.9033136935152122,0.9515168229102439,1.0702415755472117,0.9033136935152122
ALACHUA,Alachua_Main,2010s,5.0,1.0,0.655681010265606,,0.655681010265606,0.655681010265606,0.655681010265606,0.655681010265606,0.655681010265606,0.655681010265606
ALACHUA,Alachua_Main,2020s,3.0,3.0,0.8680099559732043,0.14656977404368926,0.7370693036663017,0.7888431015550568,0.8406168994438118,0.9334802821266555,1.0263436648094992,0.8406168994438118
ALACHUA,HighSprings_B,1950s,3.0,1.0,0.7734783616003207,,0.7734783616003207,0.7734783616003207,0.7734783616003207,0.7734783616003207,0.7734783616003207,0.7734783616003207
ALACHUA,HighSprings_B,1980s,4.0,1.0,0.8226912870067685,,0.8226912870067685,0.8226912870067685,0.8226912870067685,0.8226912870067685,0.8226912870067685,0.8226912870067685
ALACHUA,HighSprings_B,1990s,4.0,1.0,0.8011087423350295,,0.8011087423350295,0.8011087423350295,0.8011087423350295,0.8011087423350295,0.8011087423350295,0.8011087423350295
ALACHUA,Turkey_Creek,1970s,3.0,12.0,0.8684173753493948,0.0870768624127016,0.7222123337649454,0.8329116154105669,0.8528909933592514,0.8853980775134999,1.0595741430360566,0.8528909933592514
ALACHUA,Turkey_Creek,1970s,4.0,3.0,0.9650628083786139,0.05594228339375453,0.9008726779701662,0.9458824080839154,0.9908921381976648,0.9971578735828377,1.0034236089680106,0.9908921381976648
ALACHUA,Turkey_Creek,1980s,3.0,12.0,0.8713308542622006,0.06226067006485155,0.7486184867875655,0.8498167303943792,0.8806980371039531,0.9222964183732492,0.9310219022866172,0.8806980371039531
ALACHUA,Turkey_Creek,1980s,4.0,9.0,0.9480383598817311,0.10245560561953028,0.7666099454056874,0.8922105338115973,0.9390827790022054,1.0141960517444322,1.1137791936500945,0.9390827790022054
ALACHUA,Turkey_Creek,1990s,3.0,16.0,0.8627049650046704,0.05208719302286762,0.7506769520650816,0.8408900123611479,0.8677204197733994,0.8924749741089998,0.9575094278767629,0.8677204197733994
ALACHUA,Turkey_Creek,1990s,4.0,17.0,0.9126251666839705,0.05440039657177866,0.8500160778580541,0.8624549009508555,0.8903440841829906,0.9449692034551214,1.0075170761544177,0.8903440841829906
ALACHUA,Turkey_Creek,1990s,5.0,1.0,0.748855999448026,,0.748855999448026,0.748855999448026,0.748855999448026,0.748855999448026,0.748855999448026,0.748855999448026
ALACHUA,Turkey_Creek,2000s,3.0,59.0,0.8516210498586062,0.08134740036172625,0.6955137117217988,0.8040484458857984,0.8343066376940267,0.8838424390162014,1.2111689095767009,0.8343066376940267
ALACHUA,Turkey_Creek,2000s,4.0,38.0,0.944111071758404,0.08117645030944512,0.8064014086849036,0.9048078282875153,0.9309742434605021,0.9815083949609246,1.1519868762559695,0.9309742434605021
ALACHUA,Turkey_Creek,2000s,5.0,2.0,0.9193217953254038,0.07724169788262764,0.8647036669622352,0.8920127311438195,0.9193217953254038,0.9466308595069881,0.9739399236885724,0.9193217953254038
ALACHUA,Turkey_Creek,2010s,3.0,11.0,0.877601649288799,0.04750089725712049,0.7900610248804479,0.848196688165528,0.8717401355583431,0.9176711115505326,0.934095041520107,0.8717401355583431
ALACHUA,Turkey_Creek,2010s,4.0,2.0,0.9501721607259199,0.1361005693830244,0.8539345251918332,0.9020533429588766,0.9501721607259199,0.9982909784929633,1.0464097962600067,0.9501721607259199
ARCHER,Archer,1900s,3.0,1.0,0.982510970112619,,0.982510970112619,0.982510970112619,0.982510970112619,0.982510970112619,0.982510970112619,0.982510970112619
ARCHER,Archer,1900s,4.0,1.0,0.7358514484425229,,0.7358514484425229,0.7358514484425229,0.7358514484425229,0.7358514484425229,0.7358514484425229,0.7358514484425229
