Market_Cluster_ID,Count,MAE,MSE,R2,PRD,COD,PRB,Weighted Mean,Average Deviation
HighSprings_A,902,27984.416458742624,1627509028.7188036,0.8801337948227947,1.001577219666855,11.082303625153651,"{'PRB': 0.006065708852965887, 'Sig': 0.47193984716459736}",1.0109178088778625,0.11170000594982847
HighSprings_B,3430,36316.66164960977,6384492337.834238,0.754682821253515,1.0067420171677155,11.432792101038363,"{'PRB': -0.029398285690374913, 'Sig': 8.525174420216559e-08}",1.0068712417283225,0.11526902501479735
HighSprings_C,10,37862.23190275561,2768227292.929277,0.3990361578769811,1.001616143817086,11.182696891204024,"{'PRB': -0.08779627333372841, 'Sig': 0.8000811435191872}",1.0053313365454357,0.10868797311551406
HighSprings_D,30,41416.27621861033,2496470002.292857,0.6503148522088531,0.9675555816190349,19.06088479351714,"{'PRB': 0.25899357870062945, 'Sig': 0.02218346880934764}",1.0880891098254912,0.21695770671808098
HighSprings_E,53,39569.04813382128,3549776010.5230346,0.5414200970779985,0.9781813365476657,26.102747115061607,"{'PRB': 0.14897928159011803, 'Sig': 0.1392346307647166}",1.1060167864026857,0.2770972006515445
HighSprings_F,243,33105.846264879896,1455735477.8159275,0.7593802174589178,0.99362574266566,16.759776110089103,"{'PRB': 0.06857030528256464, 'Sig': 0.01805976326884021}",1.0303898598622663,0.1758244073165282
MidtownEast_A,366,53798.1139623915,5509090621.21927,0.6913209553457762,1.0063145464047385,18.803538428603474,"{'PRB': -0.01625489097316174, 'Sig': 0.5397869967331075}",1.032471982657272,0.1943998483048241
MidtownEast_B,281,41798.914736311024,3320040946.418463,0.7815067528178673,1.011651150810831,11.915738330924459,"{'PRB': -0.057268182281954016, 'Sig': 0.0014632064777177118}",1.0068833671902229,0.12170276465143615
MidtownEast_C,728,35735.43980243636,2320558721.720536,0.559582105102003,0.9934428382680622,21.163205569138228,"{'PRB': 0.06511251928565978, 'Sig': 0.016018964589473758}",1.0488641559239982,0.22260772319888034
MidtownEast_D,71,44322.15364250191,4501435798.07829,0.8304787539519467,0.9860960407852255,19.10212293676713,"{'PRB': 0.039347827777069654, 'Sig': 0.4255047802720806}",1.0511067483785494,0.19289718626648034
MidtownEast_E,35,13374.852605951306,299691729.77655315,0.779189478126701,1.0023283350474377,9.154398540250904,"{'PRB': -0.018924280358521364, 'Sig': 0.7735786750333264}",0.9891441629536941,0.0911204719088958
MidtownEast_F,5,90093.23336963487,10319540955.157211,0.7070343026160528,0.995190190605153,14.343072344487059,"{'PRB': 0.03999316005803791, 'Sig': 0.9022240064054015}",1.0082575132185878,0.1418163735301254
Springtree_A,117,21961.686525667334,796662757.5750443,0.6126015203917939,1.0039586768831057,9.355748879376339,"{'PRB': -0.0571912998462417, 'Sig': 0.15163375349039948}",0.9977963437080288,0.09411469786310128
Springtree_B,910,20537.486870369437,746593133.6991984,0.8562752588683903,1.0082795074836401,9.521185233640109,"{'PRB': -0.07654546067078494, 'Sig': 1.0868048343001662e-12}",1.0011408468246161,0.09677289076338338
Springtree_C,23,68317.77036564327,9784105604.250778,0.5644972289224963,1.0079135552254923,23.774832641713935,"{'PRB': 0.054853583711418755, 'Sig': 0.6093610419155064}",1.1047984384524734,0.26642039435284615
Tioga_A,94,65219.55048895301,8986702823.363865,0.884155541957231,1.0012959406720694,11.027252225611374,"{'PRB': 0.004209586596486122, 'Sig': 0.8934028907664723}",1.0316684778125376,0.11400039019820588
Tioga_B,113,62315.160436464976,7387512497.322411,0.9190661808616808,0.988075781840158,9.867156164741493,"{'PRB': 0.057412238625429844, 'Sig': 0.007094948343439541}",1.0289446126592547,0.0985189390604621
WaldoRural_A,23,38902.349079588486,3893743010.408574,0.4803426513685165,0.962159452691742,31.886341587110763,"{'PRB': 0.28377072314613916, 'Sig': 0.12002686401053125}",1.1061409902154808,0.31326152193151824
WaldoRural_B,19,33895.37437849186,1549907973.7020562,0.5831232932698289,0.9653578602388531,18.92026041172644,"{'PRB': 0.25031603530809776, 'Sig': 0.056420808001761996}",1.1857212567981497,0.23985309298031188
WaldoRural_C,171,61516.21984145764,12114134595.879688,0.4147370249959209,0.9928588100660677,28.17555411969596,"{'PRB': 0.06240682062123826, 'Sig': 0.3757492586836053}",1.1066300114740018,0.2921157522291729
swNewberry_A,292,30311.243454001396,7474794262.227263,0.4676136388262149,1.0128452761989215,11.54499011751095,"{'PRB': -0.07558174328504397, 'Sig': 0.08379999315764027}",1.0106777527512143,0.11652233404853146
swNewberry_B,379,46640.79363404483,5080001916.908401,0.8721125039573794,1.0040600250197722,10.366630559587655,"{'PRB': -0.011956819058969352, 'Sig': 0.31881577046969706}",1.0054192260948904,0.1046055333653967
swNewberry_C,82,65037.78004125803,7758979813.68798,0.7872099057557065,1.0217116362886394,19.79768835884551,"{'PRB': -0.11089179505797761, 'Sig': 0.02272756168553643}",1.0190191269827298,0.19323001171969173
