,prop_id,legal_acreage,living_area,imprv_det_quality_cd,tax_area_description,sl_price,effective_year_built,imprv_type_cd,base_area,actual_year_built,prop_val_yr,sup_num,sum_us_area,total_porch_area,total_garage_area,effective_age,actual_age,has_canal,has_lake,number_of_baths,MISC_Val,Assessment_Val,landiness,CENTROID_X,CENTROID_Y,geo_id,Market_Cluster_ID,in_subdivision,percent_good,ALACHUA,ARCHER,GAINESVILLE,HAWTHORNE,HIGH_SPRINGS,LACROSSE,MICANOPY,NEWBERRY,ST_JOHNS,SUWANNEE,WALDO,Alachua_Main,Archer,Buck_Bay,CarolEstates,Duck_Pond,EastGNV,EastMidtownEastA,Gainesvilleish_Region,Golfview,HSBUI,HaileLike,Hawthorne,HighSpringsAGNV,HighSprings_A,HighSprings_B,HighSprings_E,HighSprings_F,High_Springs_Main,Ironwood,Jonesville,Lincoln_Estates,Lugano,MidtownEast_A,MidtownEast_B,MidtownEast_C,MidtownEast_D,Newmans_Lake,QuailCreekish,Real_Tioga,Springtree_A,Springtree_B,SummerCreek,TC_Forest,Tioga_A,Tioga_B,Turkey_Creek,WaldoRural_A,WaldoRural_C,Westchesterish,WildsPlantation,swNewberry_A,swNewberry_B,predicted_log_Assessment_Val,predicted_Assessment_Val,predicted_Market_Val,Market_Residual,Assessment_Residual,AbsV_Market_Residual,AbsV_Assessment_Residual,sale_ratio
437,46350,0.37,1792,3.0,GAINESVILLE,458000,1990,100,1792.0,1965,2022,0,0.0,104.0,0.0,30,56,0,0,2.0,6080,383220.0,0.4475256140581673,-82.392286,29.668992,06381-010-000,HighSpringsAGNV,True,0.7,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.438479728577622,252326.64275983215,258406.64275983215,-199593.35724016785,-130893.35724016785,199593.35724016785,130893.35724016785,0.5642066435804195
441,58959,0.27,1632,3.0,ST. JOHN'S,240500,1983,100,1632.0,1978,2022,0,0.0,0.0,299.0,30,43,0,0,2.0,1516,202909.0,0.3265727453937978,-82.424024,29.603415,06857-002-088,HighSprings_F,True,0.7,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.470842225593222,260626.13477884157,262142.13477884157,21642.134778841573,57717.13477884157,21642.134778841573,57717.13477884157,1.0899880863985096
445,59199,0.26,2832,4.0,ST. JOHN'S,408300,2002,100,2454.0,2002,2022,0,0.0,438.0,440.0,19,19,0,0,2.0,1041,346014.0,0.31447745852736086,-82.430829,29.606505,06858-020-070,HighSprings_F,True,0.81,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,13.06139463085469,470426.32210396236,471467.32210396236,63167.32210396236,124412.32210396236,63167.32210396236,124412.32210396236,1.154708111937209
454,59501,0.09,1587,4.0,ST. JOHN'S,198100,1986,100,1087.0,1981,2022,0,500.0,0.0,0.0,30,40,0,0,2.5,1921,166464.0,0.10885758179793259,-82.435549,29.604857,06860-030-023,HighSprings_F,True,0.7,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.414948436533725,246458.38545608395,248379.38545608395,50279.38545608395,79994.38545608395,50279.38545608395,79994.38545608395,1.2538081042709943
503,75803,0.22,1127,3.0,GAINESVILLE,180000,2005,100,1127.0,1962,2022,0,0.0,64.0,0.0,16,59,0,0,2.0,1097,151903.0,0.266096311061613,-82.310162,29.679832,08203-070-000,MidtownEast_C,True,0.84,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.221744797458198,203159.1208357416,204256.1208357416,24256.120835741604,51256.1208357416,24256.120835741604,51256.1208357416,1.1347562268652311
504,90321,0.25,2069,4.0,GAINESVILLE,542300,1987,100,1971.0,1946,2022,0,0.0,233.0,0.0,30,75,0,0,2.0,2988,457966.99999999994,0.30238217166092385,-82.33873,29.642541,15517-000-000,MidtownEast_A,True,0.7,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.668301991784734,317521.8747476935,320509.8747476935,-221790.12525230652,-140445.12525230646,221790.12525230652,140445.12525230646,0.591019499811347
512,91720,0.23,736,3.0,GAINESVILLE,84600,1987,100,736.0,1930,2022,0,0.0,0.0,0.0,30,91,0,0,1.0,3401,68509.0,0.27819159792805,-82.318896,29.636606,15911-000-000,EastGNV,True,0.7,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,11.427783736088081,91838.21139068277,95239.21139068277,10639.211390682773,23329.211390682773,10639.211390682773,23329.211390682773,1.1257589998898674
518,8749,0.24,1450,3.0,NEWBERRY,154400,1979,100,1080.0,1979,2022,0,0.0,442.0,0.0,30,42,0,0,2.0,2263,128976.99999999999,0.2902868847944869,-82.610355,29.641449,01989-020-004,swNewberry_A,True,0.7,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,12.091215711754446,178298.73548362707,180561.73548362707,26161.735483627068,49321.73548362708,26161.735483627068,49321.73548362708,1.1694412919924033
557,28730,0.1,2271,4.0,ALACHUA,345000,2007,100,1343.0,2007,2022,0,828.0,264.0,399.0,14,14,0,0,3.0,929,292321.0,0.12095286866436955,-82.425494,29.76161,05900-109-009,Turkey_Creek,True,0.86,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,12.835772353879243,375409.36662641104,376338.36662641104,31338.366626411036,83088.36662641104,31338.366626411036,83088.36662641104,1.090835845293945
681,8407,0.18,3002,3.0,NEWBERRY,355300,2012,100,1322.0,2012,2022,0,1460.0,238.0,420.0,9,9,0,0,3.0,3011,298994.0,0.21771516359586518,-82.598632,29.641466,01933-010-082,swNewberry_A,True,0.91,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,12.863675157385366,386031.84976414865,389042.84976414865,33742.84976414865,87037.84976414865,33742.84976414865,87037.84976414865,1.0949700246668974
