prop_id,CENTROID_X,CENTROID_Y,New_Market_Cluster_ID
1613,-82.613159,29.840261,0
1918,-82.59068,29.83943,0
1951,-82.587335,29.839017,0
2247,-82.568756,29.83027,0
2377,-82.587945,29.83515,0
2409,-82.578952,29.826687,0
2532,-82.583929,29.815145,0
2967,-82.593134,29.83009,0
2976,-82.593825,29.830619,0
2985,-82.593281,29.831494,0
3310,-82.600323,29.833635,0
3354,-82.602829,29.830929,0
3465,-82.604526,29.835213,0
3500,-82.607954,29.831447,0
20300,-82.459211,29.6711,0
20357,-82.463183,29.66134,0
20379,-82.470108,29.66211,0
20672,-82.464407,29.668476,0
20723,-82.466384,29.669876,0
20788,-82.465842,29.652735,0
21001,-82.484854,29.65371,0
21055,-82.483227,29.653367,0
21089,-82.481955,29.651758,0
21092,-82.482568,29.651726,0
21116,-82.481385,29.650614,0
21223,-82.48286,29.649339,0
21306,-82.482998,29.647637,0
21310,-82.483807,29.647692,0
21356,-82.486122,29.646423,0
21370,-82.487666,29.647284,0
21700,-82.475986,29.651413,0
21732,-82.488948,29.656575,0
21747,-82.488847,29.661815,0
21761,-82.487029,29.661876,0
21780,-82.486381,29.659861,0
21783,-82.485601,29.659898,0
21815,-82.486968,29.65841,0
22038,-82.520669,29.650716,0
22111,-82.509889,29.65247,0
36990,-82.3777,29.697022,0
37038,-82.374421,29.695292,0
37149,-82.378291,29.693037,0
37376,-82.385858,29.699939,0
37427,-82.388434,29.697831,0
37506,-82.384545,29.696324,0
37696,-82.375315,29.690182,0
37715,-82.374515,29.690586,0
37746,-82.373105,29.691443,0
37752,-82.372625,29.691239,0
37826,-82.358071,29.702091,0
37884,-82.356751,29.700859,0
37920,-82.358731,29.696524,0
38016,-82.359167,29.692584,0
38062,-82.361302,29.695623,0
38135,-82.362209,29.694861,0
38164,-82.360522,29.700088,0
38171,-82.360402,29.699634,0
38214,-82.362947,29.698318,0
38219,-82.361867,29.698044,0
38329,-82.356974,29.691564,0
38399,-82.360495,29.701473,0
38498,-82.361728,29.701475,0
38608,-82.368443,29.689385,0
38631,-82.369415,29.689855,0
52134,-82.438215,29.657433,0
52397,-82.431155,29.654898,0
52653,-82.423827,29.646369,0
52712,-82.452415,29.658661,0
52802,-82.448618,29.657812,0
52814,-82.447579,29.657803,0
52916,-82.444326,29.657095,0
53133,-82.446948,29.639439,0
53145,-82.454267,29.641799,0
53231,-82.444163,29.644804,0
53323,-82.455584,29.632662,0
53449,-82.442772,29.631561,0
66328,-82.390796,29.578477,0
66826,-82.375871,29.590402,0
66947,-82.37622,29.594823,0
67105,-82.344369,29.618892,0
67118,-82.347914,29.615294,0
67147,-82.346589,29.615198,0
67188,-82.35148,29.616761,0
67216,-82.350482,29.618257,0
67226,-82.352051,29.619808,0
81753,-82.315425,29.662437,0
81807,-82.315434,29.660302,0
81913,-82.311049,29.671667,0
81943,-82.313164,29.671227,0
82067,-82.308347,29.668167,0
82136,-82.307205,29.673524,0
82601,-82.305208,29.667046,0
