prop_id,legal_acreage,living_area,imprv_det_quality_cd,tax_area_description,sl_price,Total_MISC_Val,effective_year_built,imprv_type_cd,base_area,actual_year_built,sum_us_area,total_porch_area,total_garage_area,effective_age,Assessment_Val,landiness,CENTROID_X,CENTROID_Y,geo_id,Market_Cluster_ID,in_subdivision,is_townhouse,is_tiny,percent_good,ALACHUA,ARCHER,GAINESVILLE,HAWTHORNE,HIGH_SPRINGS,LACROSSE,MICANOPY,NEWBERRY,ST_JOHNS,SUWANNEE,WALDO,Alachua_Main,Archer,Buck_Bay,Duck_Pond,EastMidtownEastA,Gainesvilleish_Region,Golfview,HSBUI,HaileLike,Hawthorne,HighSpringsAGNV,HighSprings_A,HighSprings_B,HighSprings_F,High_Springs_Main,Lugano,Magnolia_Heights,MidtownEast_A,MidtownEast_B,MidtownEast_C,MidtownEast_D,Newmans_Lake,Real_Tioga,Springtree_A,Springtree_B,Thornebrooke,Tioga_A,Tioga_B,Turkey_Creek,WaldoRural_A,West_Outer_Gainesville,West_of_Waldo_rd,WildsPlantation,swNewberry_A,swNewberry_B,built_before_1974,built_pre_1994_with_effective_le_1994,predicted_log_Assessment_Val,predicted_Assessment_Val,predicted_Market_Val,Market_Residual,Assessment_Residual,AbsV_Market_Residual,AbsV_Assessment_Residual,sale_ratio
1555,12.2,2553,1.0,SUWANNEE,669900,46579,2006,100,2553.0,1997,0.0,624.0,639.0,19,522835.99999999994,15.968337167227915,-82.634435,29.830767,00165-020-020,HSBUI,True,False,False,0.81,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,13.038668167379697,459855.76611776603,506434.76611776603,-163465.23388223397,-62980.23388223391,163465.23388223397,62980.23388223391,0.7559856189248635
1610,1.19,1436,1.0,HIGH SPRINGS,292100,2916,2012,100,1436.0,2001,0.0,64.0,300.0,13,245369.0,1.5575673138525588,-82.613894,29.841391,00181-100-014,High_Springs_Main,True,False,False,0.87,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,12.509140110957961,270801.1619884234,273717.1619884234,-18382.83801157662,25432.16198842338,18382.83801157662,25432.16198842338,0.9370666278275364
1613,1.0,2447,1.0,HIGH SPRINGS,384500,12919,2000,100,7341.0,2000,0.0,1398.0,0.0,25,313906.0,1.3088800956744193,-82.613159,29.840261,00181-100-017,High_Springs_Main,True,False,False,0.75,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,12.65890286042851,314551.42662284686,327470.42662284686,-57029.57337715314,645.4266228468623,57029.57337715314,645.4266228468623,0.8516786128032429
1624,1.0,1903,1.0,HIGH SPRINGS,357700,20905,2005,100,1903.0,1998,0.0,512.0,420.0,20,283140.0,1.3088800956744193,-82.614138,29.84265,00181-100-028,High_Springs_Main,True,False,False,0.8,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,12.652790908079488,312634.7665261544,333539.7665261544,-24160.233473845583,29494.766526154417,24160.233473845583,29494.766526154417,0.9324567137997049
1628,1.0,2004,1.0,HIGH SPRINGS,443500,15700,2010,100,4008.0,2004,0.0,1392.0,1248.0,15,361275.0,1.3088800956744193,-82.615078,29.843042,00181-100-032,High_Springs_Main,True,False,False,0.85,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,12.784386096261183,356605.74553199776,372305.74553199776,-71194.25446800224,-4669.25446800224,71194.25446800224,4669.25446800224,0.8394718050326895
1641,1.0,2046,1.0,HIGH SPRINGS,340300,10996,2002,100,1727.5,2002,0.0,510.5,480.0,23,278259.0,1.3088800956744193,-82.616605,29.839257,00181-100-045,High_Springs_Main,True,False,False,0.77,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,12.666611503461457,316985.561169689,327981.561169689,-12318.438830311003,38726.561169689,12318.438830311003,38726.561169689,0.963801237642342
1717,0.36,1856,1.0,HIGH SPRINGS,235800,640,2002,100,1856.0,2002,0.0,301.0,400.0,23,199789.99999999997,0.47119683444279087,-82.603691,29.837177,00206-010-013,High_Springs_Main,True,False,False,0.77,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,12.509477886948194,270892.6475690165,271532.6475690165,35732.647569016495,71102.64756901652,35732.647569016495,71102.64756901652,1.1515379455853116
1718,0.29,1329,1.0,HIGH SPRINGS,275300,720,2013,100,1329.0,2013,0.0,174.0,0.0,12,233285.0,0.37957522774558156,-82.603356,29.837249,00206-010-014,High_Springs_Main,True,False,False,0.88,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,12.272563791559406,213750.30026774635,214470.30026774635,-60829.69973225365,-19534.699732253648,60829.69973225365,19534.699732253648,0.7790421368243602
1719,0.3,1165,1.0,HIGH SPRINGS,223300,2249,1998,100,1165.0,1997,0.0,40.0,216.0,27,187556.0,0.39266402870232575,-82.60322,29.837536,00206-010-015,High_Springs_Main,True,False,False,0.73,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,12.095780935158425,179114.56985993322,181363.56985993322,-41936.430140066775,-8441.430140066775,41936.430140066775,8441.430140066775,0.8121969093593069
1790,0.18,1418,1.0,HIGH SPRINGS,292500,368,2012,100,2836.0,2012,0.0,300.0,760.0,13,248256.99999999997,0.23559841722139543,-82.607005,29.838582,00206-040-060,High_Springs_Main,True,False,False,0.87,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,12.407925968225403,244733.702109702,245101.702109702,-47398.29789029801,-3523.297890297981,47398.29789029801,3523.297890297981,0.8379545371271863
