Market_Cluster_ID,count,mean,std,min,25%,50%,75%,max,median
Alachua_Main,242.0,0.8609314936614615,0.12347444983593064,0.5568700178341981,0.7800947502296868,0.8570792190984058,0.9248517354251866,1.5242527584781085,0.8570792190984058
Archer,29.0,0.8518414012687643,0.09894821146613614,0.6554903067074148,0.7995747946296596,0.8398842745230369,0.8988391722552415,1.0670053661951475,0.8398842745230369
Buck_Bay,27.0,0.8561507996563777,0.06900841833927904,0.7356409035888705,0.8132282086240451,0.8453055291378468,0.8970384656658654,1.0580741288013429,0.8453055291378468
CarolEstates,34.0,0.8750681595165385,0.10455017689229958,0.6611454686772251,0.8005383017375634,0.8442309638103691,0.9386346639124414,1.1009930721143957,0.8442309638103691
Duck_Pond,68.0,0.8652592024156577,0.14664343866936627,0.5160468611804044,0.7446926009137476,0.8450087451563525,0.9682735905476215,1.2303902016341313,0.8450087451563525
EastGNV,144.0,0.8692462266135793,0.15923814501969122,0.5351014771156475,0.7737369516450607,0.8491051250214805,0.9400996702319587,1.4597755280367712,0.8491051250214805
EastMidtownEastA,138.0,0.8640108436608216,0.1349268594071356,0.5184246538950943,0.779142187235413,0.8688311435509035,0.9632654400091912,1.1959839282300424,0.8688311435509035
Gainesvilleish_Region,1118.0,0.8481902450130203,0.08778693050146058,0.572763548950926,0.7890301334732409,0.8383044776688747,0.898156929054065,1.2559775136454576,0.8383044776688747
Golfview,15.0,0.8520425419808801,0.14424842393634515,0.6558314429832416,0.7571791029723356,0.8223014701775356,0.9436225748663825,1.085678875260173,0.8223014701775356
HSBUI,97.0,0.8617271373365372,0.15344272128115208,0.530633052272683,0.7734673761926634,0.8535297372313677,0.933373967324384,1.333893023829443,0.8535297372313677
HaileLike,347.0,0.8546094402622277,0.0818895286776817,0.5887220669377197,0.8010070663805924,0.8571931162329113,0.9108229044554765,1.101080393059825,0.8571931162329113
Hawthorne,44.0,0.8501552358855087,0.10813843476961421,0.7162946290356295,0.7855863742038831,0.832081860462026,0.8758234557766668,1.3113187376644695,0.832081860462026
HighSpringsAGNV,375.0,0.8541650229749301,0.09980828450885096,0.5654723963472437,0.7896206846142859,0.8498497760487491,0.9149988955305335,1.2211136565724718,0.8498497760487491
HighSprings_A,93.0,0.8553659200881919,0.14006894702698447,0.5719212749270091,0.7599870373926392,0.8319280079271173,0.9120389928801476,1.2819200001428297,0.8319280079271173
HighSprings_B,703.0,0.8547428814186695,0.08735301686098353,0.590157403975326,0.8024130249859962,0.8495988910496804,0.8993985047933175,1.2423667282707669,0.8495988910496804
HighSprings_E,10.0,0.8576072113865919,0.25811267510837693,0.5715006593526857,0.7043329025661613,0.7773805532568014,0.9333504850807346,1.4857583307937563,0.7773805532568014
HighSprings_F,142.0,0.8570508933536469,0.10971123950437714,0.6535081681546986,0.7751506711112686,0.8444630430191763,0.9130186491398438,1.2453208047493092,0.8444630430191763
High_Springs_Main,302.0,0.8489697519146812,0.09217594339883087,0.6072429361426157,0.7898290581174061,0.8424544509568599,0.9030159945643441,1.1943976455417142,0.8424544509568599
Ironwood,10.0,0.8515580434981462,0.07045817934997659,0.7059205161039827,0.827559181090511,0.8410673235230595,0.8935272335555902,0.9503746476045052,0.8410673235230595
Lugano,7.0,0.8419010074837188,0.07029006231213313,0.7591577099677282,0.7910502195292106,0.8249904328584156,0.8885039385091773,0.950050593483112,0.8249904328584156
MidtownEast_A,139.0,0.8750356841690167,0.14825831169816098,0.5901840194608555,0.7721331120484262,0.8756654107741008,0.9656835036238269,1.2729896986558698,0.8756654107741008
MidtownEast_B,239.0,0.8606270786509084,0.10907180375753799,0.6389080445843586,0.7900764650383705,0.8497794547717374,0.9332358823726534,1.1192941960175102,0.8497794547717374
MidtownEast_C,288.0,0.8536828849890625,0.11823850352751836,0.564944639246844,0.7765556293567513,0.8448167088067556,0.912203935721719,1.1910765073422414,0.8448167088067556
MidtownEast_D,57.0,0.8576871961824447,0.1296044326002139,0.4973919085237299,0.7511398225677758,0.8694868869304844,0.953716366636704,1.088763191981744,0.8694868869304844
Newmans_Lake,132.0,0.8629765368160381,0.1536190930534541,0.5558630762957673,0.7644930183825639,0.8389046288968383,0.9250792016477571,1.6711612220074117,0.8389046288968383
QuailCreekish,136.0,0.8538753835794443,0.06408556032415477,0.7608492875378533,0.8108464056372389,0.844188148679557,0.8875041462189208,1.2513346348637349,0.844188148679557
Real_Tioga,98.0,0.851974009860874,0.07384864311380848,0.6564512672068445,0.8029533904219033,0.8529948929717949,0.8873756577794087,1.077489378079808,0.8529948929717949
Springtree_A,51.0,0.8461226115630389,0.07174566140185684,0.726732911005491,0.7969592749871256,0.8426860191084478,0.8926073026410553,1.0824363549901013,0.8426860191084478
Springtree_B,709.0,0.8562247627670478,0.08952660573057589,0.6454275042116148,0.7996846815519777,0.8456399281641945,0.898858616011006,1.278467050767501,0.8456399281641945
SummerCreek,36.0,0.8445045658068302,0.07451151536988064,0.6395432755480085,0.8109966821980629,0.8307585439595724,0.8647457173321795,1.0169884809222645,0.8307585439595724
TC_Forest,60.0,0.8586702563253626,0.07587507940379119,0.7098188139893441,0.8080356738090041,0.8497560812908188,0.9040925771889701,1.088638569778565,0.8497560812908188
Tioga_A,68.0,0.8540830586191842,0.0925131535149349,0.5358516321765142,0.8091189381380542,0.8530311138986677,0.9030457231918075,1.2227508438060133,0.8530311138986677
Tioga_B,76.0,0.8572214053667505,0.1117777856910376,0.5768163535302969,0.8069718564028465,0.8668057301534765,0.9222894990267368,1.1722559173552036,0.8668057301534765
