prop_id,legal_acreage,living_area,imprv_det_quality_cd,tax_area_description,sl_price,Total_MISC_Val,effective_year_built,imprv_type_cd,total_porch_area,total_garage_area,effective_age,Assessment_Val,landiness,CENTROID_X,CENTROID_Y,geo_id,Market_Cluster_ID,in_subdivision,is_townhouse,percent_good,ALACHUA,ARCHER,GAINESVILLE,HAWTHORNE,HIGH_SPRINGS,LACROSSE,MICANOPY,NEWBERRY,ST_JOHNS,SUWANNEE,WALDO,HighSprings_A,HighSprings_B,HighSprings_C,HighSprings_D,HighSprings_E,HighSprings_F,MidtownEast_A,MidtownEast_B,MidtownEast_C,MidtownEast_D,MidtownEast_E,MidtownEast_F,Springtree_A,Springtree_B,Springtree_C,Tioga_A,Tioga_B,WaldoRural_A,WaldoRural_B,WaldoRural_C,swNewberry_A,swNewberry_B,swNewberry_C
1610,1.19,1436,1.0,HIGH SPRINGS,292100,2916,2012,100,64.0,300.0,12,245369.0,1.6971888849789705,-82.613894,29.841391,00181-100-014,HighSprings_B,True,False,0.88,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1613,1.0,2447,1.0,HIGH SPRINGS,384500,12919,2000,100,1398.0,0.0,24,313906.0,1.426209147041152,-82.613159,29.840261,00181-100-017,HighSprings_B,True,False,0.76,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1624,1.0,1903,1.0,HIGH SPRINGS,357700,20905,2005,100,512.0,420.0,19,283140.0,1.426209147041152,-82.614138,29.84265,00181-100-028,HighSprings_B,True,False,0.81,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1628,1.0,2004,1.0,HIGH SPRINGS,443500,15700,2010,100,1392.0,1248.0,14,361275.0,1.426209147041152,-82.615078,29.843042,00181-100-032,HighSprings_B,True,False,0.86,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1641,1.0,2046,1.0,HIGH SPRINGS,340300,10996,2002,100,510.5,480.0,22,278259.0,1.426209147041152,-82.616605,29.839257,00181-100-045,HighSprings_B,True,False,0.78,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1699,0.34,960,0.9,HIGH SPRINGS,25100,145,1994,100,144.0,0.0,30,21190.0,0.4849111099939917,-82.608052,29.837502,00206-002-001,HighSprings_D,False,False,0.7,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1714,0.24,1360,1.0,HIGH SPRINGS,252200,2417,1994,100,88.0,546.0,30,211953.0,0.3422901952898764,-82.604115,29.83783,00206-010-010,HighSprings_B,True,False,0.7,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1717,0.36,1856,1.0,HIGH SPRINGS,235800,640,2002,100,301.0,400.0,22,199789.99999999997,0.5134352929348146,-82.603691,29.837177,00206-010-013,HighSprings_B,True,False,0.78,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1718,0.29,1329,1.0,HIGH SPRINGS,275300,720,2013,100,174.0,0.0,11,233285.0,0.413600652641934,-82.603356,29.837249,00206-010-014,HighSprings_B,True,False,0.89,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1719,0.3,1165,1.0,HIGH SPRINGS,223300,2249,1998,100,40.0,216.0,26,187556.0,0.42786274411234554,-82.60322,29.837536,00206-010-015,HighSprings_B,True,False,0.74,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1742,0.17,1209,1.0,HIGH SPRINGS,274900,607,2022,100,80.0,420.0,2,233058.00000000003,0.24245555499699584,-82.605048,29.838603,00206-040-012,HighSprings_B,True,False,0.98,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1745,0.17,1397,1.0,HIGH SPRINGS,280600,629,2022,100,84.0,400.0,2,237881.0,0.24245555499699584,-82.605046,29.839219,00206-040-015,HighSprings_B,True,False,0.98,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1750,0.18,1384,1.0,HIGH SPRINGS,264400,624,2022,100,84.0,420.0,2,224116.00000000003,0.2567176464674073,-82.606579,29.839972,00206-040-020,HighSprings_B,True,False,0.98,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1778,0.17,1397,1.0,HIGH SPRINGS,259300,599,2022,100,84.0,400.0,2,219806.0,0.24245555499699584,-82.605904,29.83827,00206-040-048,HighSprings_B,True,False,0.98,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1786,0.17,1209,1.0,HIGH SPRINGS,238500,0,2022,100,16.0,420.0,2,202725.0,0.24245555499699584,-82.606344,29.838528,00206-040-056,HighSprings_B,True,False,0.98,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1788,0.17,1202,1.0,HIGH SPRINGS,244400,0,2023,100,76.0,380.0,1,207740.0,0.24245555499699584,-82.606905,29.838234,00206-040-058,HighSprings_B,True,False,0.99,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1789,0.17,1209,1.0,HIGH SPRINGS,255000,942,2023,100,16.0,420.0,1,215808.0,0.24245555499699584,-82.607038,29.838357,00206-040-059,HighSprings_B,True,False,0.99,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
