prop_id,legal_acreage,living_area,imprv_det_quality_cd,tax_area_description,sl_price,Total_MISC_Val,effective_year_built,imprv_type_cd,base_area,sum_us_area,total_porch_area,total_garage_area,effective_age,Assessment_Val,landiness,CENTROID_X,CENTROID_Y,geo_id,Market_Cluster_ID,in_subdivision,is_townhouse,is_tiny,percent_good,ALACHUA,ARCHER,GAINESVILLE,HAWTHORNE,HIGH_SPRINGS,LACROSSE,MICANOPY,NEWBERRY,ST_JOHNS,SUWANNEE,WALDO,HighSprings_A,HighSprings_B,HighSprings_B1,HighSprings_C,HighSprings_D,HighSprings_E,HighSprings_F,MidtownEast_A,MidtownEast_B,MidtownEast_C,MidtownEast_D,MidtownEast_E,MidtownEast_F,Springtree_A,Springtree_B,Springtree_C,Tioga_A,Tioga_B,WaldoRural_A,WaldoRural_B,WaldoRural_C,swNewberry_A,swNewberry_B,swNewberry_C,predicted_log_Assessment_Val,predicted_Assessment_Val,predicted_Market_Val,Market_Residual,Assessment_Residual,AbsV_Market_Residual,AbsV_Assessment_Residual,sale_ratio
1058,7.93,2412,1.0,SUWANNEE,492600,43625,2000,100,1950.0,0.0,558.0,0.0,24,375085.0,10.268078173124676,-82.556669,29.881192,00016-003-001,HighSprings_B,False,False,False,0.76,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.752569470503172,345438.35044314596,389063.35044314596,-103536.64955685404,-29646.64955685404,103536.64955685404,29646.64955685404,0.789815977351088
1143,6.41,2210,1.0,SUWANNEE,433100,50534,2004,100,1662.0,0.0,1034.0,0.0,20,317601.0,8.299921953307589,-82.580602,29.85889,00056-003-002,HighSprings_B,False,False,False,0.8,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.745222461261218,342909.712029155,393443.712029155,-39656.287970845005,25308.712029154995,39656.287970845005,25308.712029154995,0.9084361857057377
1199,10.1,2042,1.0,SUWANNEE,451800,31386,1997,100,2042.0,0.0,142.0,0.0,27,352644.0,13.07788014483723,-82.572413,29.866443,00063-012-001,HighSprings_B,False,False,False,0.73,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.608357141704001,299047.3322560189,330433.3322560189,-121366.66774398112,-53596.66774398112,121366.66774398112,53596.66774398112,0.7313708106596257
1270,2.57,2809,1.15,SUWANNEE,625300,30664,2012,100,2285.0,524.0,424.0,810.0,12,500840.99999999994,3.3277378190328397,-82.573637,29.851039,00067-010-009,HighSprings_B,True,False,False,0.88,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,13.270183751651508,579652.3183455099,610316.3183455099,-14983.681654490065,78811.31834551,14983.681654490065,78811.31834551,0.9760376112993921
1278,7.98,2496,1.15,SUWANNEE,961100,40237,2009,100,2496.0,0.0,1144.0,1395.0,15,776698.0,10.332820154039714,-82.570565,29.848695,00068-001-000,HighSprings_B,False,False,False,0.85,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,13.20259640412192,541769.7659594311,582006.7659594311,-379093.23404056893,-234928.23404056893,379093.23404056893,234928.23404056893,0.605563173404881
1302,5.01,1784,1.0,SUWANNEE,375400,2656,2005,100,1784.0,0.0,61.0,440.0,19,316434.0,6.487146487686585,-82.56162,29.85113,00071-007-000,HighSprings_B,False,False,False,0.81,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.708043598883886,330394.8055762605,333050.8055762605,-42349.19442373951,13960.805576260493,42349.19442373951,13960.805576260493,0.887189146447151
1307,2.0,2508,1.15,SUWANNEE,535500,50578,2005,100,2508.0,0.0,282.0,506.0,19,404597.0,2.5896792366014316,-82.575898,29.854221,00074-010-001,HighSprings_B,True,False,False,0.81,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,13.075215958457463,476973.37869888474,527551.3786988847,-7948.621301115258,72376.37869888474,7948.621301115258,72376.37869888474,0.9851566362257418
1311,1.28,1636,1.0,SUWANNEE,252800,8758,1998,100,1636.0,0.0,158.0,0.0,26,206122.0,1.6573947114249163,-82.578563,29.852591,00074-010-005,HighSprings_B,True,False,False,0.74,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.393125812979255,241138.27737625278,249896.27737625278,-2903.7226237472205,35016.27737625278,2903.7226237472205,35016.27737625278,0.9885137554440379
1358,1.29,2587,1.15,HIGH SPRINGS,544500,10274,2015,100,2371.5,0.0,488.5,529.0,9,452551.0,1.6703431076079234,-82.611009,29.84699,00090-010-004,HighSprings_B,True,False,False,0.91,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,13.10530538449941,491543.3354649479,501817.3354649479,-42682.664535052085,38992.335464947915,42682.664535052085,38992.335464947915,0.9216112680715297
1359,3.89,2468,1.15,HIGH SPRINGS,481700,23270,2005,100,2468.0,0.0,310.0,575.0,19,386175.0,5.036926115189784,-82.611987,29.846721,00090-010-005,HighSprings_B,True,False,False,0.81,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,13.02145929259547,452009.86897679605,475279.86897679605,-6420.131023203954,65834.86897679605,6420.131023203954,65834.86897679605,0.986671930614067
