prop_id,sale_ratio,Market_Cluster_ID,Assessment_Val,landiness,imprv_det_quality_cd
1526,0.6518545244055998,HSBUI,362349.99999999994,1.818554714160672,1.0
1927,0.6499535128446685,High_Springs_Main,266796.0,2.0475579003883118,1.0
2343,0.5931801577489181,High_Springs_Main,361486.0,1.3874898930262904,1.0
3242,0.6685870630424717,High_Springs_Main,276794.0,0.6061849047202239,1.0
3397,0.6653217147534873,High_Springs_Main,394693.0,0.28288628886943784,1.15
3584,0.6744416332904528,High_Springs_Main,195388.0,0.3098278401903367,1.0
3766,0.5570759238584783,High_Springs_Main,219287.0,0.3098278401903367,1.0
3821,0.6176842871625939,High_Springs_Main,241388.00000000003,0.3098278401903367,1.0
3956,0.6905249301886625,High_Springs_Main,168538.99999999997,0.6196556803806734,1.0
4176,0.6185910163433075,High_Springs_Main,302707.0,0.673538783022471,1.0
5094,0.6824481630214699,High_Springs_Main,221509.0,0.9429542962314593,1.0
5119,0.690894144410932,High_Springs_Main,195441.0,0.47147714811572966,1.0
5140,0.6909740809210654,High_Springs_Main,209162.0,0.4041232698134826,1.0
5243,0.6818527280642844,High_Springs_Main,373717.0,1.3605483417053914,1.0
5330,0.6811276311957823,High_Springs_Main,411700.99999999994,1.4817853226494364,1.0
5368,0.6726605425847046,High_Springs_Main,373820.0,0.5388310264179769,1.0
5968,0.5791305321177095,HSBUI,220375.0,1.347077566044942,1.0
6103,0.6464817026413653,HSBUI,266584.0,1.697317733216627,1.0
8251,0.6545730764151829,swNewberry_A,228998.99999999997,2.694155132089884,1.0
8547,0.652915103659986,swNewberry_A,225452.99999999997,0.5523018020784262,1.0
8648,0.6900169413238045,swNewberry_A,192706.0,0.24247396188808953,1.0
8734,0.667148219418264,swNewberry_A,209311.0,0.28288628886943784,1.0
12210,0.6777393823251586,Alachua_Main,335481.0,1.4144314443471893,1.0
12254,0.677261215854489,Alachua_Main,433344.0,1.4144314443471893,1.0
12259,0.6671654465247024,Alachua_Main,413215.0,1.4144314443471893,1.0
12264,0.6878930925618452,Alachua_Main,371339.0,1.4009606686867397,1.0
12676,0.6915198716824295,Alachua_Main,448420.0,0.3098278401903367,1.15
12689,0.6796455664201234,Alachua_Main,364962.0,0.25594473754853897,1.0
12691,0.6539186843958664,Alachua_Main,366149.0,0.28288628886943784,1.0
13226,0.6349780039849923,Alachua_Main,331047.0,2.694155132089884,1.0
13979,0.6903307018166236,Alachua_Main,206412.0,0.41759404547393203,1.0
14170,0.6886881330971624,Alachua_Main,173275.0,0.28288628886943784,1.0
14875,0.5724856613050844,Alachua_Main,192967.0,0.3098278401903367,1.0
14923,0.6710920226274785,Alachua_Main,433763.0,0.5657725777388757,1.0
14943,0.6703467747169579,Alachua_Main,409398.0,0.45800637245528036,1.0
14965,0.6872331019524694,Alachua_Main,409860.0,0.5792433533993251,1.0
15558,0.6769592154501433,Alachua_Main,249738.0,0.29635706452988725,1.0
17384,0.6314990359952436,HSBUI,649318.0,2.6806843564294347,1.15
17624,0.6345274872545223,HSBUI,236842.99999999997,2.2630903109555027,1.0
19383,0.644714320537211,HSBUI,574098.0,1.347077566044942,1.15
21370,0.6544127459860379,Real_Tioga,1162217.0,0.6061849047202239,1.15
21605,0.6047185986405459,HSBUI,261725.0,1.4279022200076388,1.0
21614,0.6452321567475852,HSBUI,284305.0,1.3605483417053914,1.0
21761,0.6881634277672561,swNewberry_B,600223.0,0.45800637245528036,1.15
21929,0.6172308425043395,HSBUI,290957.0,1.7512008358584246,1.0
22793,0.6697991486496823,Tioga_B,1571066.0,2.195736432653255,1.7
22807,0.6897304082447832,Tioga_B,1303357.0,2.0610286760487613,1.4
23143,0.6875141727906886,HSBUI,179569.0,1.3874898930262904,1.0
23144,0.5761341114847327,HSBUI,235115.00000000003,1.3874898930262904,1.0
23446,0.5605561865751955,HSBUI,308087.0,2.694155132089884,1.0
23932,0.6772674463452553,HighSprings_B,288700.0,1.6703761818957281,1.0
25320,0.6886657552902152,Archer,139428.0,0.3637109428321344,1.0
32376,0.6800550457317652,Springtree_B,245216.0,0.32329861585078606,1.0
32489,0.6770163282501132,Springtree_B,222819.0,0.3367693915112355,1.0
33748,0.6703752981847089,West_Outer_Gainesville,318953.0,0.28288628886943784,1.0
33780,0.6842854932205241,West_Outer_Gainesville,298288.0,0.26941551320898843,1.0
34218,0.6760348929378739,Gainesvilleish_Region,350369.0,0.8756004179292123,1.0
34264,0.6921876894431456,Gainesvilleish_Region,260934.0,0.47147714811572966,1.0
35376,0.6788214426215825,HaileLike,295230.0,0.28288628886943784,1.0
36860,0.6471479588251694,Springtree_B,240646.99999999997,0.5253602507575275,1.0
36908,0.6764586382472295,Springtree_B,276541.0,0.45800637245528036,1.0
38608,0.6164423867711298,Springtree_B,195045.0,0.35024016717168494,1.0
38624,0.6608784339313194,Springtree_B,256715.0,0.35024016717168494,1.0
38631,0.6854491182082187,Springtree_B,191652.0,0.3098278401903367,1.0
38648,0.6005794723269139,Springtree_B,281350.0,0.45800637245528036,1.0
38677,0.6225631233389549,Springtree_B,200821.0,0.3771817184925838,1.0
38680,0.625317276518883,Springtree_B,266191.0,0.4445355967948309,1.0
39156,0.6692179379055059,Springtree_B,238058.0,0.32329861585078606,1.0
39193,0.6484048948099995,Springtree_B,245617.0,0.32329861585078606,1.0
39213,0.6577264771725231,Springtree_B,204343.0,0.32329861585078606,1.0
39960,0.6436224339940368,MidtownEast_B,224860.99999999997,0.32329861585078606,1.0
40253,0.6544924413223284,Springtree_B,338154.0,0.09429542962314595,1.0
