prop_id,legal_acreage,yr_blt,living_area,land_type_cd,condition_cd,sl_price,tax_area_description,abs_subdv_cd
7697,0.18,2005,1513,LT,3,303800,NEWBERRY,241900
7711,0.2,2005,1562,LT,3,311100,NEWBERRY,241900
7721,0.24,2006,2315,LT,3,362600,NEWBERRY,241901
7722,0.25,2006,1663,LT,3,335200,NEWBERRY,241901
7733,0.23,2006,1607,LT,3,320500,NEWBERRY,241901
7739,0.32,2006,1707,LT,3,360400,NEWBERRY,241901
7772,0.19,2006,1628,LT,3,293000,NEWBERRY,241901
7804,0.2,2009,1626,LT,3,312100,NEWBERRY,241902
7815,0.21,2016,1468,LT,3,313000,NEWBERRY,241902
7916,0.23,2004,1453,LT,3,271400,NEWBERRY,236101
7921,0.3,2003,1523,LT,3,275000,NEWBERRY,236101
8323,5,2007,2544,AC,3,492000,NEWBERRY,0
8363,0.22,2008,3896,LT,2,424900,NEWBERRY,249400
8407,0.18,2012,3002,LT,2,355300,NEWBERRY,249400
8586,0.54,1964,960,LT,3,190600,NEWBERRY,0
8619,0.26,1975,1236,UN,3,193800,NEWBERRY,124000
8705,0.32,2003,1732,LT,3,308700,NEWBERRY,7900
8719,0.72,1970,2290,UN,3,384900,NEWBERRY,0
8725,0.22,1984,1056,UN,3,208400,NEWBERRY,21100
8729,0.22,1979,1056,UN,3,186800,NEWBERRY,21100
8815,0.46,1954,1949,UN,3,222200,NEWBERRY,36800
8830,0.22,2004,1191,UN,3,215700,NEWBERRY,36800
8913,0.29,1981,1333,UN,3,208100,NEWBERRY,138300
8948,0.44,1900,2240,UN,3,210200,NEWBERRY,138300
9031,0.28,1929,2028,LT,3,191300,NEWBERRY,138300
9064,0.24,1917,3172,LT,3,296400,NEWBERRY,138300
9092,0.48,1988,1977,LT,3,332200,NEWBERRY,138300
9115,0.42,1999,1532,UN,3,346500,NEWBERRY,138400
9289,0.56,1959,992,UN,2,96600,NEWBERRY,12000
9356,0.16,2015,1221,LT,3,228500,NEWBERRY,246200
9429,0.47,1978,1162,UN,3,199300,NEWBERRY,139000
9492,0.36,1992,1344,LT,3,202000,NEWBERRY,20700
9502,0.24,1994,1152,LT,3,202500,NEWBERRY,20800
9688,0.25,2008,1477,LT,3,305300,NEWBERRY,247100
9705,0.27,2007,1633,LT,3,308700,NEWBERRY,247100
9706,0.2,2007,1501,LT,3,304700,NEWBERRY,247100
9720,0.23,2010,1635,LT,3,292500,NEWBERRY,247101
9749,0.24,2012,1419,LT,3,300000,NEWBERRY,247101
9766,6.64,2009,1752,AC,3,488000,NEWBERRY,0
9798,0.28,1992,1491,UN,3,303400,NEWBERRY,165300
9812,0.34,1996,1567,UN,3,291300,NEWBERRY,165300
9829,0.31,1985,1368,LT,3,250500,NEWBERRY,165300
9875,0.3,1997,1520,UN,3,292500,NEWBERRY,165300
9887,0.3,2004,1617,LT,3,344000,NEWBERRY,165300
9953,0.3,2005,1770,LT,3,251800,NEWBERRY,165300
10172,10.86,2015,2051,AC,3,888800,NEWBERRY,0
10217,5,1995,2064,AC,3,203300,NEWBERRY,0
10286,7.39,2006,1908,AC,3,411400,NEWBERRY,0
10632,5,2001,2110,AC,3,443300,NEWBERRY,0
10722,10.67,1982,1026,AC,5,523100,NEWBERRY,0
10757,9.8,2007,2105,AC,3,522800,SUWANNEE,0
10799,5,1975,1628,AC,3,251200,SUWANNEE,0
11009,9.68,1991,2300,AC,4,455900,SUWANNEE,0
11174,5.84,2003,2112,AC,3,450500,SUWANNEE,150600
11368,32.76,1991,2276,AC,3,507300,SUWANNEE,16600
11480,5.5,2016,1756,AC,3,367000,SUWANNEE,0
11608,5.69,2008,1832,AC,3,292800,SUWANNEE,0
11634,6.28,2006,2582,AC,4,580700,SUWANNEE,0
11701,21.69,2004,1665,AC,3,615000,SUWANNEE,0
12230,1.07,2000,2645,LT,4,488100,ALACHUA,123801
12236,1.07,2002,2176,LT,4,462200,ALACHUA,123801
12247,1.03,2004,1609,LT,3,419900,ALACHUA,123802
12252,1.52,2004,2433,LT,4,571700,ALACHUA,123802
12254,1.05,2000,2694,LT,4,535500,ALACHUA,123802
12344,0.15,2016,1435,LT,3,291500,HIGH SPRINGS,246700
12359,0.14,2007,1609,LT,3,300400,HIGH SPRINGS,246700
12366,0.17,2016,1369,LT,3,288500,HIGH SPRINGS,246700
12375,0.15,2015,1826,LT,3,362600,HIGH SPRINGS,246700
12379,0.14,2010,1462,LT,3,293600,HIGH SPRINGS,246700
12380,0.14,2017,1787,LT,3,315600,HIGH SPRINGS,246700
12410,0.16,2012,1607,LT,3,313500,HIGH SPRINGS,246700
12494,0.4,2006,1877,LT,3,311200,SUWANNEE,172900
12544,0.23,1976,2268,LT,3,285700,SUWANNEE,172900
12558,0.23,1976,1476,LT,3,262200,SUWANNEE,172900
12562,0.23,1968,1844,LT,3,208100,SUWANNEE,172900
12580,0.6,1973,1508,AC,3,255400,SUWANNEE,0
12641,5.3,1984,3090,AC,4,750800,ALACHUA,0
12642,5.3,1990,1838,AC,3,535000,ALACHUA,0
12682,0.26,2006,2600,LT,3,397600,ALACHUA,238900
12698,0.2,2014,2166,LT,3,421400,ALACHUA,238900
12704,0.19,2014,1562,LT,3,335900,ALACHUA,238900
12718,0.18,2015,1496,LT,3,340200,ALACHUA,238900
12968,20.68,1985,4691,AC,4,1568000,ALACHUA,0
13408,0.2,1991,966,UN,3,182800,ALACHUA,2300
13444,0.29,1984,1032,UN,3,178200,ALACHUA,2300
13465,0.21,1983,1320,UN,3,257300,ALACHUA,2300
13549,2,1957,2433,AC,3,216300,ALACHUA,0
13721,0.18,2015,1220,LT,3,225900,ALACHUA,245700
13776,0.29,1984,1107,UN,3,204800,ALACHUA,2500
13780,0.17,1985,1107,UN,3,208300,ALACHUA,2500
13796,0.17,1983,1260,UN,3,173600,ALACHUA,2500
13979,0.31,1976,1352,UN,3,244600,ALACHUA,212900
14043,0.12,1960,716,LT,2,32200,ALACHUA,2400
14232,0.15,2021,1200,UN,3,219500,ALACHUA,197300
14255,0.21,1957,1040,UN,3,150600,ALACHUA,3100
14400,0.17,1975,1232,UN,3,168000,ALACHUA,98700
14521,1,2001,1360,AC,3,300300,ALACHUA,29400
14543,0.25,2003,1619,LT,3,284100,ALACHUA,232200
14608,0.26,1938,2408,LT,3,367400,ALACHUA,147800
14750,0.69,1958,1622,LT,3,160000,ALACHUA,197400
14795,0.23,1964,1970,LT,3,180400,ALACHUA,29400
14829,0.2,2012,1305,LT,3,247300,ALACHUA,29400
14862,0.21,1962,912,LT,3,148700,ALACHUA,50300
14892,0.21,1996,1282,LT,3,265200,ALACHUA,50300
14965,0.43,2014,2161,LT,3,484000,ALACHUA,244300
14995,1.1,1962,2029,AC,3,203800,ALACHUA,39401
15013,2.46,1990,1963,AC,4,427400,ALACHUA,39401
15155,5,1998,1881,AC,4,405600,SUWANNEE,0
15285,5.35,1997,1687,AC,4,360000,ALACHUA,0
15367,5,1997,1916,AC,4,555500,ALACHUA,19500
15369,5.71,1998,1828,AC,3,455900,ALACHUA,19500
15543,0.27,1997,1812,LT,3,314900,ALACHUA,101200
15558,0.22,1999,1327,LT,3,296000,ALACHUA,101200
15577,0.24,2001,1343,LT,3,242600,ALACHUA,101200
15593,0.25,1995,1452,LT,3,284100,ALACHUA,101200
15594,0.33,1997,1710,LT,3,317200,ALACHUA,101200
15776,5.58,1987,2977,AC,3,705000,ALACHUA,2000
15786,4.62,1995,3183,AC,3,552000,ALACHUA,2000
15894,5,1994,2589,AC,3,604500,ALACHUA,252900
15898,5,1964,1385,AC,3,409800,ALACHUA,0
15981,0.51,1983,1037,UN,3,214200,ALACHUA,154700
16059,0.6,1996,1350,LT,3,259400,ALACHUA,154800
16065,0.16,2007,1702,LT,3,322200,ALACHUA,246000
16103,0.18,2007,1554,LT,3,255000,ALACHUA,246000
16104,0.22,2015,1397,LT,3,284100,ALACHUA,246000
16114,0.21,2008,1799,LT,3,334800,ALACHUA,246000
16142,0.09,2016,1440,LT,3,291100,ALACHUA,246000
16167,0.1,2007,1496,LT,3,264400,ALACHUA,246000
16168,0.51,1997,1310,UN,3,272900,ALACHUA,0
16179,1.17,1975,1184,AC,3,274800,SUWANNEE,30200
16197,5,2008,2108,AC,3,268300,SUWANNEE,0
16218,0.54,1978,1792,UN,3,207200,ALACHUA,163100
16425,2.5,1990,1920,LT,3,488000,SUWANNEE,92100
16612,6.24,2003,2958,AC,4,734000,ALACHUA,185500
16946,5.77,2006,3164,AC,5,832500,SUWANNEE,232300
16953,5,2008,3338,AC,4,810300,SUWANNEE,232300
16997,5.31,2008,1879,AC,4,501500,SUWANNEE,40700
17028,2.42,1993,2072,AC,3,485100,SUWANNEE,180200
17046,21,1983,1882,AC,3,757800,SUWANNEE,0
17122,10.68,2000,3224,AC,4,878100,SUWANNEE,204000
17443,5.01,2007,3361,AC,5,858500,SUWANNEE,236900
17512,5.5,1990,1520,AC,3,351900,SUWANNEE,219400
17624,1.68,1980,1092,UN,3,285000,SUWANNEE,56600
17796,8.29,2013,2878,AC,4,829400,SUWANNEE,130900
17842,5,2003,4663,AC,5,1471400,SUWANNEE,184200
17845,10,1997,5018,AC,5,1507900,SUWANNEE,184200
18070,0.28,1983,1554,UN,3,318700,SUWANNEE,43600
18076,0.2,1984,1224,UN,3,290400,SUWANNEE,43600
18091,0.2,1983,1476,UN,3,306300,SUWANNEE,43600
18097,0.25,1986,1906,UN,3,324500,SUWANNEE,43700
18126,0.23,1985,1362,UN,3,251800,SUWANNEE,43700
18160,0.2,1987,1541,UN,3,280200,SUWANNEE,43800
18237,0.27,1987,1764,UN,3,309000,SUWANNEE,43200
18314,0.19,1996,1943,LT,4,319600,SUWANNEE,212600
18349,0.19,2008,1610,LT,4,299700,SUWANNEE,212701
18372,0.19,1998,1937,LT,4,350800,SUWANNEE,212702
18374,0.19,1999,1828,LT,4,319100,SUWANNEE,212702
18378,0.19,1997,1809,LT,4,351700,SUWANNEE,212702
18430,0.2,2004,1455,LT,4,344400,SUWANNEE,235400
18472,0.2,2021,2103,LT,3,417400,SUWANNEE,235400
18478,0.3,2004,1542,LT,4,317400,SUWANNEE,235400
18479,0.3,2004,2075,LT,4,382800,SUWANNEE,235400
18481,0.2,2005,1828,LT,4,365700,SUWANNEE,235400
18620,0.52,2005,3362,LT,5,831600,SUWANNEE,240000
18622,0.5,2014,3107,LT,4,752600,SUWANNEE,240000
18652,0.39,2007,2469,LT,4,569000,SUWANNEE,240000
18664,0.5,2005,4521,LT,5,1014100,SUWANNEE,240000
18749,0.26,2011,2009,LT,3,421700,SUWANNEE,242200
18752,0.25,2013,2456,LT,4,480100,SUWANNEE,242200
18793,0.2,2005,2351,LT,3,431200,SUWANNEE,239800
18861,0.17,2005,1459,LT,3,329200,SUWANNEE,239800
18901,0.16,2007,1507,LT,3,284200,SUWANNEE,239801
18937,0.26,2014,2281,LT,3,455700,SUWANNEE,239802
18945,0.22,2010,1548,LT,3,399500,SUWANNEE,239802
18949,0.22,2009,1527,LT,3,360500,SUWANNEE,239802
18951,0.22,2011,1704,LT,3,376500,SUWANNEE,239802
18973,0.15,2013,2295,LT,3,470000,SUWANNEE,239802
19249,9.45,1950,1340,AC,3,509300,NEWBERRY,0
19298,1,1964,800,AC,3,144900,SUWANNEE,0
19305,1.58,1964,1836,AC,3,246000,NEWBERRY,0
19448,6.6,2014,2644,AC,5,879600,SUWANNEE,223300
19448,6.6,2014,2644,AC,5,100,SUWANNEE,223300
19448,6.6,2014,2644,AC,5,100,SUWANNEE,223300
19449,5.37,2009,6794,AC,5,1554900,SUWANNEE,223300
19485,0.35,2009,1496,LT,3,327700,SUWANNEE,242000
19498,0.35,2007,1878,LT,3,330200,SUWANNEE,242000
19541,0.15,2008,1432,LT,3,316800,SUWANNEE,242002
19552,0.14,2007,1621,LT,3,306800,SUWANNEE,242001
19697,0.06,2003,1442,UN,3,263800,SUWANNEE,245303
19743,0.05,1989,1080,LT,3,240600,SUWANNEE,245300
19763,0.06,2009,1701,LT,3,321000,SUWANNEE,245304
19769,0.06,2007,1550,LT,3,318800,SUWANNEE,245304
19846,0.05,2013,1166,LT,3,274100,SUWANNEE,245304
19864,0.06,1989,1410,LT,3,293600,SUWANNEE,245301
19910,0.16,1994,1880,LT,4,292000,SUWANNEE,152502
19942,0.14,1989,1502,UN,3,290000,SUWANNEE,152500
19943,0.14,1991,1788,UN,3,313200,SUWANNEE,152500
20007,1.15,1969,2527,UN,4,401700,SUWANNEE,156800
20052,1,1969,1997,UN,3,460400,SUWANNEE,156500
20073,1.06,1968,2116,UN,3,382900,SUWANNEE,156500
20083,1.33,1994,2152,UN,4,409900,SUWANNEE,156601
20116,0.86,2000,3776,LT,4,815500,SUWANNEE,156700
20214,0.06,2006,1294,LT,3,271400,SUWANNEE,243800
20239,0.07,2017,1368,LT,4,299400,SUWANNEE,243800
20317,0.26,2007,2472,LT,4,448100,SUWANNEE,245500
20344,0.36,1996,2005,LT,4,357200,SUWANNEE,92200
20345,0.26,1996,2067,LT,4,363200,SUWANNEE,92200
20370,0.26,1999,1928,LT,4,355500,SUWANNEE,180401
20418,0.23,2003,1932,LT,4,379600,SUWANNEE,230400
20428,0.36,1995,2486,LT,4,448900,SUWANNEE,119501
20453,0.25,2003,2262,LT,4,409600,SUWANNEE,235200
20476,0.18,2015,1606,LT,4,368000,SUWANNEE,235202
20488,0.18,2017,1833,LT,4,388700,SUWANNEE,235202
20490,0.17,2015,2669,LT,4,564100,SUWANNEE,235202
20493,0.25,2012,1706,LT,4,300700,SUWANNEE,235202
20502,0.2,2014,1743,LT,3,381300,SUWANNEE,235202
20503,0.23,2006,1865,LT,4,372100,SUWANNEE,235202
20507,0.21,2015,2428,LT,4,496700,SUWANNEE,235202
20539,1,2003,3250,LT,5,711600,SUWANNEE,159400
20565,0.06,2005,1554,LT,4,291000,SUWANNEE,235800
20592,0.2,1999,2078,LT,4,396100,SUWANNEE,193701
20595,0.22,1996,1834,LT,4,391600,SUWANNEE,193701
20601,0.35,1995,2087,LT,4,446400,SUWANNEE,193701
20624,0.2,2000,1522,LT,4,290400,SUWANNEE,193702
20637,0.19,1998,2113,LT,4,435000,SUWANNEE,193702
20650,0.27,1997,2120,LT,4,395600,SUWANNEE,193702
20678,0.41,2000,1644,LT,4,407200,SUWANNEE,145400
20688,0.45,2004,2309,LT,4,467500,SUWANNEE,233000
20706,0.12,2004,1400,LT,3,314000,SUWANNEE,233500
20723,0.07,2003,1641,LT,3,268000,SUWANNEE,233500
20731,0.07,2004,2094,LT,3,340500,SUWANNEE,235900
20761,2.56,1980,2552,AC,3,580500,SUWANNEE,0
20771,2.8,1988,6459,AC,5,1377200,SUWANNEE,173500
20838,0.36,2006,2378,LT,4,530300,SUWANNEE,243500
