prop_id,legal_acreage,living_area,imprv_det_quality_cd,tax_area_description,sl_price,effective_year_built,imprv_type_cd,base_area,actual_year_built,prop_val_yr,sup_num,sum_us_area,total_porch_area,total_garage_area,effective_age,actual_age,has_canal,has_lake,number_of_baths,MISC_Val,Assessment_Val,landiness,CENTROID_X,CENTROID_Y,geo_id,in_subdivision,percent_good,Market_Cluster_ID
21116,0.32,4197,1.4,SUWANNEE,1038800,2007,100,2426.0,2007,2022,0,1771.0,555.0,910.0,14,14,0,0,2.5,5532,877448.0,0.3872334787998562,-82.481385,29.650614,04333-020-073,True,0.86,Cluster_4
21223,0.19,2086,1.15,SUWANNEE,572000,2005,100,2086.0,2005,2022,0,0.0,476.0,528.0,16,16,0,0,2.0,1612,484588.0,0.2299198780374146,-82.48286,29.649339,04333-070-174,True,0.84,Cluster_3_sub0
21306,0.17,1939,1.15,SUWANNEE,500600,2006,100,1939.0,2006,2022,0,0.0,146.0,484.0,15,15,0,0,2.0,2058,423452.0,0.20571778561242363,-82.482998,29.647637,04333-100-255,True,0.85,Cluster_3_sub6
21310,0.21,3238,1.15,SUWANNEE,845300,2010,100,2266.5,2007,2022,0,971.0,433.0,556.0,11,14,0,0,3.5,2585,715920.0,0.25412197046240564,-82.483807,29.647692,04333-100-259,True,0.89,Cluster_1_sub4
21356,0.28,2184,1.15,SUWANNEE,623700,2013,100,1317.0,2013,2022,0,867.0,329.0,598.0,8,8,0,0,3.0,1456,528689.0,0.3388292939498742,-82.486122,29.646423,04333-112-302,True,0.92,Cluster_1_sub1
21370,0.45,4547,1.15,SUWANNEE,1472600,2016,100,3782.0,2016,2022,0,765.0,1112.0,1133.0,5,5,0,0,4.0,33583,1218127.0,0.5445470795622978,-82.487666,29.647284,04333-113-315,True,0.95,Cluster_4
21700,0.95,1570,1.0,SUWANNEE,349600,1998,100,1570.0,1973,2022,0,0.0,0.0,506.0,23,48,0,0,2.0,2950,294210.0,1.1495993901870731,-82.475986,29.651413,04337-079-000,True,0.77,Cluster_3_sub7
21732,0.18,2537,1.15,SUWANNEE,491800,2006,100,2237.0,2006,2022,0,300.0,481.0,462.0,15,15,0,0,3.0,5510,412520.0,0.2178188318249191,-82.488948,29.656575,04338-010-002,True,0.85,Cluster_1_sub1
21747,0.17,2285,1.15,SUWANNEE,431000,2006,100,2285.0,2006,2022,0,0.0,365.0,484.0,15,15,0,0,2.0,946,365404.0,0.20571778561242363,-82.488847,29.661815,04338-010-017,True,0.85,Cluster_3_sub0
21761,0.34,2842,1.15,SUWANNEE,728100,2006,100,2841.5,2006,2022,0,0.0,611.0,594.0,15,15,0,0,3.0,6253,612632.0,0.41143557122484725,-82.487029,29.661876,04338-010-031,True,0.85,Cluster_1_sub9
21780,0.2,2543,1.15,SUWANNEE,512000,2007,100,2543.0,2007,2022,0,0.0,251.0,484.0,14,14,0,0,3.0,1250,433950.0,0.24202092424991012,-82.486381,29.659861,04338-010-050,True,0.86,Cluster_1_sub1
21783,0.29,3308,1.15,SUWANNEE,722500,2007,100,2722.5,2007,2022,0,585.0,575.5,676.0,14,14,0,0,4.0,8279,605846.0,0.3509303401623697,-82.485601,29.659898,04338-010-053,True,0.86,Cluster_4
21815,0.18,2683,1.15,SUWANNEE,602700,2009,100,2683.0,2009,2022,0,0.0,347.0,492.0,12,12,0,0,3.5,1224,511071.0,0.2178188318249191,-82.486968,29.65841,04338-010-085,True,0.88,Cluster_1_sub4
22038,3.09,2500,1.0,SUWANNEE,478800,1989,100,2500.0,1975,2022,0,0.0,0.0,400.0,30,46,0,0,2.5,7926,399054.0,3.739223279661111,-82.520669,29.650716,04360-010-000,True,0.7,Cluster_1_sub7
22111,2.92,1092,1.0,SUWANNEE,181300,1965,100,1092.0,1959,2022,0,0.0,24.0,0.0,30,62,0,0,1.0,2485,151620.0,3.5335054940486876,-82.509889,29.65247,04367-005-000,True,0.7,Cluster_0_sub2
36990,0.28,1494,1.0,GAINESVILLE,285400,1983,100,1494.0,1972,2022,0,0.0,245.0,594.0,30,49,0,0,2.0,616,241973.99999999997,0.3388292939498742,-82.3777,29.697022,06066-700-024,True,0.7,Cluster_3_sub2
37038,0.17,2011,1.0,GAINESVILLE,373600,2004,100,2011.0,1997,2022,0,0.0,192.0,441.0,17,24,0,0,2.0,460,317100.0,0.20571778561242363,-82.374421,29.695292,06067-010-032,True,0.83,Cluster_3_sub6
37149,0.17,1862,1.0,GAINESVILLE,339600,1999,100,1862.0,1999,2022,0,0.0,440.0,420.0,22,22,0,0,2.0,1230,287430.0,0.20571778561242363,-82.378291,29.693037,06067-030-141,True,0.78,Cluster_3_sub6
37376,0.25,1356,1.0,GAINESVILLE,289200,1978,100,1356.0,1973,2022,0,0.0,36.0,546.0,30,48,0,0,2.0,626,245194.0,0.30252615531238763,-82.385858,29.699939,06071-010-003,True,0.7,Cluster_3_sub5
37427,0.46,2386,1.0,GAINESVILLE,372800,1985,100,2386.0,1973,2022,0,0.0,72.0,0.0,30,48,0,0,2.0,2421,314459.0,0.5566481257747933,-82.388434,29.697831,06071-010-054,True,0.7,Cluster_0_sub3
37506,0.44,1738,1.0,GAINESVILLE,376800,1990,100,1738.0,1973,2022,0,0.0,40.0,536.0,30,48,0,0,2.0,9514,310766.0,0.5324460333498023,-82.384545,29.696324,06071-020-060,True,0.7,Cluster_3_sub2
37696,0.28,1802,1.15,GAINESVILLE,351600,1998,100,1724.0,1991,2022,0,0.0,118.0,441.0,23,30,0,0,2.0,1365,297494.99999999994,0.3388292939498742,-82.375315,29.690182,06075-030-006,True,0.77,Cluster_3_sub6
37715,0.17,1896,1.15,GAINESVILLE,414300,2010,100,1312.0,1992,2022,0,584.0,84.0,420.0,11,29,0,0,2.0,1409,350745.99999999994,0.20571778561242363,-82.374515,29.690586,06075-030-025,True,0.89,Cluster_3_sub6
37746,0.19,1778,1.15,GAINESVILLE,294800,1993,100,1777.5,1993,2022,0,0.0,54.0,420.0,28,28,0,0,2.0,1699,248881.0,0.2299198780374146,-82.373105,29.691443,06075-030-056,True,0.72,Cluster_3_sub6
37752,0.25,2009,1.15,GAINESVILLE,425400,2000,100,2009.0,1995,2022,0,0.0,193.0,441.0,21,26,0,0,2.0,6513,355077.0,0.30252615531238763,-82.372625,29.691239,06075-030-062,True,0.79,Cluster_3_sub6
37826,0.18,1538,1.0,GAINESVILLE,302900,1998,100,1538.0,1993,2022,0,0.0,275.0,506.0,23,28,0,0,2.0,840,256625.0,0.2178188318249191,-82.358071,29.702091,06076-040-002,True,0.77,Cluster_3_sub5
37884,0.2,1609,1.0,GAINESVILLE,295900,2000,100,1609.0,1993,2022,0,0.0,372.0,460.0,21,28,0,0,2.0,331,251183.99999999997,0.24202092424991012,-82.356751,29.700859,06076-050-060,True,0.79,Cluster_3_sub5
37920,0.44,1987,1.15,GAINESVILLE,335000,1990,100,1987.0,1974,2022,0,0.0,42.0,624.0,30,47,0,0,2.0,1443,283307.0,0.5324460333498023,-82.358731,29.696524,06076-051-018,True,0.7,Cluster_3_sub2
38016,0.25,1464,1.15,GAINESVILLE,259100,1989,100,1464.0,1979,2022,0,0.0,0.0,525.0,30,42,0,0,2.5,1432,218803.0,0.30252615531238763,-82.359167,29.692584,06076-055-026,True,0.7,Cluster_3_sub9
38062,0.26,1250,1.0,GAINESVILLE,279100,2000,100,829.0,1979,2022,0,421.0,0.0,180.0,21,42,0,0,2.0,450,236784.99999999997,0.31462720152488316,-82.361302,29.695623,06076-060-032,True,0.79,Cluster_0_sub0
38135,0.2,1281,1.0,GAINESVILLE,264500,2000,100,1281.0,1979,2022,0,0.0,204.0,0.0,21,42,0,0,1.5,1764,223061.0,0.24202092424991012,-82.362209,29.694861,06076-105-000,True,0.79,Cluster_0_sub0
38164,0.2,912,1.0,GAINESVILLE,216900,2010,100,912.0,1983,2022,0,0.0,0.0,0.0,11,38,0,0,1.5,881,183484.0,0.24202092424991012,-82.360522,29.700088,06076-200-006,True,0.89,Cluster_0_sub1
38171,0.23,912,1.0,GAINESVILLE,184800,1990,100,912.0,1981,2022,0,0.0,72.0,180.0,30,40,0,0,1.5,1319,155761.0,0.27832406288739664,-82.360402,29.699634,06076-200-013,True,0.7,Cluster_0_sub7
38214,0.2,1152,1.0,GAINESVILLE,210400,1990,100,972.0,1981,2022,0,0.0,252.0,0.0,30,40,0,0,1.0,1386,177454.0,0.24202092424991012,-82.362947,29.698318,06076-200-056,True,0.7,Cluster_0_sub6
