prop_id,legal_acreage,living_area,imprv_det_quality_cd,tax_area_description,sl_price,Total_MISC_Val,effective_year_built,imprv_type_cd,base_area,sum_us_area,total_porch_area,total_garage_area,effective_age,Assessment_Val,landiness,CENTROID_X,CENTROID_Y,geo_id,Market_Cluster_ID,in_subdivision,is_townhouse,is_tiny,percent_good,ALACHUA,ARCHER,GAINESVILLE,HAWTHORNE,HIGH_SPRINGS,LACROSSE,MICANOPY,NEWBERRY,ST_JOHNS,SUWANNEE,WALDO,HighSprings_A,HighSprings_B,HighSprings_C,HighSprings_D,HighSprings_E,HighSprings_F,MidtownEast_A,MidtownEast_B,MidtownEast_C,MidtownEast_D,MidtownEast_E,MidtownEast_F,Springtree_A,Springtree_B,Springtree_C,Tioga_A,Tioga_B,WaldoRural_A,WaldoRural_B,WaldoRural_C,swNewberry_A,swNewberry_B,swNewberry_C,predicted_log_Assessment_Val,predicted_Assessment_Val,predicted_Market_Val,Market_Residual,Assessment_Residual,AbsV_Market_Residual,AbsV_Assessment_Residual,sale_ratio
1416,1.07,2260,1.0,HIGH SPRINGS,199700,6919,1994,100,1780.0,0.0,480.0,320.0,30,162826.0,1.3854783915817661,-82.583832,29.847818,00146-002-001,HighSprings_B,False,False,False,0.7,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.599396747104082,296379.71943494375,303298.71943494375,103598.71943494375,133553.71943494375,103598.71943494375,133553.71943494375,1.518771754806929
1430,1.2,2250,1.0,HIGH SPRINGS,427400,20850,2010,100,1260.0,990.0,192.0,371.0,14,342440.0,1.553807541960859,-82.58572,29.844898,00146-032-000,HighSprings_B,False,False,False,0.86,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.819475834390456,369341.08083468286,390191.08083468286,-37208.919165317144,26901.080834682856,37208.919165317144,26901.080834682856,0.9129412279707133
1473,6.48,1416,1.0,HIGH SPRINGS,495500,6240,2010,100,1416.0,0.0,0.0,288.0,14,414935.0,8.39056072658864,-82.624925,29.846917,00155-010-012,HighSprings_B,True,False,False,0.86,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.616883844754563,301608.1220883712,307848.1220883712,-187651.8779116288,-113326.8779116288,187651.8779116288,113326.8779116288,0.6212878346889429
1523,2.25,2596,1.0,SUWANNEE,674100,464,2008,100,2596.0,0.0,525.0,2004.0,16,572521.0,2.913389141176611,-82.631114,29.840853,00165-004-000,HighSprings_B,False,False,False,0.84,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.969721908229072,429218.72146437416,429682.72146437416,-244417.27853562584,-143302.27853562584,244417.27853562584,143302.27853562584,0.6374168839406233
1526,1.35,1823,1.0,SUWANNEE,435600,7910,2015,100,1823.0,0.0,124.0,441.0,9,362349.99999999994,1.7480334847059666,-82.632146,29.840313,00165-007-000,HighSprings_B,False,False,False,0.91,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.75123501057058,344977.68424395384,352887.68424395384,-82712.31575604616,-17372.315756046097,82712.31575604616,17372.315756046097,0.810118650697782
1555,12.2,2553,1.0,SUWANNEE,669900,46579,2006,100,2553.0,0.0,624.0,639.0,18,522835.99999999994,15.797043343268733,-82.634435,29.830767,00165-020-020,HighSprings_B,True,False,False,0.8200000000000001,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,13.056914384543855,468323.41060814756,514902.41060814756,-154997.58939185244,-54512.58939185238,154997.58939185244,54512.58939185238,0.7686257808749777
1610,1.19,1436,1.0,HIGH SPRINGS,292100,2916,2012,100,1436.0,0.0,64.0,300.0,12,245369.0,1.5408591457778518,-82.613894,29.841391,00181-100-014,HighSprings_B,True,False,False,0.88,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.581755406317553,291197.03298206767,294113.03298206767,2013.0329820676707,45828.03298206767,2013.0329820676707,45828.03298206767,1.006891588435699
1613,1.0,2447,1.0,HIGH SPRINGS,384500,12919,2000,100,7341.0,0.0,1398.0,0.0,24,313906.0,1.2948396183007158,-82.613159,29.840261,00181-100-017,HighSprings_B,True,False,False,0.76,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.663347019747334,315952.45416560577,328871.45416560577,-55628.54583439423,2046.45416560577,55628.54583439423,2046.45416560577,0.8553223775438381
1624,1.0,1903,1.0,HIGH SPRINGS,357700,20905,2005,100,1903.0,0.0,512.0,420.0,19,283140.0,1.2948396183007158,-82.614138,29.84265,00181-100-028,HighSprings_B,True,False,False,0.81,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.688729356681694,324074.7106703282,344979.7106703282,-12720.289329671825,40934.710670328175,12720.289329671825,40934.710670328175,0.9644386655586474
1628,1.0,2004,1.0,HIGH SPRINGS,443500,15700,2010,100,4008.0,0.0,1392.0,1248.0,14,361275.0,1.2948396183007158,-82.615078,29.843042,00181-100-032,HighSprings_B,True,False,False,0.86,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.817733494235775,368698.1233267678,384398.1233267678,-59101.87667323218,7423.123326767818,59101.87667323218,7423.123326767818,0.8667375948743355
